group_key,a,b,m,k,rmse,mu_lo,mu_hi,rng,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source,g_hat
WGZDBVOTUVNQFP,0.9645690069016875,0.3739825720048926,3.858858439794357,2.7765605266387574,0.002577413096355687,0.9404916149057606,0.4574658006888368,0.4830258142169238,c1ccc2cnncc2c1,233.1033,29.0,3.0,2.0,2.0,8.5,76.14,0.3529411764705882,4.0,2.0,0.0,0.0,LCSB,1.447319951455655
WJCNZQLZVWNLKY,1.00149644194751,0.4927963676360904,4.4280200660371865,5.341642422233588,0.0016559163479438867,0.9998590717770915,0.6987220273862884,0.30113704439080313,c1ccc2[nH]c(-c3cscn3)nc2c1,202.0433,21.0,1.0,3.0,3.0,10.5,41.57,0.2857142857142857,3.0,0.0,1.0,0.0,LCSB,3.0269311962902137
WKBPZYKAUNRMKP,0.6519585720540453,0.3007820028392593,3.3279519872911982,19.999999999999947,0.02527092178659947,0.6519566475317343,0.2985056538073963,0.38069420632835305,c1ccc(CCn2cncn2)cc1,284.0716,33.0,5.0,2.0,2.0,7.5,30.71,0.2777777777777778,3.0,0.0,0.0,2.0,LCSB,0.3801422201163488
WKSAUQYGYAYLPV,1.0033373427935264,0.6441090035293766,4.154270355020429,5.62116100475532,0.005132571487839922,0.9999113197613132,0.6858043936573478,0.3141069261039654,c1ccc(-c2cncnc2)cc1,249.0902,30.0,2.0,2.0,2.0,8.0,77.82,0.2941176470588235,4.0,0.0,0.0,1.0,LCSB,2.9623426593961453
WMYINDVYGQKYMI,0.7218444627787433,0.27658626097554195,3.2199117875640546,3.1959756102615677,0.0004954585310463028,0.6492448356506029,0.2833846449054925,0.3658601907451104,__ACYCLIC__WMYINDVYGQKYMI,251.1853,43.0,10.0,0.0,0.0,0.0,90.15,0.2941176470588235,0.0,5.0,0.0,0.0,LCSB,0.4333336818528752
WPPOGHDFAVQKLN,0.9906049999574914,0.3879496561679695,3.864633628974754,6.092756001551172,0.003434967929296922,0.9862372465518412,0.4001109420186993,0.586126304533142,O=C1CCCN1,198.1852,37.0,7.0,1.0,0.0,2.0,20.31,0.1428571428571428,1.0,1.0,0.0,0.0,LCSB,1.5090343656234737
WRPIRSINYZBGPK,1.0052294055942907,0.4781723554185254,4.08871173714061,5.507493518941716,0.007153118249913096,0.9999990259866752,0.5218331566831826,0.4781658693034926,c1ccc(Oc2ccnc3ccccc23)cc1,308.004,28.0,2.0,3.0,3.0,11.5,22.12,0.25,1.0,1.0,0.0,3.0,LCSB,2.0749049250888048
WTLBZVNBAKMVDP,0.5695050986300053,0.19415947057013513,3.3204028978972246,19.999999999999996,0.010597758127945932,0.569503066477472,0.2067792685162677,0.39475210389259996,__ACYCLIC__WTLBZVNBAKMVDP,399.2506,65.0,21.0,0.0,0.0,1.0,72.45000000000002,0.3076923076923077,0.0,7.0,0.0,0.0,LCSB,0.2281700639600297
WTOYNNBCKUYIKC,0.8586730339085921,0.39739157471320935,3.7116247077067395,3.3658045876651297,0.0035177322268880673,0.8425762826914185,0.4235622403615031,0.4190140423299154,O=C1C=C2CCCCC2CC1,219.1743,38.0,1.0,2.0,0.0,5.0,17.07,0.0625,0.0,1.0,0.0,0.0,LCSB,1.1506292491066494
WTPSHLVHJOJDIF,1.000777483248272,0.49746841124868457,4.159574721074126,8.210519338706117,0.002536871649702895,0.9994773342466738,0.5251786170598511,0.4742987171868227,c1ccc2c(c1)CN1CCCCCC1=N2,269.0607,31.0,0.0,3.0,1.0,7.0,15.6,0.2352941176470588,2.0,0.0,0.0,2.0,LCSB,2.2697113447150774
