group_key,s0,da,db,dk,dall
HPDHKHMHQGCNPE,0.029252203997311044,0.008959080431581785,0.01205106155835245,0.02472886925939732,0.026469395884752663
HRKAMJBPFPHCSD,0.03069752121128734,0.030402486269603728,0.03069008249191318,0.024352831957746932,0.030696216223655166
HSMVPDGQOIQYSR,0.11513607812264642,0.00021267513178116482,0.1117365310184452,0.016288427372841446,0.11513546092767835
HTJGLYIJVSDQAE,0.0034039860779005717,0.002784801244933566,7.444268524567105e-05,0.0016392206123451705,0.0034024402265196894
HXHWSAZORRCQMX,0.002487035931931991,0.0007527057295208446,0.001882495467596363,0.0020461391243113626,0.00233382132548888
HYYBABOKPJLUIN,0.00719536177574411,0.005843036910172751,0.00533469694918289,0.006141403867819672,0.00718232428855047
HZJKXKUJVSEEFU,0.006859600188214193,3.951582328587996e-05,0.004146727432801901,0.0011021050827488355,0.0065555239798754505
IAKHMKGGTNLKSZ,0.003211237805360089,4.3693132495848525e-06,0.0014231439822432136,0.000929225298006315,0.002422835417602303
IANUJLZYFUDJIH,0.014855631638526998,0.014579735802461372,0.011733932010880962,0.014305300649299899,0.014847947189048253
IBXPYPUJPLLOIN,0.022102288592860182,0.008033423011479426,0.020437753063243157,0.018288110181632063,0.021144587904883
IDIMIWQPUHURPV,0.03655134792125696,0.010246367237728461,0.011970933166200168,0.035411132583671394,0.03622652361877064
IEDVJHCEMCRBQM,0.0023876460372466023,0.000595227297103757,1.0469923223692303e-05,2.4695292257653767e-06,0.001850735424345929
IFOLNWVBRSCJOJ,0.0048846630223283605,0.0040196550416627674,0.0007962688579841153,0.002991307317311751,0.004872808719373959
IIAGSABLXRZUSE,0.006666484783950345,0.006277193951610253,0.004785061093626659,0.006243044662178625,0.006569901789158986
IIBYAHWJQTYFKB,0.0048058536781269475,0.0016286884516719755,0.00023216768355094602,0.0008882042481320141,0.004579609653521868
IIMUEPCADBPEMF,0.028381486310034072,0.02631657424359217,0.027363103033734057,0.028180400500515988,0.028195416736187025
IIQKUGXEGMZCLE,0.00886940047498459,0.00010614625968330925,0.0021231470447687865,0.0037898918325213853,0.008429600182744676
IKVXBIIHQGXQRQ,0.0016311875337076233,2.59595042406734e-06,0.0007902383405086261,1.175973229440878e-05,0.001624514324990563
INFDPOAKFNIJBF,0.06205247016889624,0.05806104805731919,0.0334698389448157,0.051053515143312175,0.059383065699950464
IOPTXXRNXCPJGO,0.04534265135713862,0.04530886700352503,0.04305725183592983,0.04274161890316573,0.04531286836187886
IPRJXAGUEGOFGG,0.035085626031397935,0.027400967539980635,0.03377040552715078,0.03379006064197452,0.034484093181173875
IRIAEXORFWYRCZ,0.00431491241182673,0.004039748258011664,0.0025542573123112228,0.0032989213776917917,0.004283507661524552
IRSCQMHQWWYFCW,0.14844872351037106,0.14760595245417102,0.13530270162264935,0.1423182958153448,0.14839889000366152
ISRUGXGCCGIOQO,0.041833537383715355,0.04132739582612521,0.02770014251611806,0.03723194560860771,0.04170836735143639
ISZQNKFXNXQTTF,0.034235151190976185,0.0341529974380884,0.02881801348938042,0.03218238057478445,0.034232071039005905
ITYMTTQVNYAJAA,0.0033591938272962904,0.0015960888240205773,1.435258146091807e-05,0.0009995289996042435,0.0032860625423973993
IUBSYMUCCVWXPE,0.014561955059639833,0.0070155672731558585,4.0472541344767354e-05,0.0055394151609588615,0.014271556966828811
IXBQSRWSVIBXNC,0.09119157456766715,0.08282621931018172,0.08511951470225974,0.004100718624520411,0.09041757156207245
IXSZQYVWNJNRAL,0.012913103217385263,0.00042997289992937997,0.006366025430243822,0.0005283372223804147,0.01283930834368947
IZFZCMFMJKDHJZ,0.00742464665664023,7.368769528082273e-05,8.066365308866206e-05,0.00015746717769895158,0.001947765612717819
IZXSCPRWPYQTJH,0.021138350364127246,0.009231898298701482,0.0027244442776781404,0.01567639435121032,0.02067575348355892
JALVTHFTYRPDMB,0.15874688850022034,0.020603461574516924,0.06687476941797353,0.15584679250808833,0.15852650613781402
JEJREKXHLFEVHN,0.013537806647129443,0.0128089698975229,0.0069641901739342085,0.012087429409548205,0.013432139584319764
JHSPCUHPSIUQRB,0.003818488103075466,0.0009058432432294504,0.002874751163450647,0.0028685079031763486,0.003002960762123628
JIIOLEGNERQDIP,0.03548508615282717,0.019538669466133175,0.03517229184560349,0.03195880521414948,0.03539433148046303
JJCFRYNCJDLXIK,0.060230070153576135,0.0004814687249137875,0.03652589258598271,0.01480433077461657,0.05970123989212653
JLYFCTQDENRSOL,0.002161398650868351,0.0015018869609323415,0.0008032589688571495,0.0011229029163013864,0.002103022426935467
JNMRHUJNCSQMMB,0.011773394463022387,0.010705911555523358,0.008095015172281625,0.011330896859300575,0.011583507950518069
JNTOCHDNEULJHD,0.10299088462953507,0.09839615704138562,0.09944801047243819,0.10239634647019127,0.10241054028132592
JOFDPSBOUCXJCC,0.03767876863854104,0.022712643252652556,0.03666160256200117,0.033923071548042937,0.037019829182880694
JRRUSQGIRBEMRN,0.011867218353238274,0.007662732257862086,0.009047367750089847,0.010031015490438394,0.011419730899512056
JSJCTEKTBOKRST,0.03905893412237663,0.03452181095039966,0.03214731825550178,0.038637158012193785,0.03884246574610112
JTMLMJOBCBXFES,0.012122271325337627,0.006789964082514359,0.0009000567289664616,0.004250422730363268,0.011953052320445936
JWUCHKBSVLQQCO,0.0035231165621473688,0.0004992099134592002,0.0029078974214842477,0.0017864305280420505,0.0034016783076289132
JWZZKOKVBUJMES,0.0222250996125183,0.015606341160357818,0.02019563696779743,0.02186689474248084,0.02219604844015907
JXCGFZXSOMJFOA,0.007906121671273914,0.0001823638670579216,0.0031948447737450815,7.436940823643545e-05,0.007777637054027417
JXHJNEJVUNHLKO,0.03088207364930861,0.027272331464855963,0.02264926893452236,0.028970967378217385,0.02982451042074897
JXUDZCJTCKCTQK,0.03462877877986536,0.013514581065036946,0.03395458502937055,0.02851478010696822,0.03426143604929081
JYIJIIVLEOETIQ,0.025172280812520643,0.011382219731089882,0.013077230773338748,0.022928653502149555,0.025050020562947924
JZCPYUJPEARBJL,0.024535387539576098,0.002768400673903895,0.014268110130947267,0.01171409465088178,0.01563348414198813
KCFYEAOKVJSACF,0.03632669633445196,0.025646375691058942,0.03150572109023004,0.03398894466313901,0.03441849717108649
KDLRVYVGXIQJDK,0.009544835529569069,0.00127534690502293,0.004818828113037955,0.008357208887155833,0.008544080522670082
KEMXXQOFIRIICG,0.030167190197301828,0.02303793999334761,0.02572582192041305,0.02912143493185014,0.02929092816473465
KGNGTSCIQCLKEH,0.05398004047569067,0.03212681873118245,0.00913503367555702,0.021700979877077024,0.05395259929002062
KGOIKOVSEVRHNH,0.0542208526088906,0.05046805669957915,0.04549967098604443,0.053594548362514566,0.05398421815033693
KGXUEPOHGFWQKF,0.047128254238377215,0.04441145309609285,0.03987584674563495,0.0449833513262405,0.04588347437395521
KIDWGGCIROEJJW,0.05625092826978196,0.05576846836041801,0.05304604592918922,0.05573645516570813,0.056205248908805794
KIEDNEWSYUYDSN,0.09401731075651304,0.08762165524049713,0.08944204876386719,0.09173628091178616,0.09176813914446051
KJFMBFZCATUALV,0.027210235874299864,0.026558291120843576,0.009201589248082818,0.020844954191376,0.02680868847943259
KMYKHQRQBUANHP,0.056205818848284975,0.042990504489269235,0.05293159252316712,0.0011726780506391143,0.05304641285757762
KUBCEEMXQZUPDQ,0.05487476866160564,0.048029460500761165,0.04873656916402133,0.05366536437965804,0.05391079793484971
KUBUBYBFFRVFHD,0.00554543736495361,0.0016150715284998975,0.001146677950683162,9.31976574183634e-05,0.005309372822091826
KULDXINYXFTXMO,0.007581205827734575,0.005080000218214182,0.0017979114761882192,0.005074123134295431,0.00702973729366743
KUMXVBFFVVLQFX,0.01944536055479382,0.01811277216052269,0.007028809329115834,0.014281779045738898,0.0186030888528377
KVDJTXBXMWJJEF,0.06451274045501772,0.05858816224352091,0.06247605332961665,0.06351230927806194,0.06371481979314357
KWAPEXIWYNEGAV,0.05917642855881791,0.04943529593123673,0.0560438806482695,0.05832085251039665,0.05892078223215112
KWGRBVOPPLSCSI,0.04712532550452282,0.04001223635123861,0.04353785845245375,0.046876228172661634,0.04706187317821326
KWVISVAMQJWJSZ,0.03259339100092743,0.009029231250589478,0.018038267785631168,0.03223949137750521,0.032248495583314205
KXGYBSNVFXBPNO,0.04062656070789192,0.0082602421490003,0.025902533850609456,0.03614324158803556,0.040596794731682054
KYGZCKSPAKDVKC,0.0037201474684903577,0.0008448639709373014,0.00213416401071993,0.0028179633230036786,0.0030558086119909077
LBGPXIPGGRQBJW,0.014074520566089469,0.008368076709409677,0.0011530849376138411,0.0050407299003261165,0.01340727770706765
LCOVYWIXMAJCDS,0.02000060018286227,0.01669838672811773,0.018135377232766894,0.019636175913647823,0.019705923042958606
LESVOLZBIFDZGS,0.01477684054427413,0.003994985396386317,0.00041662874421433127,0.0016326250376998176,0.014123560467432529
LFULEKSKNZEWOE,0.05579705212358925,0.026537076675601373,0.0545406081673356,0.046170313591005756,0.05518263885935417
LKJPSUCKSLORMF,0.12687544143276405,0.12665470423345965,0.1188157436143734,0.12504465264741566,0.12684635458794952
LLYYNOVSVPBRGV,0.0428089551713515,0.00010440298500524747,0.03705309787336787,0.0033544533615434136,0.0427815849302413
LMOINURANNBYCM,0.009967622760267811,0.004080957826934954,0.009755822087572953,0.008967100658847623,0.009963901904764004
LNJNFVJKDJYTEU,0.021017132524417025,0.01713683804593181,0.01650475000057887,0.0206535709621869,0.020725225706480967
LNOOSYCKMKZOJB,0.005392698203918905,0.0028500615830827597,0.00308515541746335,0.0032352617749239632,0.005276021847306462
LPEPZBJOKDYZAD,0.0037126074140167095,0.0027422765841944047,0.0005843706857058774,0.0010263081299347922,0.0036476615090129524
LQDARGUHUSPFNL,0.015432680999958414,0.0028828711942720953,0.012845917708836418,0.00871832088197758,0.014770027555729773
LQOLIRLGBULYKD,0.01012680287556509,0.008814403911199368,0.003483740762376497,0.006753650916519471,0.010065085926501523
LRUDIIUSNGCQKF,0.011154095983881054,0.0009095424190940504,0.009038887934205594,0.00652851290493694,0.01033355321463591
LUQMWGMGWJEGAT,0.014972796354869256,0.01248227942413237,0.006413711592627932,0.012460033202608831,0.014218206463468202
LVNYJXIBJFXIRZ,0.00220654893051753,0.0002884548222285804,0.0009384866900948355,3.467443296903492e-05,0.0021586133841670664
LVQDKIWDGQRHTE,0.00532640357684972,0.00465598641052082,0.00044033342373583743,0.002803184320238366,0.005324811520518754
LVXYAFNPMXCRJI,0.010402275316094436,0.0004035416470028943,0.0073303063291547815,0.0032171764739148097,0.009052420839875825
MBMQEIFVQACCCH,0.03082933083112078,0.025248358286039864,0.02680228065221645,0.030195341973334015,0.03027494346481941
MCJGNVYPOGVAJF,0.005603205313461444,0.0037834468478334625,0.0015322330075047894,0.0033179606700114513,0.005470839406761686
METKIMKYRPQLGS,0.011935484922066612,0.005660538875413866,0.0006585799998048234,0.0008291151774399552,0.01166349049529415
MFOUDYKPLGXPGO,0.00610903444428086,0.0024575875261563388,0.004367168129369308,0.003744920147097029,0.006100166088917803
MIZMDSVSLSIMSC,0.055638975897617876,2.413060201406081e-06,0.04208121236974123,0.0006268673514205209,0.0556263646750626
MKUXAQIIEYXACX,0.09026632279736177,0.08710340524205645,0.05843467159793486,0.07671302864052942,0.0899840200727061
MLBZKOGAMRTSKP,0.05631393935367945,0.026414359654769272,0.00011082580662931385,0.013036310299402352,0.05447043116507613
MLKCGVHIFJBRCD,0.013954072619388868,0.012548396070484257,0.002250295801749534,0.0074634476463189044,0.013426228340375131
MMOXZBCLCQITDF,0.022455420248646413,0.009001882904272188,0.01990107669438628,0.01852914452724544,0.02068768128164482
