cluster,complexity,expr,seed,test_r2_unweighted,test_r2_weighted,test_spearman,valid_r2
0,8,sqrt(inv(heteroatom_fraction) + aromatic_ring_count) / total_atom_count,1211763623,0.4241105803558445,0.4458827505112207,0.6473145831804685,0.35620230962572397
0,10,sqrt(aromatic_ring_count + (1.0397042 / heteroatom_fraction)) / total_atom_count,1211763623,0.41979932921875396,0.4495303423361072,0.6476675272208585,0.36408035825913543
-1,16,((aromatic_ring_count + 3.2244766) - heteroatom_fraction) * ((0.500473 / total_atom_count) - (rotatable_bonds * 0.03459636)),1211763623,0.47044976820367546,0.4877498933760761,0.6625124848057276,0.35754034072787433
20,12,(sqrt((inv(heteroatom_fraction) + aromatic_ring_count) + ring_count) / total_atom_count) + -0.31057382,1211763624,0.3960520859196476,0.4602613345674309,0.6537745944002609,0.379245212768317
21,18,((((aromatic_ring_count + 2.346544) + (tpsa / (cube(heteroatom_fraction) + 0.19375913))) / total_atom_count) + -0.9250559) / 2.3056593,1211763624,0.40057287472532077,0.4323636070669087,0.604427000685274,0.380375123872307
11,9,(2.3900673 - sqrt(heteroatom_fraction)) / total_atom_count,1211763625,0.40098905946229857,0.445527577700393,0.656445964844863,0.3885116197973558
0,10,(sqrt(inv(heteroatom_fraction) + aromatic_ring_count) + 0.034688774) / total_atom_count,1211763626,0.4070009558729092,0.4480613872294458,0.6467593048410619,0.3666741069058268
0,8,sqrt(inv(heteroatom_fraction) + aromatic_ring_count) / total_atom_count,1211763627,0.4241105803558445,0.4458827505112207,0.6473145831804685,0.35620230962572397
0,10,sqrt((aromatic_ring_count * 1.189567) + inv(heteroatom_fraction)) / total_atom_count,1211763627,0.39137171341483346,0.4394842919303522,0.6424524747619923,0.3549904085106993
-1,18,((aromatic_ring_count * ((9.902912 - cube(rotatable_bonds)) / 5.9007616)) + 3.2847264) / (total_atom_count * (heteroatom_fraction + 2.1542337)),1211763627,0.46072229557125355,0.4910375171893341,0.6801632065178349,0.3594127375844084
0,10,(sqrt(aromatic_ring_count + inv(heteroatom_fraction)) + 0.043154843) / total_atom_count,1211763628,0.40225932886102345,0.4480454646177475,0.6469205637560677,0.3687077690860041
0,10,sqrt(aromatic_ring_count + (1.0398384 / heteroatom_fraction)) / total_atom_count,1211763629,0.419783481788939,0.4495412810787679,0.6476675272208585,0.36410528424213184
-1,18,((((heteroatom_fraction / -1.233814) + aromatic_ring_count) + 2.631156) * (0.58031017 / total_atom_count)) + ((rotatable_bonds * -0.15000123) * aromatic_ring_count),1211763629,0.4929696410229074,0.49638910439064476,0.680914732770924,0.364665570098357
-1,20,((0.55011475 / total_atom_count) * ((aromatic_ring_count + 2.6905382) + (heteroatom_fraction / -1.2601349))) + ((aromatic_ring_count * (rotatable_bonds - 0.4975412)) * -0.20756936),1211763629,0.4908898057546941,0.4955344828306093,0.6878899308891689,0.3692314460690034
