group_key,s0,da,db,dk,dall
BBXXLROWFHWFQY,0.006626895739873461,0.004940755280527768,0.002509273620610498,0.0052642774386727495,0.006592048341970821
BCGWQEUPMDMJNV,0.001429740128431276,4.1145352414648055e-07,0.0014075105454702784,0.0002644966413047785,0.0014186758787045955
BCTQJXQXJVLSIG,0.011875396759400775,0.008435682033396303,0.011385454201930871,0.011128832363555757,0.011598905506829146
BDNFQGRSKSQXRI,0.005761081548705868,0.005172566030908039,0.005510681865330118,0.005718270020229312,0.005728502804510934
BEAXWKCHSPVXQB,0.09640550738100222,0.09183976657041787,0.09606176026321954,0.000912230858956628,0.09639914608327085
BEOZJBLIRPRMJM,0.004220117756348555,0.0007781375066560989,0.0038801317447006377,0.002636861737035203,0.004089383913997716
BEZZFPOZAYTVHN,0.03641602863378677,0.0279513777147967,0.03481751467804494,0.034596253788327105,0.03546884005276794
BGRWYRAHAFMIBJ,0.03202318389205606,0.029161714834000832,0.03076994655662601,0.031860028470711246,0.03202269087009681
BHAAPTBBJKJZER,0.01197381072332749,0.010238315742980703,0.010354750193333696,0.011483453755103479,0.011938293406150425
BHHGXPLMPWCGHP,0.039184333370879953,0.0385403251297383,0.03569955204712275,0.03888456642403144,0.039172001212538145
BIXJFIJYBLJTMK,0.019689222454896863,0.005841396593415571,0.018908687502363138,0.014084961306530329,0.019623754054308027
BJQHLKABXJIVAM,0.0019366194877867486,0.0018589218197608637,0.001652713409830424,0.0012638285900175212,0.0019264958241390754
BLGXFZZNTVWLAY,0.008735589371367133,0.0031988539164770277,0.008689841195705489,0.006928729787248341,0.008713790573455452
BMLIZLVNXIYGCK,0.010564811926015157,0.0020340768543371975,0.009126754130541424,0.005631696001455381,0.010530146203539563
BOFHKBLZOYVHSI,0.0013876470163647085,4.1190494344230675e-05,0.0006918699699730961,7.115339286369688e-05,0.0013794988971150188
BPICBUSOMSTKRF,0.003561705554340105,0.00017267776352108272,0.0013462318000805945,0.00014613493782458364,0.0034986401385926373
BQGRVFPPZJPWPB,0.007052370202503455,0.005998466405516725,0.006775681281398241,0.006971321649678693,0.007031537173372658
