spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012271109,[M+H]1+,556.235,SCHEMBL20266374,HYBAKUMPISVZQP,c1ccc(COc2cccc(C3CCN(Cc4nc5ccccc5n4CC4CCO4)CC3)n2)cc1
CCMSLIB00012271110,[M+H]1+,488.218,Zotatifin,QYCXWOACFWMQFO,c1ccc(C2CCC3c4cnccc4OC23c2ccccc2)cc1
CCMSLIB00012271111,[M+H]1+,501.097,Rilematovir,GTQTUABHRCWVLL,O=c1[nH]c2ccncc2n1Cc1cc2ccccc2[nH]1
CCMSLIB00012271112,[M+Na]1+,523.079,Rilematovir,GTQTUABHRCWVLL,O=c1[nH]c2ccncc2n1Cc1cc2ccccc2[nH]1
CCMSLIB00012271113,[M+H]1+,488.218,Zotatifin,QYCXWOACFWMQFO,c1ccc(C2CCC3c4cnccc4OC23c2ccccc2)cc1
CCMSLIB00012271114,[M+H]1+,508.215,Remibrutinib,CUABMPOJOBCXJI,O=C(Nc1cccc(-c2ccncn2)c1)c1ccc(C2CC2)cc1
CCMSLIB00012271115,[M+Na]1+,530.197,Remibrutinib,CUABMPOJOBCXJI,O=C(Nc1cccc(-c2ccncn2)c1)c1ccc(C2CC2)cc1
CCMSLIB00012271116,[M+K]1+,546.171,Remibrutinib,CUABMPOJOBCXJI,O=C(Nc1cccc(-c2ccncn2)c1)c1ccc(C2CC2)cc1
CCMSLIB00012271117,[2M+Na]1+,1037.41,Remibrutinib,CUABMPOJOBCXJI,O=C(Nc1cccc(-c2ccncn2)c1)c1ccc(C2CC2)cc1
CCMSLIB00012271120,[M+H]1+,785.499,Dolastatin 10,OFDNQWIFNXBECV,O=C(CCC1CCCN1)NC(Cc1ccccc1)c1nccs1
CCMSLIB00012271121,[M+H]1+,785.499,Dolastatin 10,OFDNQWIFNXBECV,O=C(CCC1CCCN1)NC(Cc1ccccc1)c1nccs1
CCMSLIB00012271122,[M+H]1+,556.235,SCHEMBL20266374,HYBAKUMPISVZQP,c1ccc(COc2cccc(C3CCN(Cc4nc5ccccc5n4CC4CCO4)CC3)n2)cc1
CCMSLIB00012271123,[M-H2O+H]1+,454.172,PF-06873600,QIEKHLDZKRQLLN,O=c1ccc2cnc(NC3CCNCC3)nc2n1C1CCCC1
CCMSLIB00012271124,[M+H]1+,472.182,PF-06873600,QIEKHLDZKRQLLN,O=c1ccc2cnc(NC3CCNCC3)nc2n1C1CCCC1
CCMSLIB00012271125,[M+Na]1+,494.164,PF-06873600,QIEKHLDZKRQLLN,O=c1ccc2cnc(NC3CCNCC3)nc2n1C1CCCC1
