key,libraries,routes,in_msnlib_v1_0
PNKLMTPXERFKEN,NIHNP,parent;recorded,True
PNKYIZBUGAZUHQ,ENAMMOL,parent;recorded,False
PNLACOFCRVYEKU,OTAVAPEP,parent;recorded,True
PNLYRFCYSJDWSN,ENAMDISC,parent;recorded,False
PNMBXNKQMQIEPE,ENAMDISC,parent;recorded,False
PNMFGNBDPHJCKG,ENAMDISC,parent;recorded,False
PNMUAGGSDZXTHX,MCEBIO,parent;recorded,True
PNMUTAPRQCPYRR,ENAMDISC,parent;recorded,False
PNMYJIOQIAEYQL,MCEBIO,parent;recorded,True
PNNNRSAQSRJVSB,MCEBIO;TARGETMOL,parent;recorded,True
PNOBUTWHZODPNT,MCESCAF,parent;recorded,True
PNORSTYFYAATJQ,ENAMDISC,parent;recorded,False
PNOUXTXNENTVGJ,MCEDIV,parent;recorded,False
PNOZUNOLVJSISN,MCEDIV;MCESCAF,parent;recorded,True
PNPBVBANDMIBGH,MCEDIV,parent;recorded,False
PNPFMWIDAKQFPY,MCEBIO,parent;recorded,True
PNPLYTNOEFFKNA,MCEDIV,parent;recorded,False
PNPNCWODFQDAGU,MCESCAF,parent;recorded,True
PNPORJRYTAHIER,OTAVAPEP,parent;recorded,True
PNQCVLCJEIZHLC,MCEDIV,parent;recorded,False
PNQHROWWZHNIDC,MCESCAF,parent;recorded,True
PNRBTPUFBQYHCL,MCEDIV,parent;recorded,False
PNRVLUVFHLZKEB,OTAVAPEP,parent;recorded,True
PNSFNXURLSDVRV,MCEBIO,parent;recorded,True
PNSVMINHRXTWPQ,MCEDIV,parent;recorded,False
PNSWVYDJOLOGSG,ENAMMOL,parent;recorded,False
PNSYFXATZUQYPL,MCEDIV,parent;recorded,False
PNTKQBHNDPKLGD,MCESCAF,parent;recorded,True
PNTNBIHOAPJYDB,MCEBIO,parent;recorded,True
PNTQVMBKHCOLQD,MCEBIO,parent;recorded,True
PNTWXEIQXBRCPS,TARGETMOL,parent;recorded,False
PNTXBZYAFODZSU,ENAMDISC,parent;recorded,False
PNTZNZGIKWFGLZ,MCEDIV,parent;recorded,False
PNUNLSCGIRDNMP,MCEDIV,parent;recorded,False
PNUUUACPYKMXQL,MCEDIV,parent;recorded,False
PNUUYAOSTKLADV,MCEDIV,parent;recorded,False
PNUZDKCDAWUEGK,MCEBIO;MCEDRUG,parent;recorded,True
PNUZTGLWURTQTO,NIHNP,parent;recorded,True
PNVNUDVHPJFGTC,MCEDIV,parent;recorded,False
PNVNVHUZROJLTJ,MCEBIO;MCEDRUG,parent;recorded,True
PNVPAVLXRNOBAC,ENAMDISC,parent;recorded,False
PNWILEWYMMEEJI,ENAMDISC,parent;recorded,False
PNWZEBXRUSBLKB,MCEDIV,parent;recorded,False
PNXDXIXSXHYIDP,ENAMDISC,parent;recorded,False
PNXFQCNEAFAIFT,MCEDIV,parent;recorded,False
PNXYEGILYPEDQA,ENAMMOL,parent;recorded,False
PNYQFRZBMVRYFC,NIHNP,parent;recorded,True
PNYRDVBFYVDJJI,MCEBIO,parent;recorded,True
PNYWECOOWCXIFT,MCEDIV;MCESCAF,parent;recorded,True
PNZCZVJMOLPZPI,MCEDIV,parent;recorded,False
PNZDGYGQGGIIRP,MCEDIV,parent;recorded,False
PNZRSLXZPKJLEN,NIHNP,parent;recorded,True
PNZRZOOCROTSTJ,MCEDIV,parent;recorded,False
POADTFBBIXOWFJ,MCEBIO,parent;recorded,True
POAGHKZQXKQJAC,MCEDIV;MCESCAF,parent;recorded,True
POAKLCFYAICTML,ENAMDISC,parent;recorded,False
POASCAFEUZQXNU,NIHNP,parent;recorded,True
POAUKTXHRFQSCA,ENAMDISC,parent;recorded,False
POBRGNBTIBJNSI,ENAMDISC,parent;recorded,False
POCAVWRYPSPEOA,MCEDIV,parent;recorded,False
POCHCQLLGFWNMN,MCEDIV,parent;recorded,False
POCPPRIXQFIVSK,MCEDIV,parent;recorded,False
PODMJASEFXTAIQ,ENAMDISC,parent;recorded,False
PODOHANMGXRCDW,MCEDIV,parent;recorded,False
POECSALNMPVJMR,ENAMDISC,parent;recorded,False
POEFJFLAFQWOTL,ENAMMOL,parent;recorded,False
POEMCGLQITZJIU,ENAMDISC,parent;recorded,False
POEPMACXGKZYPX,ENAMMOL,parent;recorded,False
POEWFBSYPFIYSK,MCEBIO,parent;recorded,True
POFGFTZNCIZGGC,MCEDIV,parent;recorded,False
POFKMPMQGQBJPR,MCEDIV,parent;recorded,False
POFWMCJRKYKAQV,MCESCAF,parent;recorded,True
POGHYZJRDNTIMH,MCEDIV,parent;recorded,False
POGKKNHSKMLKGK,ENAMDISC,parent;recorded,False
POGQSBRIGCQNEG,MCEBIO;MCEDRUG,parent;recorded,True
POGWMDPVFYZRGI,ENAMDISC,parent;recorded,False
POGYRZGBYQVCHX,MCEDIV,parent;recorded,False
POGYYFMPXAXSSX,MCEDIV,parent;recorded,False
