group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
PFFIDZXUXFLSSR,O=C(Nc1ccsc1)c1cn[nH]c1,360.135223388672,44.0,5.0,2.0,2.0,8.0,46.92,0.3333333333333333,3.0,1.0,1.0,3.0,WUR
PHNUZKMIPFFYSO,c1ccccc1,256.029144287109,27.0,2.0,1.0,1.0,7.0,29.1,0.25,1.0,1.0,0.0,2.0,WUR
PKKMITFKYRCCOL,N=C(Cc1c[nH]c2ccccc12)S[C@H]1CCCCO1,479.07926940917946,53.0,7.0,3.0,2.0,11.0,180.26999999999998,0.45161290322580644,2.0,10.0,2.0,0.0,WUR
PLYQBXHVYUJNQB,C1CCOCC1,374.057861328125,42.0,7.0,1.0,0.0,5.0,166.10999999999999,0.5217391304347826,1.0,9.0,2.0,0.0,WUR
PMCVMORKVPSKHZ,__ACYCLIC__PMCVMORKVPSKHZ,247.022338867188,28.0,7.0,0.0,0.0,2.0,52.60000000000001,0.5384615384615384,0.0,4.0,2.0,0.0,WUR
PNKLMTPXERFKEN,C1=C[C@H]2O[C@@H]3CCC(C2CC1)[C@]31CO1,442.243927001953,62.0,5.0,4.0,0.0,7.0,114.82000000000002,0.26666666666666666,0.0,8.0,0.0,0.0,WUR
PNVJTZOFSHSLTO,c1ccccc1,279.027069091797,31.0,5.0,1.0,1.0,5.0,27.69,0.375,0.0,3.0,2.0,0.0,WUR
PNVNVHUZROJLTJ,c1ccc(CC2CCCCC2)cc1,278.211608886719,47.0,5.0,2.0,1.0,5.0,32.7,0.15,1.0,2.0,0.0,0.0,WUR
PNXBXCRWXNESOV,O=c1cc(Cc2ccccc2)[nH]c(=S)[nH]1,219.058776855469,25.0,2.0,2.0,2.0,10.0,48.65,0.26666666666666666,2.0,1.0,1.0,0.0,WUR
PQFRTXSWDXZRRS,c1c[nH]cn1,201.061706542969,22.0,3.0,1.0,1.0,5.5,113.28,0.5714285714285714,4.0,4.0,0.0,0.0,WUR
PRGILOMAMBLWNG,O=c1cccc2c(c1)CCCc1ccccc1-2,386.16015625,51.0,4.0,3.0,2.0,11.5,97.58,0.25,1.0,6.0,0.0,0.0,WUR
PRLVTUNWOQKEAI,N=C1NC(=O)N(c2ccccc2)CS1,306.163177490234,44.0,2.0,2.0,1.0,7.0,35.91,0.23809523809523808,3.0,1.0,1.0,0.0,WUR
PTCGDEVVHUXTMP,O=C(Nc1ccccc1)c1ccccc1,324.120376586914,39.0,4.0,2.0,2.0,9.0,38.33,0.2608695652173913,1.0,2.0,0.0,3.0,WUR
