accession,cs_dir,cs_blob_sha,head_ce_string,head_frag_mode,head_ce_has_percent,head_ce_form,blob_2023_11,title,title_ce_text,title_adduct,api_instrument_type,api_ion_mode,design_row,in_2023_11_tree,blob_identical_2023_11,arm,n_conv_match,n_raw_match
MSBNK-AAFC-AC000507,AAFC,1f0a679fb9a36f112a3dbe07f39290755f1f3456,50(NCE),HCD,False,N(NCE),216b0c68374cba2ef62deb31c345df4751274390,Bostrycin; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,50,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000096,AAFC,ee164ae47500e8ad57904dd5ae177159f70758ae,20(NCE),HCD,False,N(NCE),425ccf26befc9de1c461db41f5249fb02432ff33,Culmorin; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,20,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000346,AAFC,f9ab117d3eead7195099a4a0e50c8dbc2744219c,55(NCE),HCD,False,N(NCE),2a1ded32ee5b75025a5c65eda37f4a85e2609ad7,Ergotamine; LC-ESI-ITFT; MS2; CE: 55; R=17500; [M+H]+,55,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000315,AAFC,a856e0fd5d10ce3e137f624ca2a61410d433aaa7,30(NCE),HCD,False,N(NCE),02c271d1fa892d7ac266a2c2c52f35ac799b44c0,Ergometrine; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,4.0
MSBNK-AAFC-AC000686,AAFC,a0c82b0ffc90d036d8081e0db3e880b0c2b5ab23,20(NCE),HCD,False,N(NCE),81dda38b698adb323c235bfaa0bbcfad91287951,Herqueichrysin; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,20,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000619,AAFC,535cea14cdbfe5af5464b07e777b478c7df56f6d,20(NCE),HCD,False,N(NCE),e3ce14920461b833076fedd6c4f581b07e58f697,Stachybocin C; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,20,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000171,AAFC,4dc4aadda9fc524454f2e670b66f932ce118f353,20(NCE),HCD,False,N(NCE),77e2b08a6576956071ba66a10deac3a490214cf8,Koninginin E; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,20,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,3.0
MSBNK-AAFC-AC000185,AAFC,a8c46fc7e7d29066b93c8a63b173d77a67c858fc,10(NCE),HCD,False,N(NCE),8f220173abdb1a47f44101194abffdf1101356de,Macrosporin; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,10,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000615,AAFC,7e17951e0b514a7eeaa38597189f1c290014d729,30(NCE),HCD,False,N(NCE),df5ce5a732b669944f54f109b37fe13973ca6f73,Stachybocin B; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,30,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000621,AAFC,1b5ef169538773782d6fb26d3d7e91c42e7adffe,35(NCE),HCD,False,N(NCE),603733ca1596b272c7fc8cdc67995569d8431807,Stachybocin C; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,35,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
