partition,model,frac,seed,mean_n_train,P1,MRMSE,AF,seconds
RANDOM,B1_MASS,1.0,0,1060.0,0.1446384065241205,0.1260634457693955,0.16075471698113208,0.599877119064331
RANDOM,TA_RIDGE,0.25,0,265.0,0.13188974515792698,0.11482445735926251,0.10490566037735849,0.12073993682861328
RANDOM,TA_RIDGE,0.25,1,265.0,0.13541494873817375,0.1180540237431454,0.13056603773584904,0.12047624588012695
RANDOM,TA_RIDGE,0.25,2,265.0,0.13495938194909313,0.11686111243282256,0.11924528301886793,0.11899805068969727
RANDOM,TA_RIDGE,0.5,0,530.0,0.13135978897740153,0.11492305053564504,0.10490566037735849,0.13397717475891113
RANDOM,TA_RIDGE,0.5,1,530.0,0.13147965706511403,0.11528683554858872,0.10943396226415095,0.13777375221252441
RANDOM,TA_RIDGE,0.5,2,530.0,0.13262618220720526,0.11583695193355098,0.1018867924528302,0.1817018985748291
RANDOM,TA_RIDGE,0.75,0,795.0,0.13059075872376805,0.11444349843096234,0.09509433962264151,0.15481805801391602
RANDOM,TA_RIDGE,0.75,1,795.0,0.13109723581641114,0.11481613126498615,0.09660377358490566,0.14997625350952148
RANDOM,TA_RIDGE,0.75,2,795.0,0.1302576563357156,0.11402692591486041,0.09886792452830188,0.1555347442626953
RANDOM,TA_RIDGE,1.0,0,1060.0,0.13061029545754754,0.11470428692933192,0.09584905660377359,0.1601700782775879
RANDOM,MORGAN_RIDGE,0.25,0,265.0,0.1270142342848385,0.10906654194711383,0.09509433962264151,0.7903921604156494
RANDOM,MORGAN_RIDGE,0.25,1,265.0,0.1308080605525928,0.11215971301462357,0.10490566037735849,0.7689318656921387
RANDOM,MORGAN_RIDGE,0.25,2,265.0,0.12604281701722955,0.10810980025014552,0.08830188679245284,0.7888679504394531
RANDOM,MORGAN_RIDGE,0.5,0,530.0,0.1250083484292772,0.10747168544844048,0.0830188679245283,1.3480181694030762
RANDOM,MORGAN_RIDGE,0.5,1,530.0,0.1215704161125825,0.10408688936022421,0.07924528301886792,1.3724229335784912
RANDOM,MORGAN_RIDGE,0.5,2,530.0,0.12216544892574656,0.10571823033616154,0.08226415094339623,1.3570799827575684
RANDOM,MORGAN_RIDGE,0.75,0,795.0,0.11730849398936248,0.10040099280472685,0.07018867924528302,2.113264322280884
RANDOM,MORGAN_RIDGE,0.75,1,795.0,0.11674176934873241,0.1004017001669271,0.07245283018867925,2.2057321071624756
RANDOM,MORGAN_RIDGE,0.75,2,795.0,0.11788020302832576,0.10104283808318192,0.07018867924528302,2.139068126678467
RANDOM,MORGAN_RIDGE,1.0,0,1060.0,0.11616302066478375,0.09985057846834883,0.0649056603773585,3.2032880783081055
