unique_sample_id,source_zip,member,file,n_candidates,file_sha256
pluskal_mce_1D1_I10_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_I10_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_I10_id.mzML,1,15290d93ed2d1956e2aa756c50097f357e1ad6ae19904b96f433749dbb5e696a
pluskal_mce_1D1_I14_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_I14_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_I14_id.mzML,1,3793e4f20066c0a37c576af69224600cb8855426a3710fc4379c9988f51e70d2
pluskal_mce_1D1_I3_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_I3_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_I3_id.mzML,1,1ce98c04f4a9f46b5bff7c2a3d5642b9a99c5fc523d0e12b0d82560dd7490388
pluskal_mce_1D1_I4_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_I4_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_I4_id.mzML,1,47277d934979cf1bde26af3dd71e803869737b5544a1d9ad544fcded5fa3a314
pluskal_mce_1D1_J10_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_J10_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_J10_id.mzML,1,973b6baa179e677d941e13f9e11bca0ab3dc34434c50093721d0edf6149be122
pluskal_mce_1D1_J11_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_J11_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_J11_id.mzML,1,27db5d4bd1094421d38ee022b1ea0a000ee0e20a84223dd2c581bcf274ba4dd1
pluskal_mce_1D1_J1_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_J1_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_J1_id.mzML,1,bf413c8b6c48489733c464e5b00d0f56194b624e381d57d469da02fdb20d07ea
pluskal_mce_1D1_J2_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_J2_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_J2_id.mzML,1,5d8d3a620e7bffc05bda742ecb2df841c47cf8c37fbe0c6a354c017c498c4697
pluskal_mce_1D1_J9_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_J9_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_J9_id.mzML,1,1c8f786d6403b510ae0b4d8584ce6d186bd0b1a9fb6b55747a2e779bbed8074a
pluskal_mce_1D1_K10_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_K10_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_K10_id.mzML,1,68db09da971953c231187f25006a733de80c2c3d4e7d20221c666b05e177044b
pluskal_mce_1D1_K19_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_K19_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_K19_id.mzML,1,c388c9c7cd1f6d6b0a28be0ac063d05b26def7dbbb1c19a381ecd4633e21d5ef
pluskal_mce_1D1_L12_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_L12_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_L12_id.mzML,1,12426351aaa44c1f08234a4348a2558755d2a773239f48b793e8063863ce32fe
pluskal_mce_1D1_L14_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_L14_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_L14_id.mzML,1,746e0110b4bcce1a0371878f0b5aa2d968c2fdd32c86c8be509624bd8438c42b
pluskal_mce_1D1_L22_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_L22_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_L22_id.mzML,1,b64ceb772556568ea41bb048deaa3daf6f6d9ff4d8542544c020778be74eeedd
pluskal_mce_1D1_L23_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_L23_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_L23_id.mzML,1,295004a5469c4ccd145f905966014fa8c6c7d2bc95f8db37824a6b19ae88bb57
pluskal_mce_1D1_L9_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_L9_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_L9_id.mzML,1,eb57199a26893426840db6a3b7eec0955d896893f25be91e1966c82ddf710dcb
pluskal_mce_1D1_M24_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_M24_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_M24_id.mzML,1,55691870578d84ba00b302c21759f974ca5e69316c099c76aa18d7635b81f847
pluskal_mce_1D1_M3_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_M3_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_M3_id.mzML,1,3fa5ba1096020c962878ee25b09460cc44a79423eea39528a28cbe9fdfe54ba2
pluskal_mce_1D1_M8_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_M8_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_M8_id.mzML,1,6e09b5e834e28fb9d7c22c68c0659c4bcc59e68ac0826d6b5cf2738b060134fc
