group_key,g_hat,g_var,weight,split
IOUNQDKNJZEDEP,0.28817466161332506,0.016285470190676294,0.4045623308485307,test
IPEHSCPRVOWQFQ,0.6422044843978163,0.03898229322768563,0.1690123190245015,train
IPKKHRVROFYTEK,0.4528082794937859,0.018739272751895398,0.35158716490947445,train
IRGFNBRYIWLUOO,0.7567294810816545,0.07367446276759565,0.08942702168168497,train
IRIAEXORFWYRCZ,0.21268580588617464,0.003527528383932563,1.8677348733220631,test
IRJQWZWMQCVOLA,0.454872810440441,0.018739272751893993,0.35158716490950076,valid
ISRUGXGCCGIOQO,0.8921541437858443,0.008710136735532737,0.7564161137019506,train
IUHMIOAKWHUFKU,0.9644870567502405,0.0044108844323789385,1.493688596994339,test
IVUXTESCPZUGJC,0.5411782057845995,0.004333659309071762,1.5203058914927654,train
IXSZQYVWNJNRAL,0.7568913358529276,0.07367446276760546,0.08942702168167305,test
IYAZLDLPUNDVAG,1.0782586586313498,0.004407449196244411,1.4948528016881784,train
IYIKLHRQXLHMJQ,0.5131443141439339,0.005047295917240733,1.3053500106461118,train
JAEZSIYNWDWMMN,1.7946374067714985,0.010812516293312228,0.609338992014226,test
JBDHZKLJNAIJNC,0.8178049177141817,0.010802875560302105,0.6098827800549078,train
JBIJLHTVPXGSAM,4.816507138601604,0.007452259928052237,0.8840925897530081,train
JCCNYMKQOSZNPW,1.9941636460322187,0.004016797303361202,1.6402340675221798,test
JCICIFOYVSPMHG,2.045286162901056,0.006502388334791066,1.0132412030903362,valid
JHWNWJKBPDFINM,1.5548234690553409,0.005106235412679628,1.2902828104916513,test
JJAPPCJXQFKMJL,2.0045504814508344,0.0040167973033614635,1.6402340675220732,test
JJJPNTQYUJPWGQ,1.9600082038628173,0.003874239251851644,1.7005887739523011,test
JLFNLZLINWHATN,1.3682602824541459,0.004355505111636153,1.5126805296824206,valid
JLRGJRBPOGGCBT,0.31509855424726413,35.096368487005506,0.00018772562699025875,train
JLYFCTQDENRSOL,1.1866812942072187,0.018960148291436735,0.34749136336027125,test
JNELGWHKGNBSMD,3.8515426091415623,0.006772400492302248,0.9728437925065091,test
JNRLEMMIVRBKJE,3.199352885092963,0.006109406095573345,1.078417063170518,train
JOOMJVFZQRQWKR,0.9664459806706827,0.004410884432379264,1.4936885969942288,train
JRBJSXQPQWSCCF,2.8402305734179336,0.004226328183582385,1.5589153262867612,train
JRBPAEWTRLWTQC,1.9875836598885275,0.004016797303361432,1.640234067522086,train
JTEGQNOMFQHVDC,0.4509777010409509,0.018739272751892595,0.3515871649095271,train
JUVSRZCUMWZBFK,1.9145339576628237,0.004106206675622268,1.6045192801470052,train
JWAZRIHNYRIHIV,3.63319874359577,0.016158920773147796,0.40773068151016223,train
JWUCHKBSVLQQCO,0.3877338225288719,0.1644110508242955,0.040073266038213706,train
JWYUFVNJZUSCSM,3.9538458907808725,0.012058320432826583,0.5463851965128003,train
KAJICSGLHKRDLN,0.7742931916003867,0.03112504419008322,0.21167802169429312,train
KCXZNSGUUQJJTR,0.297096310305974,0.016285470190676773,0.40456233084851884,train
KDGDTPNBDMVKHC,0.6104104787250083,0.03146002674478496,0.20942409975530055,valid
KFFQABQEJATQAT,0.4549610496044606,0.018739272751896123,0.3515871649094608,test
KIEDNEWSYUYDSN,0.8990422767163965,0.008710136735531192,0.7564161137020848,test
KJCVRFUGPWSIIH,2.5702919098991726,0.005277743374333738,1.2483531903701168,train
KLGMSAOQDHLCOS,0.4623816137585797,0.007968165795025593,0.8268512414007955,train
KNHGNICBXADRMC,1.3911818782337138,0.0030558630831267557,2.1560153711346697,train
KOKXXPKAPFSRCR,1.5691911021062286,0.00504978305592922,1.3047070946084254,train
KQSABULTKYLFEV,4.596007360021082,0.00709497740587549,0.9286129331219874,train
KRNUKKZDGDAWBF,2.42280406906014,0.01020028627546747,0.6459120461305213,train
KTALPKYXQZGAEG,2.8174597297763264,0.003931367470293678,1.6758768619541178,train
KVJXBPDAXMEYOA,1.4643930090913284,0.006504178086660064,1.0129623899470284,test
KYFWUBJMTHVBIF,1.2878817746655378,0.013456201795807652,0.4896246265686165,valid
KZHGPDSVHSDCMX,3.826501709647402,0.006440239208502793,1.0230191093842833,train
LAKWINYVWJPHQW,1.2783022019902,0.013456201795806984,0.48962462656864075,test
LGBYJXBCVZKJBL,0.31540672803876596,35.096368487005506,0.00018772562699025875,test
LIAWQASKBFCRNR,0.9023338375488906,0.008710136735531955,0.7564161137020186,train
LJOZMWRYMKECFF,1.02585511846965,0.0028890342570452644,2.2805156301755276,train
LLEMOWNGBBNAJR,3.249493050976584,0.005202540966835557,1.2663980584302275,train
LMEKQMALGUDUQG,0.8924480204692723,0.008710136735531534,0.7564161137020552,train
LMTIGABGABPAGU,1.8944042411226867,0.0041062066756214636,1.6045192801473194,test
LOUPRKONTZGTKE,1.0924577997291232,0.004416655501624815,1.491736853118943,valid
LQDARGUHUSPFNL,0.5443852564230772,0.0043336593090711785,1.5203058914929704,train
LUBJCRLGQSPQNN,2.627388840421701,0.004587015922353328,1.4363341856297944,train
LUVXHMJTVXZFPD,1.0899198618321015,0.0043702086992172765,1.5075911089747944,test
MBIZFBDREVRUHY,2.773385312747362,0.0038861171725375065,1.6953909228120887,train
MESJRHHDBDCQTH,4.590956723742292,0.00709497740587537,0.928612933122003,train
MEZLKOACVSPNER,0.8933355265941088,0.008710136735530566,0.7564161137021391,train
MGWAVDBGNNKXQV,0.430876194175153,0.02020651884557663,0.3260575376518426,train
MLKCGVHIFJBRCD,1.1944454646187441,0.012760573623714095,0.5163159567576415,train
MMCJEAKINANSOL,0.8923182114746562,0.008710136735532531,0.7564161137019685,train
MROJXXOCABQVEF,1.3527934529619146,0.004355505111635243,1.5126805296827373,train
MRQIXHXHHPWVIL,1.3371579498070196,0.004355505111634894,1.512680529682858,train
MVQUJEUCFOGFJU,1.9022844375904326,0.0041062066756217454,1.6045192801472092,train
MWKVXOJATACCCH,1.3964474589885554,0.003055863083126635,2.1560153711347545,test
MWYHLEQJTQJHSS,0.44505257171134166,0.018739272751893993,0.35158716490950076,valid
MXHTZQSKTCCMFG,0.580333908447835,0.016285470190676294,0.4045623308485307,train
NBNTWDUNCHRWMT,1.0821930575957321,0.004370208699217585,1.5075911089746878,test
NEBPTMCRLHKPOB,4.934228917847478,0.007565112371243166,0.8709041526400472,train
