n,accession,source_url,repo,release,requested_blob_sha1,filename,bytes,sha256,git_blob_sha1_recomputed,blob_sha_verified,status,error
30,MSBNK-Eawag-EQ01151002,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d39b4e98551f4e3ae4cd040a7ed6ba860c3f6eb5,MassBank/MassBank-data,2024.06,d39b4e98551f4e3ae4cd040a7ed6ba860c3f6eb5,MSBNK-Eawag-EQ01151002.txt,2945,19afd50ced24718b797476ab21cc5e5e3cca166fe6e744822c8dfe995606792d,d39b4e98551f4e3ae4cd040a7ed6ba860c3f6eb5,True,ok,
31,MSBNK-Eawag-EQ01151004,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/ed8642c9ef2337e8bb17505e9b0c6a20da48230e,MassBank/MassBank-data,2024.06,ed8642c9ef2337e8bb17505e9b0c6a20da48230e,MSBNK-Eawag-EQ01151004.txt,2926,7263ea644ae83d06a84342d6a0617569c7dc33329521d6c2debb4efaaad37589,ed8642c9ef2337e8bb17505e9b0c6a20da48230e,True,ok,
32,MSBNK-Eawag-EQ01153902,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/c87b52bf430454df71081fbba691ebe444100e20,MassBank/MassBank-data,2024.06,c87b52bf430454df71081fbba691ebe444100e20,MSBNK-Eawag-EQ01153902.txt,2629,78470520f429c22dce01c4b16509902822e6b369580e58e3acbcd82dd62d42c1,c87b52bf430454df71081fbba691ebe444100e20,True,ok,
33,MSBNK-Eawag-EQ01153904,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/228946ea04e86e87479df6e3c5e4c0397a1bc9a7,MassBank/MassBank-data,2024.06,228946ea04e86e87479df6e3c5e4c0397a1bc9a7,MSBNK-Eawag-EQ01153904.txt,4572,4880f1806e23363222514d84c07864383852301d369ec7f9872c1e47b47815d3,228946ea04e86e87479df6e3c5e4c0397a1bc9a7,True,ok,
34,MSBNK-Eawag-EQ01155202,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/371acf26205c6b2a83308610e818434448d31d96,MassBank/MassBank-data,2024.06,371acf26205c6b2a83308610e818434448d31d96,MSBNK-Eawag-EQ01155202.txt,2975,0bb8a0ff2724793e676ec02b71935f6b3f508752efca220873b1cebbfb233dfa,371acf26205c6b2a83308610e818434448d31d96,True,ok,
35,MSBNK-Eawag-EQ01155204,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/6228182950d34f4b04ed3c5443fbdafd332cb28a,MassBank/MassBank-data,2024.06,6228182950d34f4b04ed3c5443fbdafd332cb28a,MSBNK-Eawag-EQ01155204.txt,3235,5eae850b9be2906abe59e7afa35abca0b8c1429d5a3ecb2da1d3418f63408dbd,6228182950d34f4b04ed3c5443fbdafd332cb28a,True,ok,
36,MSBNK-Eawag-EQ01155402,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/286159c41e460b6beaa97c7f50abee4a7afd164b,MassBank/MassBank-data,2024.06,286159c41e460b6beaa97c7f50abee4a7afd164b,MSBNK-Eawag-EQ01155402.txt,2715,13a84b3529b031d39e4dfe02af68801a5d7f56180a6d0fcc76a6234281a11daa,286159c41e460b6beaa97c7f50abee4a7afd164b,True,ok,
37,MSBNK-Eawag-EQ01155404,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/a2b6913fb5ab603dd9f3c60c0a2d43372e2af584,MassBank/MassBank-data,2024.06,a2b6913fb5ab603dd9f3c60c0a2d43372e2af584,MSBNK-Eawag-EQ01155404.txt,3677,de6fe7f2d67617ede21ca8cdc7d5cf0517ffc2f7a0a0c43f8aacbe06d3d464dd,a2b6913fb5ab603dd9f3c60c0a2d43372e2af584,True,ok,
38,MSBNK-Eawag-EQ01190802,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/6e21e09ead70a118746b5d5e48e0773ccbbcbc07,MassBank/MassBank-data,2025.10,6e21e09ead70a118746b5d5e48e0773ccbbcbc07,MSBNK-Eawag-EQ01190802.txt,2844,4678a72e4f4b478374a806f7855d96b3d40adde293bbb36c5d0fcb153de4130b,6e21e09ead70a118746b5d5e48e0773ccbbcbc07,True,ok,
39,MSBNK-Eawag-EQ01190804,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/c9e88e88535bfec4b13dd810fadb4b5360466562,MassBank/MassBank-data,2025.10,c9e88e88535bfec4b13dd810fadb4b5360466562,MSBNK-Eawag-EQ01190804.txt,2993,75fba634490628408ae5b268d66fce9c1a46ed3f853af172b839edd898ee9f87,c9e88e88535bfec4b13dd810fadb4b5360466562,True,ok,
