compound_id,scaffold_group,formula,theoretical_mh,nce,K1,K2,K3,abs_K1_K2,abs_K2_K3,abs_K1_K3,d_K1_K2,d_K2_K3,d_K1_K3,in_null_region_450_550,mass_within_5pct_of_500_(475.0_to_525.0),mass_within_10pct_of_500_(450.0_to_550.0),mass_within_20pct_of_500_(400.0_to_600.0)
UJAWGGOCYUPCPS,c1ccc(Cc2ccc(Nc3ccc(Cc4ccccc4)cc3)cc2)cc1,C30H31N,406.25292645888,60.0,60.0,48.750351175065596,48.0,11.249648824934404,0.750351175065596,12.0,4.641110659489074,1.1173253213180894,4.619428913326836,False,False,False,True
VFBJXXJYHWLXRM,O=C(CCc1ccccc1)OCCSCCOC(=O)CCc1ccccc1,C38H58O6S,643.40268704288,30.0,30.0,38.60416122257279,38.0,8.604161222572792,0.6041612225727917,8.0,4.512399354477473,0.904396881357795,4.378604356622207,False,False,False,False
VFBJXXJYHWLXRM,O=C(CCc1ccccc1)OCCSCCOC(=O)CCc1ccccc1,C38H58O6S,643.40268704288,60.0,60.0,77.20832244514558,77.0,17.208322445145583,0.2083224451455834,17.0,4.900327250202783,0.3145325968352936,4.925325528064605,False,False,False,False
VNQNXQYZMPJLQX,O=c1n(Cc2ccccc2)c(=O)n(Cc2ccccc2)c(=O)n1Cc1ccccc1,C48H69N3O6,784.5259133948799,30.0,30.0,47.07155480369279,47.0,17.07155480369279,0.07155480369279132,17.0,4.916605773903066,0.10814631343281188,4.925325528064605,False,False,False,False
VNQNXQYZMPJLQX,O=c1n(Cc2ccccc2)c(=O)n(Cc2ccccc2)c(=O)n1Cc1ccccc1,C48H69N3O6,784.5259133948799,60.0,60.0,94.14310960738558,94.0,34.14310960738558,0.14310960738558265,34.0,5.333557206637751,0.21620404338746102,5.2990248865705025,False,False,False,False
XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,C7H13NO,128.10699050288,30.0,30.0,7.6864194301727995,7.0,22.313580569827202,0.6864194301727995,23.0,5.336385297084322,1.0246305899016026,5.199474846948167,False,False,False,False
XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,C7H13NO,128.10699050288,60.0,60.0,15.372838860345599,15.0,44.627161139654405,0.372838860345599,45.0,5.2079258635340615,0.5614920178000774,5.32642869200131,False,False,False,False
ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,C7H10N2O2,155.08150402688,30.0,30.0,9.3048902416128,9.0,20.6951097583872,0.30489024161279943,21.0,5.28135057715424,0.4597261246774529,5.333144826503071,False,False,False,False
ZIUHHBKFKCYYJD,__ACYCLIC__ZIUHHBKFKCYYJD,C7H10N2O2,155.08150402688,60.0,60.0,18.6097804832256,18.0,41.3902195167744,0.6097804832255989,42.0,5.492179644389866,0.9126427000473728,5.3133974808393285,False,False,False,False
ZQAFKGDWLSVTRI,O=C1C=CC(=O)C(Nc2ccccc2)=C1,C15H16N2O2,257.12845421888,30.0,30.0,15.4277072531328,15.0,14.5722927468672,0.4277072531327999,15.0,4.954035373104843,0.6433694784472278,5.0059838155986105,False,False,False,False
ZQAFKGDWLSVTRI,O=C1C=CC(=O)C(Nc2ccccc2)=C1,C15H16N2O2,257.12845421888,60.0,60.0,30.8554145062656,30.0,29.1445854937344,0.8554145062655998,30.0,5.6767431408117925,1.268062084391953,5.4641481759575505,False,False,False,False
