group_key,dist_1_minus_maxsim,leverage,mahalanobis,disagreement,sensitivity,domain_flag,pred_log_rmse,p_af,fold,thr_learned_q80,thr_learned_q90,thr_dist_q80,thr_dist_q90,rmse,af
XGXOSJSGDNPEEF,0.6542056074766356,0.011049349202496266,3.4190766513253434,0.08695026223658092,0.3932203232407492,0.0,-2.1513729343903507,0.10703735915223027,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.07762599568087815,0
XHZPRMZZQOIPDS,0.44999999999999996,0.009148805110332774,3.1111383955214804,0.37890779721580986,0.21268752173796787,0.0,-2.4684465535602436,0.04290785195763306,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.08237111935827349,0
XIGAUIHYSDTJHW,0.589041095890411,0.005359096865772849,2.381946909721806,0.10761922790203027,0.39403390994395676,0.0,-2.2029542528946155,0.07219106082323476,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.2095089379646748,1
XIUROWKZWPIAIB,0.4516129032258065,0.020689845187739697,4.680314940770463,0.20079221746865655,0.15127768845982523,0.0,-2.4622266472382646,0.06899630838553392,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.03141993431434632,0
XIXHUNCZQIRQOG,0.56,0.00458427678941843,2.2027162054032403,0.436258370919966,0.3850503882840736,0.0,-2.3909615325029825,0.04936701314190791,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.12078211701769752,0
XJOOMMHNYOJWCZ,0.4242424242424242,0.004673031134738755,2.224384983838008,0.1687998470099883,0.2758002057962551,0.0,-2.3615367599932817,0.04980084986124439,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.06604156143005344,0
XJSFLOJWULLJQS,0.42934782608695654,0.038720471930113194,6.402269239117561,0.08870211979878961,0.08200543304927219,0.0,-2.471468887570103,0.08348432843333539,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.040201751830657044,0
XKJMBINCVNINCA,0.6666666666666667,0.006116731630250554,2.543542755622275,0.09822150478151517,0.16921226942582604,0.0,-2.3115673060317734,0.060697941935648245,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.1112008680050037,0
XKNKHVGWJDPIRJ,0.7017543859649122,0.02579679096965199,5.215278671255865,0.0019329248534978305,0.382431645007005,0.0,-2.085648985689208,0.13647075195683633,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.10339009267697119,0
XLDBGFGREOMWSL,0.6964285714285714,0.013776177472876355,3.8181696526317257,0.0010728901907715305,0.22343828529074503,0.0,-2.29507646684005,0.07145288219351036,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.055910809959918886,0
XLNZEKHULJKQBA,0.36734693877551017,0.026279551856100973,5.274972392826988,0.1250388404396367,0.28504772195714995,0.0,-2.299000712540299,0.06271255919899885,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.051170016443433906,0
XMAYWYJOQHXEEK,0.578125,0.012467985819818814,3.632282048031964,0.5017429824132228,0.2884859668291706,0.0,-2.538437317457141,0.03239661604135824,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.18340766044993595,0
XMJFVIGTHMOGNZ,0.3764705882352941,0.02126827621612169,4.745291424194755,0.63169797671654,0.11873834112715571,0.0,-2.75995314741247,0.014182438160648975,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.0406252037902668,0
XMQFTWRPUQYINF,0.3829787234042553,0.010683947223374488,3.36250843926322,0.03378539169305239,0.24860096789273878,0.0,-2.3793174977056566,0.05739487905161388,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.06893979837413997,0
XMTQQYYKAHVGBJ,0.5909090909090908,0.005971311677097727,2.5130619174538564,0.08626925154915766,0.4048783566024436,0.0,-2.202306687331539,0.08574290498082451,0,-2.2220372844783394,-2.1841856940766355,0.6891891891891893,0.7361363636363637,0.20525373853536522,1
