group_key,dist_1_minus_maxsim,leverage,mahalanobis,disagreement,sensitivity,domain_flag,pred_log_rmse,p_af,fold,thr_learned_q80,thr_learned_q90,thr_dist_q80,thr_dist_q90,rmse,af
PHNUZKMIPFFYSO,0.6756756756756757,0.006753319483068095,2.672886770749652,0.11154234411631131,0.34833475607731257,0.0,-2.2473937573254883,0.08099494558772566,0,-2.1873815079452226,-2.1515030981418093,0.7200860215053764,0.75,0.05421204392989424,0
PHVGLTMQBUFIQQ,0.6527777777777778,0.004711232844747423,2.233500588381795,0.3831930891962195,0.30110331321063905,0.0,-2.3123913222612176,0.05708196413038049,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.23499855508869125,1
PIINGYXNCHTJTF,0.6774193548387097,0.014947513043778466,3.976906072336003,0.06839036330345427,0.3455956250942536,0.0,-2.2438911813168585,0.09920353246668905,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.15359508597038715,0
PJEIIBXJUDOMAN,0.6545454545454545,0.005619494258309875,2.43892055216171,0.06028510894787087,0.5527136849407923,0.0,-2.098198420574663,0.14417352321120874,0,-2.1873815079452226,-2.1515030981418093,0.7200860215053764,0.75,0.08782767295086125,0
PJSFRIWCGOHTNF,0.6455696202531646,0.0052301213540420265,2.3530829109808318,0.10555416144755012,0.2690691560881437,0.0,-2.284678787670709,0.05370589435158666,3,-2.2160356345063863,-2.1799093054721506,0.73,0.7539001349527665,0.12365896270517845,0
PJVWKTKQMONHTI,0.5340909090909092,0.009825239770046025,3.2252080094880067,0.26070359686432587,0.29355231693490014,0.0,-2.2861250348691957,0.1003136637435069,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.053455589352457436,0
PKKMITFKYRCCOL,0.6962962962962963,0.02787695578733464,5.432257073048425,0.4384683779646229,0.18873135130063617,0.0,-2.458710284394361,0.08378798539442533,4,-2.2032774446530317,-2.1708273458043466,0.7203888334995016,0.75,0.03723560017292371,0
PKOFBDHYTMYVGJ,0.6346153846153846,0.006681323091416911,2.658335441303143,0.03506991624000222,0.3938533257511136,0.0,-2.1922354150687906,0.09208990721724505,0,-2.1873815079452226,-2.1515030981418093,0.7200860215053764,0.75,0.04019703698587301,0
PKTIFYGCWCQRSX,0.4893617021276596,0.01732841187641005,4.282165581588298,0.08313062681983041,0.3205514451710366,0.0,-2.1964028472525117,0.12117616066823328,1,-2.1708327129554297,-2.140474175943195,0.7333333333333334,0.7583104395604395,0.0784576742137932,0
PLGBHVNNYDZWGZ,0.7666666666666666,0.008032341576801908,2.9159229864797998,0.1352649515709473,0.28636070199013275,0.0,-2.3528508923772313,0.0692066107511246,2,-2.2065849560307313,-2.157357812405661,0.7156143191221442,0.7447582205029014,0.08920101918969404,0
