record_id,file,series,parent_key,first_failed_rule,reason
MSBNK-EAWAG-ED089858,MSBNK-EAWAG-ED089858.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED089859,MSBNK-EAWAG-ED089859.txt,MSBNK-EAWAG-ED,IFKUPHYTIDOPIM,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091201,MSBNK-EAWAG-ED091201.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED091202,MSBNK-EAWAG-ED091202.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED091203,MSBNK-EAWAG-ED091203.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED091204,MSBNK-EAWAG-ED091204.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED091205,MSBNK-EAWAG-ED091205.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED091206,MSBNK-EAWAG-ED091206.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED091207,MSBNK-EAWAG-ED091207.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED091208,MSBNK-EAWAG-ED091208.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H11,NCE outside the frozen grid
MSBNK-EAWAG-ED091209,MSBNK-EAWAG-ED091209.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H11,NCE outside the frozen grid
MSBNK-EAWAG-ED091251,MSBNK-EAWAG-ED091251.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091252,MSBNK-EAWAG-ED091252.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091253,MSBNK-EAWAG-ED091253.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091254,MSBNK-EAWAG-ED091254.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091255,MSBNK-EAWAG-ED091255.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091256,MSBNK-EAWAG-ED091256.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091257,MSBNK-EAWAG-ED091257.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED091258,MSBNK-EAWAG-ED091258.txt,MSBNK-EAWAG-ED,XYGVUPXPWWMUAK,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED092301,MSBNK-EAWAG-ED092301.txt,MSBNK-EAWAG-ED,OYHPNVXZUBWKJE,PASS,eligible
MSBNK-EAWAG-ED092302,MSBNK-EAWAG-ED092302.txt,MSBNK-EAWAG-ED,OYHPNVXZUBWKJE,PASS,eligible
MSBNK-EAWAG-ED092303,MSBNK-EAWAG-ED092303.txt,MSBNK-EAWAG-ED,OYHPNVXZUBWKJE,PASS,eligible
MSBNK-EAWAG-ED092304,MSBNK-EAWAG-ED092304.txt,MSBNK-EAWAG-ED,OYHPNVXZUBWKJE,PASS,eligible
MSBNK-EAWAG-ED092305,MSBNK-EAWAG-ED092305.txt,MSBNK-EAWAG-ED,OYHPNVXZUBWKJE,PASS,eligible
