parent_key,smiles,scaffold_group,inchikey_s4,taut_key,skel_key,formula_calc,msg15_taut_hit,msg15_skel_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,pr7_taut_hit,pr7_skel_hit,pr8_comparator_taut_hit,pr8_comparator_skel_hit,design_a_taut_hit,design_a_skel_hit
DTXKFCMLEVLURZ,CC(C(NC([C@H](O)C(N)CCCCCCC)=O)C(N([C@H](C(N(C(C(N1CCCC1C(NC(C(O)=O)CC2=CC=C(O)C=C2)=O)=O)CC3=CC=C(O)C=C3)C)=O)C(C)C)C)=O)C,O=C(NCCc1ccccc1)C1CCCN1C(=O)CCc1ccccc1,DTXKFCMLEVLURZ-ZTYVOHGWSA-N,DTXKFCMLEVLURZ,JJJAYPKCOZWBSS,C45H68N6O10,False,False,False,False,False,False,False,False,False,False
FWWSPBIYNIQGJB,CCCC(N1[C@H](C(N[C@H](C(N[C@@H]([C@H](OC([C@H](C(C)C)N2)=O)C)C(N[C@@H](CCC3=CC=CC=C3)C(N[C@@H]4C([N@@]([C@H](C(N(C)[C@H](C2=O)CC5=CC=CC=C5)=O)[C@@H](C)O)[C@H](O)CC4)=O)=O)=O)=O)CO)=O)CCC1)=O,O=C1CN2CCCC(NC(=O)C(CCc3ccccc3)NC(=O)C(NC(=O)CNC(=O)C3CCCN3)COC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,FWWSPBIYNIQGJB-MZAIBGPZSA-N,FWWSPBIYNIQGJB,CFGTYBZSECBKLP,C50H70N8O13,False,False,False,False,False,False,False,False,False,False
FXNVBPMPLYGNFO,OC(C(NC(C(N(C(CC(C)C)C(NC(C(NC(CC1=CC=C(O)C=C1)C(O)=O)=O)CC2=CC=C(O)C=C2)=O)C)=O)C(O)C)=O)C(N)CCCCCCC,O=C(CCc1ccccc1)NCCc1ccccc1,FXNVBPMPLYGNFO-UHFFFAOYSA-N,FXNVBPMPLYGNFO,COVLKBSLCZLXKX,C39H59N5O10,False,False,False,False,False,False,False,False,False,False
GKSSZFHZBNEQFN,CCCC(NC(C(NC(C(NC(CCCNC(N)=N)C(NC1C(N(C(C(N(C(C(NC2C(C)C)=O)CC3=CC=CC=C3)C)=O)CC4=CC=CC=C4)C(O)CC1)=O)=O)=O)C(OC2=O)C)=O)CC(O)=O)=O,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC(=O)CN1)C2=O,GKSSZFHZBNEQFN-UHFFFAOYSA-N,GKSSZFHZBNEQFN,MLCPZXVDTOAAQA,C47H66N10O12,False,False,False,False,False,False,False,False,False,False
GNRHIDBFAWGJDI,CC(C)C1=C(C(=O)OC1=CC2=CC=C(C=C2)OC)CC3=CC4=C(C(=C3)Cl)OCO4,O=C1OC(=Cc2ccccc2)C=C1Cc1ccc2c(c1)OCO2,GNRHIDBFAWGJDI-UHFFFAOYSA-N,GNRHIDBFAWGJDI,YODXGTHOELZIQW,C23H21ClO5,False,False,False,False,False,False,False,False,False,False
GTUNZCVHPMEXMH,CC(C)[C@@H](C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC1=CC=C(C=C1)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)O)NC(=O)[C@H]([C@H](CCCCCCCCl)N)O,O=C(NCCc1ccccc1)C1CCCN1C(=O)CCc1ccccc1,GTUNZCVHPMEXMH-ZTYVOHGWSA-N,GTUNZCVHPMEXMH,JVFVGVQJFRLLLB,C45H67ClN6O10,False,False,False,False,False,False,False,False,False,False
HFRWIDDUABJXBW,O=C(NC(C(NC(C(NC(CCCNC(N)=N)C(NC1C(N(C(C(N(C(C(NC2C(C)C)=O)CC3=CC=CC=C3)C)=O)CC4=CC=CC=C4)C(O)CC1)=O)=O)=O)C(OC2=O)C)=O)CC(O)=O)CCCCC,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC(=O)CN1)C2=O,HFRWIDDUABJXBW-UHFFFAOYSA-N,HFRWIDDUABJXBW,HJLNGTXXLBGJAX,C49H70N10O12,False,False,False,False,False,False,False,False,False,False
HQMATMGVGJKSPD,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC(C3=C(NC([H])=O)C=CC=C3)=O)C)=O)CC(C)C)=O)C(C)C)=O)=O)C,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(CC(=O)c2ccccc2)NC(=O)CNC(=O)CN1,HQMATMGVGJKSPD-MMHNDARSSA-N,HQMATMGVGJKSPD,XAPQMDJSVFUBAH,C45H64N8O10,False,False,False,False,False,False,False,False,False,False
IFKUPHYTIDOPIM,O=C(NC(CC1=CC=C(O)C=C1)C(O)=O)C(CCC2=CC=C(O)C=C2)NC(C(CC(C)C)NC(C(C(C)C)NC(C(O)C(N[H])CCCCCCC)=O)=O)=O,O=C(CCCc1ccccc1)NCCc1ccccc1,IFKUPHYTIDOPIM-UHFFFAOYSA-N,IFKUPHYTIDOPIM,CMAHMYOBRCXEPM,C40H61N5O9,False,False,False,False,False,False,False,False,False,False
IPQXHBHVRZYMAN,CC(C)[C@@H](C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC1=CC=C(C=C1)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)O)NC(=O)[C@H]([C@H](CCCCCCC(Cl)Cl)N)O,O=C(NCCc1ccccc1)C1CCCN1C(=O)CCc1ccccc1,IPQXHBHVRZYMAN-RATCGQHHSA-N,IPQXHBHVRZYMAN,BVSFRWVJDZQYJU,C45H66Cl2N6O10,False,False,False,False,False,False,False,False,False,False
IWIZOMWAHIZTOM,CCCCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl,c1ccc(OC2CCCCO2)cc1,IWIZOMWAHIZTOM-ZQWJTRQNSA-N,IWIZOMWAHIZTOM,FVCANIYJVRTHMS,C37H64Cl2O6,False,False,False,False,False,False,False,False,False,False
