DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID0037495,Deisopropylatrazine,1007-28-9,IVENSCMCQBJAKW-UHFFFAOYSA-N,"6-Chloro-N~2~-ethyl-1,3,5-triazine-2,4-diamine",CCNC1=NC(N)=NC(Cl)=N1,"InChI=1S/C5H8ClN5/c1-2-8-5-10-3(6)9-4(7)11-5/h2H2,1H3,(H3,7,8,9,10,11)",C5H8ClN5,173.6,173.046823,67,12,56,34
DTXSID0037576,Monolinuron,1746-81-2,LKJPSUCKSLORMF-UHFFFAOYSA-N,N'-(4-Chlorophenyl)-N-methoxy-N-methylurea,CON(C)C(=O)NC1=CC=C(Cl)C=C1,"InChI=1S/C9H11ClN2O2/c1-12(14-2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)",C9H11ClN2O2,214.65,214.0509053,59,14,53,18
DTXSID0037653,Doxycycline,564-25-0,JBIWCJUYHHGXTC-AKNGSSGZSA-N,"(4S,4aR,5S,5aR,6R,12aS)-4-(Dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C1C=CC=C2O,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25,27-29,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1",C22H24N2O8,444.44,444.1532657,55,8292,157,15
DTXSID0040549,Isobutylmethylxanthine,28822-58-4,APIXJSLKIYYUKG-UHFFFAOYSA-N,"1-Methyl-3-(2-methylpropyl)-3,7-dihydro-1H-purine-2,6-dione",CC(C)CN1C2=C(NC=N2)C(=O)N(C)C1=O,"InChI=1S/C10H14N4O2/c1-6(2)4-14-8-7(11-5-12-8)9(15)13(3)10(14)16/h5-6H,4H2,1-3H3,(H,11,12)",C10H14N4O2,222.248,222.1116757,31,5000,223,-
DTXSID0040961,Agmatine,306-60-5,QYPPJABKJHAVHS-UHFFFAOYSA-N,N-(4-Aminobutyl)guanidine,NCCCCNC(N)=N,"InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)",C5H14N4,130.195,130.1218465,29,730,118,2
DTXSID0040969,Aristolochic acid,313-67-7,BBFQZRXNYIEMAW-UHFFFAOYSA-N,"8-Methoxy-6-nitro-2H-phenanthro[3,4-d][1,3]dioxole-5-carboxylic acid",COC1=C2C=C(C3=C(C=C4OCOC4=C3C2=CC=C1)C(O)=O)[N+]([O-])=O,"InChI=1S/C17H11NO7/c1-23-12-4-2-3-8-9(12)5-11(18(21)22)14-10(17(19)20)6-13-16(15(8)14)25-7-24-13/h2-6H,7H2,1H3,(H,19,20)",C17H11NO7,341.275,341.0535517,31,600,132,2
DTXSID0041698,Butoxycarboxim,34681-23-7,CTJBHIROCMPUKL-WEVVVXLNSA-N,"(5E)-6,7-Dimethyl-8,8-dioxo-4-oxa-8lambda~6~-thia-2,5-diazanon-5-en-3-one",CNC(=O)O\N=C(/C)C(C)S(C)(=O)=O,"InChI=1/C7H14N2O4S/c1-5(6(2)14(4,11)12)9-13-7(10)8-3/h6H,1-4H3,(H,8,10)/b9-5+",C7H14N2O4S,222.26,222.0674281,36,-,23,7
DTXSID0041800,Crimidine,535-89-7,HJIUPFPIEBPYIE-UHFFFAOYSA-N,"2-Chloro-N,N,6-trimethylpyrimidin-4-amine",CN(C)C1=CC(C)=NC(Cl)=N1,"InChI=1S/C7H10ClN3/c1-5-4-6(11(2)3)10-7(8)9-5/h4H,1-3H3",C7H10ClN3,171.63,171.056325,37,10,61,8
DTXSID0042614,Tetrabenazine,58-46-8,MKJIEFSOBYUXJB-UHFFFAOYSA-N,"9,10-Dimethoxy-3-(2-methylpropyl)-1,3,4,6,7,11b-hexahydro-2H-pyrido[2,1-a]isoquinolin-2-one",COC1=CC2=C(C=C1OC)C1CC(=O)C(CC(C)C)CN1CC2,"InChI=1/C19H27NO3/c1-12(2)7-14-11-20-6-5-13-8-18(22-3)19(23-4)9-15(13)16(20)10-17(14)21/h8-9,12,14,16H,5-7,10-11H2,1-4H3",C19H27NO3,317.429,317.1990937,33,1099,97,16
DTXSID0043765,Ouabain,630-60-4,LPMXVESGRSUGHW-HBYQJFLCSA-N,"(1beta,3beta,5beta,11alpha)-3-[(6-Deoxy-alpha-L-mannopyranosyl)oxy]-1,5,11,14,19-pentahydroxycard-20(22)-enolide",C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C29H44O12/c1-13-22(34)23(35)24(36)25(40-13)41-15-8-19(32)28(12-30)21-17(3-5-27(28,37)9-15)29(38)6-4-16(14-7-20(33)39-11-14)26(29,2)10-18(21)31/h7,13,15-19,21-25,30-32,34-38H,3-6,8-12H2,1-2H3/t13-,15-,16+,17+,18+,19+,21+,22-,23+,24+,25-,26+,27-,28+,29-/m0/s1",C29H44O12,584.659,584.2832769,48,16021,93,5
