DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID4046319,Aconitine,302-27-2,XFSBVAOIAHNAPC-XTHSEXKGSA-N,"(1alpha,3alpha,6alpha,14alpha,15alpha,16beta,17xi)-8-(Acetyloxy)-20-ethyl-3,13,15-trihydroxy-1,6,16-trimethoxy-4-(methoxymethyl)aconitan-14-yl benzoate",CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4C1[C@@]3([C@@H]1C[C@@]3(O)[C@H](OC(=O)C5=CC=CC=C5)[C@@H]1[C@]4(OC(C)=O)[C@@H](O)[C@@H]3OC)[C@H](C[C@H]2O)OC,"InChI=1S/C34H47NO11/c1-7-35-15-31(16-41-3)20(37)13-21(42-4)33-19-14-32(40)28(45-30(39)18-11-9-8-10-12-18)22(19)34(46-17(2)36,27(38)29(32)44-6)23(26(33)35)24(43-5)25(31)33/h8-12,19-29,37-38,40H,7,13-16H2,1-6H3/t19-,20-,21+,22-,23+,24+,25-,26?,27+,28-,29+,31+,32-,33+,34-/m1/s1",C34H47NO11,645.746,645.3149113,32,1376,28,7
DTXSID4046444,Abacavir,136470-78-5,MCGSCOLBFJQGHM-PSASIEDQSA-N,"{(1S,4S)-4-[2-Amino-6-(cyclopropylamino)-9H-purin-9-yl]cyclopent-2-en-1-yl}methanol",NC1=NC(NC2CC2)=C2N=CN([C@H]3C[C@H](CO)C=C3)C2=N1,"InChI=1S/C14H18N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H3,15,17,18,19)/t8-,10-/m1/s1",C14H18N6O,286.339,286.1542092,22,1031,8,14
DTXSID4046446,Entecavir,142217-69-4,QDGZDCVAUDNJFG-FXQIFTODSA-N,"2-Amino-9-[(1S,3R,4S)-4-hydroxy-3-(hydroxymethyl)-2-methylidenecyclopentyl]-1,9-dihydro-6H-purin-6-one",NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)C2=C)C(=O)N1,"InChI=1S/C12H15N5O3/c1-5-6(3-18)8(19)2-7(5)17-4-14-9-10(17)15-12(13)16-11(9)20/h4,6-8,18-19H,1-3H2,(H3,13,15,16,20)/t6-,7-,8-/m0/s1",C12H15N5O3,277.284,277.1174894,23,1046,89,10
DTXSID4046498,Adrafinil,63547-13-7,CGNMLOKEMNBUAI-UHFFFAOYSA-N,2-(Diphenylmethanesulfinyl)-N-hydroxyacetamide,ONC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1/C15H15NO3S/c17-14(16-18)11-20(19)15(12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-10,15,18H,11H2,(H,16,17)",C15H15NO3S,289.35,289.0772645,23,24,54,7
DTXSID4046521,Actinoquinol,15301-40-3,YAMVZYRZAMBCED-UHFFFAOYSA-N,8-Ethoxyquinoline-5-sulfonic acid,CCOC1=CC=C(C2=C1N=CC=C2)S(O)(=O)=O,"InChI=1S/C11H11NO4S/c1-2-16-9-5-6-10(17(13,14)15)8-4-3-7-12-11(8)9/h3-7H,2H2,1H3,(H,13,14,15)",C11H11NO4S,253.27,253.040879,24,2,49,2
DTXSID4046868,Sulfathiourea,515-49-1,UEMLYRZWLVXWRU-UHFFFAOYSA-N,4-Amino-N-carbamothioylbenzene-1-sulfonamide,NC(=S)NS(=O)(=O)C1=CC=C(N)C=C1,"InChI=1S/C7H9N3O2S2/c8-5-1-3-6(4-2-5)14(11,12)10-7(9)13/h1-4H,8H2,(H3,9,10,13)",C7H9N3O2S2,231.29,231.0136189,31,12,32,2
DTXSID4046941,Dequalinium,6707-58-0,PCSWXVJAIHCTMO-UHFFFAOYSA-P,"1,1'-(Decane-1,10-diyl)bis(4-amino-2-methylquinolin-1-ium)",CC1=CC(N)=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]1=C2C=CC=CC2=C(N)C=C1C,"InChI=1S/C30H38N4/c1-23-21-27(31)25-15-9-11-17-29(25)33(23)19-13-7-5-3-4-6-8-14-20-34-24(2)22-28(32)26-16-10-12-18-30(26)34/h9-12,15-18,21-22,31-32H,3-8,13-14,19-20H2,1-2H3/p+2",C30H40N4,456.677,456.3242001,16,214,98,1
DTXSID4048145,N-Butylscopolamine,7182-53-8,YBCNXCRZPWQOBR-WVHCHWADSA-N,"(1R,2R,4S,5S,7s)-9-Butyl-7-{[(2S)-3-hydroxy-2-phenylpropanoyl]oxy}-9-methyl-3-oxa-9-azatricyclo[3.3.1.0~2,4~]nonan-9-ium",CCCC[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,"InChI=1S/C21H30NO4/c1-3-4-10-22(2)17-11-15(12-18(22)20-19(17)26-20)25-21(24)16(13-23)14-8-6-5-7-9-14/h5-9,15-20,23H,3-4,10-13H2,1-2H3/q+1/t15-,16-,17-,18+,19-,20+,22?/m1/s1",C21H30NO4,360.473,360.2169349,9,581,27,-
DTXSID4048274,Melitracen,5118-29-6,GWWLWDURRGNSRS-UHFFFAOYSA-N,"3-(10,10-Dimethylanthracen-9(10H)-ylidene)-N,N-dimethylpropan-1-amine",CN(C)CCC=C1C2=C(C=CC=C2)C(C)(C)C2=C1C=CC=C2,"InChI=1S/C21H25N/c1-21(2)19-13-7-5-10-17(19)16(12-9-15-22(3)4)18-11-6-8-14-20(18)21/h5-8,10-14H,9,15H2,1-4H3",C21H25N,291.438,291.1986998,21,64,39,2
DTXSID4048351,Pyridoxal phosphate,54-47-7,NGVDGCNFYWLIFO-UHFFFAOYSA-N,(4-Formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate,CC1=C(O)C(C=O)=C(COP(O)(O)=O)C=N1,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)",C8H10NO6P,247.143,247.024574,30,6029,187,9
DTXSID4048484,Heptaminol,372-66-7,LREQLEBVOXIEOM-UHFFFAOYSA-N,6-Amino-2-methylheptan-2-ol,CC(N)CCCC(C)(C)O,"InChI=1/C8H19NO/c1-7(9)5-4-6-8(2,3)10/h7,10H,4-6,9H2,1-3H3",C8H19NO,145.246,145.1466642,17,74,79,3
DTXSID4049082,Prazosin,19216-56-9,IENZQIKPVFGBNW-UHFFFAOYSA-N,"[4-(4-Amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl](furan-2-yl)methanone",COC1=CC2=NC(=NC(N)=C2C=C1OC)N1CCN(CC1)C(=O)C1=CC=CO1,"InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)",C19H21N5O4,383.408,383.1593542,34,7457,155,10
DTXSID4052342,Thymine,65-71-4,RWQNBRDOKXIBIV-UHFFFAOYSA-N,"5-Methylpyrimidine-2,4(1H,3H)-dione",CC1=CNC(=O)NC1=O,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)",C5H6N2O2,126.115,126.0429274,47,6305,198,8
DTXSID4057681,Dabigatran etexilate,211915-06-9,KSGXQBZTULBEEQ-UHFFFAOYSA-N,Ethyl N-{2-[(4-{N'-[(hexyloxy)carbonyl]carbamimidoyl}anilino)methyl]-1-methyl-1H-benzimidazole-5-carbonyl}-N-pyridin-2-yl-beta-alaninate,CCCCCCOC(=O)\N=C(\N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=NC=CC=C3)N2C)C=C1,"InChI=1S/C34H41N7O5/c1-4-6-7-10-21-46-34(44)39-32(35)24-12-15-26(16-13-24)37-23-30-38-27-22-25(14-17-28(27)40(30)3)33(43)41(20-18-31(42)45-5-2)29-11-8-9-19-36-29/h8-9,11-17,19,22,37H,4-7,10,18,20-21,23H2,1-3H3,(H2,35,39,44)",C34H41N7O5,627.746,627.3169174,23,-,27,6
DTXSID4059207,"Hydrazine, (4-nitrophenyl)-",100-16-3,KMVPXBDOWDXXEN-UHFFFAOYSA-N,(4-Nitrophenyl)hydrazine,NNC1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C6H7N3O2/c7-8-5-1-3-6(4-2-5)9(10)11/h1-4,8H,7H2",C6H7N3O2,153.141,153.0538265,21,14,90,-
DTXSID40631251,1-Phenyl-2-(pyrrolidin-1-yl)butan-1-one,13415-54-8,GSESDIFGJCCBHN-UHFFFAOYSA-N,1-Phenyl-2-(pyrrolidin-1-yl)butan-1-one,CCC(N1CCCC1)C(=O)C1=CC=CC=C1,"InChI=1S/C14H19NO/c1-2-13(15-10-6-7-11-15)14(16)12-8-4-3-5-9-12/h3-5,8-9,13H,2,6-7,10-11H2,1H3",C14H19NO,217.312,217.1466642,6,-,12,-
DTXSID40658382,"1-(4-Ethoxy-3,5-dimethoxyphenyl)propan-2-amine",146849-92-5,AHLXCGRWNKUNTQ-UHFFFAOYSA-N,"1-(4-Ethoxy-3,5-dimethoxyphenyl)propan-2-amine",CCOC1=C(OC)C=C(CC(C)N)C=C1OC,"InChI=1/C13H21NO3/c1-5-17-13-11(15-3)7-10(6-9(2)14)8-12(13)16-4/h7-9H,5-6,14H2,1-4H3",C13H21NO3,239.315,239.1521435,3,-,9,-
DTXSID40859958,"1-(1,3-benzodioxol-5-yl)propan-2-amine",NOCAS_859958,NGBBVGZWCFBOGO-UHFFFAOYSA-N,"1-(2H-1,3-Benzodioxol-5-yl)propan-2-amine",CC(N)CC1=CC=C2OCOC2=C1,"InChI=1/C10H13NO2/c1-7(11)4-8-2-3-9-10(5-8)13-6-12-9/h2-3,5,7H,4,6,11H2,1H3",C10H13NO2,179.219,179.0946287,18,874,-,16
DTXSID40861874,(+/-)-Norleucine,616-06-8,LRQKBLKVPFOOQJ-UHFFFAOYSA-N,Norleucine,CCCCC(N)C(O)=O,"InChI=1/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)",C6H13NO2,131.175,131.0946287,17,442,-,-
DTXSID40869118,O-Desmethyl Venlafaxine,93413-62-8,KYYIDSXMWOZKMP-UHFFFAOYSA-N,4-[2-(Dimethylamino)-1-(1-hydroxycyclohexyl)ethyl]phenol,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,"InChI=1/C16H25NO2/c1-17(2)12-15(13-6-8-14(18)9-7-13)16(19)10-4-3-5-11-16/h6-9,15,18-19H,3-5,10-12H2,1-2H3",C16H25NO2,263.381,263.188529,24,-,-,7
DTXSID40878402,Khellol Glucoside,17226-75-4,SJRACCTZSAUMGO-WIMVFMHDSA-N,"(4-Methoxy-5-oxo-5H-furo[3,2-g][1]benzopyran-7-yl)methyl beta-D-glucopyranoside",COC1=C2C=COC2=CC2=C1C(=O)C=C(CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)O2,"InChI=1S/C19H20O10/c1-25-18-9-2-3-26-11(9)5-12-14(18)10(21)4-8(28-12)7-27-19-17(24)16(23)15(22)13(6-20)29-19/h2-5,13,15-17,19-20,22-24H,6-7H2,1H3/t13-,15-,16+,17-,19-/m1/s1",C19H20O10,408.359,408.1056468,8,-,-,2
DTXSID40891434,Norketamine,35211-10-0,BEQZHFIKTBVCAU-UHFFFAOYSA-N,2-Amino-2-(2-chlorophenyl)cyclohexanone,NC1(CCCCC1=O)C1=C(Cl)C=CC=C1,"InChI=1/C12H14ClNO/c13-10-6-2-1-5-9(10)12(14)8-4-3-7-11(12)15/h1-2,5-6H,3-4,7-8,14H2",C12H14ClNO,223.7,223.0763918,7,-,-,-
DTXSID40894102,m-(2-(Dimethylaminomethyl)-1-hydroxycyclohexyl)phenol,73986-53-5,UWJUQVWARXYRCG-UHFFFAOYSA-N,3-{2-[(Dimethylamino)methyl]-1-hydroxycyclohexyl}phenol,CN(C)CC1CCCCC1(O)C1=CC(O)=CC=C1,"InChI=1/C15H23NO2/c1-16(2)11-13-6-3-4-9-15(13,18)12-7-5-8-14(17)10-12/h5,7-8,10,13,17-18H,3-4,6,9,11H2,1-2H3",C15H23NO2,249.354,249.172879,3,-,-,-
DTXSID50158606,Nicotinoylprocaine,13424-56-1,NTPIQBSWTZGMTC-UHFFFAOYSA-N,2-(Diethylamino)ethyl 4-[(pyridine-3-carbonyl)amino]benzoate,CCN(CC)CCOC(=O)C1=CC=C(NC(=O)C2=CN=CC=C2)C=C1,"InChI=1S/C19H23N3O3/c1-3-22(4-2)12-13-25-19(24)15-7-9-17(10-8-15)21-18(23)16-6-5-11-20-14-16/h5-11,14H,3-4,12-13H2,1-2H3,(H,21,23)",C19H23N3O3,341.411,341.1739416,10,5,19,-
DTXSID50171370,Azintamide,1830-32-6,SSLKKMZJCJBOML-UHFFFAOYSA-N,"2-[(6-Chloropyridazin-3-yl)sulfanyl]-N,N-diethylacetamide",CCN(CC)C(=O)CSC1=NN=C(Cl)C=C1,"InChI=1S/C10H14ClN3OS/c1-3-14(4-2)10(15)7-16-9-6-5-8(11)12-13-9/h5-6H,3-4,7H2,1-2H3",C10H14ClN3OS,259.75,259.054611,20,5,34,2
DTXSID50177039,4-Fluoro-phenylpiperazine,2252-63-3,AVJKDKWRVSSJPK-UHFFFAOYSA-N,1-(4-Fluorophenyl)piperazine,FC1=CC=C(C=C1)N1CCNCC1,"InChI=1S/C10H13FN2/c11-9-1-3-10(4-2-9)13-7-5-12-6-8-13/h1-4,12H,5-8H2",C10H13FN2,180.226,180.1062766,21,2,96,-
DTXSID50181070,N-desmethylflunitrazepam,2648-00-2,BHRKXOYRRFPATI-UHFFFAOYSA-N,"7-Fluoro-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one",FC1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,"InChI=1S/C15H11FN2O/c16-11-6-7-13-12(8-11)15(17-9-14(19)18-13)10-4-2-1-3-5-10/h1-8H,9H2,(H,18,19)",C15H11FN2O,254.264,254.0855411,11,9,19,-
DTXSID50184389,Prothipendyl,303-69-5,JTTAUPUMOLRVRA-UHFFFAOYSA-N,"N,N-Dimethyl-3-(10H-pyrido[3,2-b][1,4]benzothiazin-10-yl)propan-1-amine",CN(C)CCCN1C2=CC=CC=C2SC2=C1N=CC=C2,"InChI=1S/C16H19N3S/c1-18(2)11-6-12-19-13-7-3-4-8-14(13)20-15-9-5-10-17-16(15)19/h3-5,7-10H,6,11-12H2,1-2H3",C16H19N3S,285.41,285.1299688,22,66,24,2
DTXSID50184667,Pivhydrazine,306-19-4,FWWDFDMCZLOXQI-UHFFFAOYSA-N,"N'-Benzyl-2,2-dimethylpropanehydrazide",CC(C)(C)C(=O)NNCC1=CC=CC=C1,"InChI=1S/C12H18N2O/c1-12(2,3)11(15)14-13-9-10-7-5-4-6-8-10/h4-8,13H,9H2,1-3H3,(H,14,15)",C12H18N2O,206.289,206.1419132,16,16,34,-
DTXSID50190061,11-Hydroxytetrahydrocannabinol,36557-05-8,YCBKSSAWEUDACY-IAGOWNOFSA-N,"(6aR,10aR)-9-(Hydroxymethyl)-6,6-dimethyl-3-pentyl-6a,7,8,10a-tetrahydro-6H-dibenzo[b,d]pyran-1-ol",CCCCCC1=CC(O)=C2[C@@H]3C=C(CO)CC[C@H]3C(C)(C)OC2=C1,"InChI=1S/C21H30O3/c1-4-5-6-7-14-11-18(23)20-16-10-15(13-22)8-9-17(16)21(2,3)24-19(20)12-14/h10-12,16-17,22-23H,4-9,13H2,1-3H3/t16-,17-/m1/s1",C21H30O3,330.468,330.2194948,18,74,26,-
DTXSID50192065,Metofenazate,388-51-2,BAQLUVXNKOTTHU-UHFFFAOYSA-N,"2-{4-[3-(2-Chloro-10H-phenothiazin-10-yl)propyl]piperazin-1-yl}ethyl 3,4,5-trimethoxybenzoate",COC1=CC(=CC(OC)=C1OC)C(=O)OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,"InChI=1S/C31H36ClN3O5S/c1-37-26-19-22(20-27(38-2)30(26)39-3)31(36)40-18-17-34-15-13-33(14-16-34)11-6-12-35-24-7-4-5-8-28(24)41-29-10-9-23(32)21-25(29)35/h4-5,7-10,19-21H,6,11-18H2,1-3H3",C31H36ClN3O5S,598.16,597.2064201,13,17,26,2
DTXSID50197257,Dimethoxanate,477-93-0,OOVJCSPCMCAXEX-UHFFFAOYSA-N,2-[2-(Dimethylamino)ethoxy]ethyl 10H-phenothiazine-10-carboxylate,CN(C)CCOCCOC(=O)N1C2=CC=CC=C2SC2=CC=CC=C12,"InChI=1S/C19H22N2O3S/c1-20(2)11-12-23-13-14-24-19(22)21-15-7-3-5-9-17(15)25-18-10-6-4-8-16(18)21/h3-10H,11-14H2,1-2H3",C19H22N2O3S,358.46,358.1351138,12,-,28,2
DTXSID5020021,N-Acetyl-L-cysteine,616-91-1,PWKSKIMOESPYIA-BYPYZUCNSA-N,N-Acetyl-L-cysteine,CC(=O)N[C@@H](CS)C(O)=O,"InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1",C5H9NO3S,163.19,163.0303143,51,17528,167,26
DTXSID50200230,Quercitrin,522-12-3,OXGUCUVFOIWWQJ-HQBVPOQASA-N,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-1-benzopyran-3-yl 6-deoxy-alpha-L-mannopyranoside",C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",C21H20O11,448.38,448.1005615,22,224,81,-
DTXSID5020108,Aspirin,50-78-2,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2-(Acetyloxy)benzoic acid,CC(=O)OC1=C(C=CC=C1)C(O)=O,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",C9H8O4,180.159,180.0422587,106,52052,245,36
DTXSID5020233,Ergocalciferol,50-14-6,MECHNRXZTMCUDQ-RKHKHRCZSA-N,"(3S,5Z,7E,22E)-9,10-Secoergosta-5,7,10,22-tetraen-3-ol",[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C,"InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3/b10-9+,23-12+,24-13-/t20-,22+,25-,26+,27-,28+/m0/s1",C28H44O,396.659,396.339216,63,2999,83,83
DTXSID5020239,Candesartan cilexetil,145040-37-5,GHOSNRCGJFBJIB-UHFFFAOYSA-N,"1-{[(Cyclohexyloxy)carbonyl]oxy}ethyl 2-ethoxy-1-{[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl}-1H-benzimidazole-7-carboxylate",CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,"InChI=1/C33H34N6O6/c1-3-42-32-34-28-15-9-14-27(31(40)43-21(2)44-33(41)45-24-10-5-4-6-11-24)29(28)39(32)20-22-16-18-23(19-17-22)25-12-7-8-13-26(25)30-35-37-38-36-30/h7-9,12-19,21,24H,3-6,10-11,20H2,1-2H3,(H,35,36,37,38)",C33H34N6O6,610.671,610.2539828,38,550,136,9
DTXSID50203544,Amopyroquine,550-81-2,YNWCUCSDUMVJKR-UHFFFAOYSA-N,4-[(7-Chloroquinolin-4-yl)amino]-2-[(pyrrolidin-1-yl)methyl]phenol,OC1=C(CN2CCCC2)C=C(NC2=C3C=CC(Cl)=CC3=NC=C2)C=C1,"InChI=1S/C20H20ClN3O/c21-15-3-5-17-18(7-8-22-19(17)12-15)23-16-4-6-20(25)14(11-16)13-24-9-1-2-10-24/h3-8,11-12,25H,1-2,9-10,13H2,(H,22,23)",C20H20ClN3O,353.85,353.12949,13,16,21,2
DTXSID5020572,Estazolam,29975-16-4,CDCHDCWJMGXXRH-UHFFFAOYSA-N,"8-Chloro-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine",ClC1=CC=C2N3C=NN=C3CN=C(C3=CC=CC=C3)C2=C1,"InChI=1S/C16H11ClN4/c17-12-6-7-14-13(8-12)16(11-4-2-1-3-5-11)18-9-15-20-19-10-21(14)15/h1-8,10H,9H2",C16H11ClN4,294.74,294.0672241,42,95,65,13
DTXSID5020601,Ethylene thiourea,96-45-7,PDQAZBWRQCGBEV-UHFFFAOYSA-N,Imidazolidine-2-thione,S=C1NCCN1,"InChI=1S/C3H6N2S/c6-3-4-1-2-5-3/h1-2H2,(H2,4,5,6)",C3H6N2S,102.16,102.0251694,107,299,113,42
DTXSID50206111,Buclosamide [INN:BAN:DCF],575-74-6,ZGJHIFYEQJEUKA-UHFFFAOYSA-N,N-Butyl-4-chloro-2-hydroxybenzamide,CCCCNC(=O)C1=C(O)C=C(Cl)C=C1,"InChI=1S/C11H14ClNO2/c1-2-3-6-13-11(15)9-5-4-8(12)7-10(9)14/h4-5,7,14H,2-3,6H2,1H3,(H,13,15)",C11H14ClNO2,227.69,227.0713064,17,3,37,2
DTXSID5020730,8-Hydroxyquinoline,148-24-3,MCJGNVYPOGVAJF-UHFFFAOYSA-N,Quinolin-8-ol,OC1=CC=CC2=CC=CN=C12,"InChI=1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H",C9H7NO,145.161,145.0527638,91,1405,249,20
DTXSID5020732,Ibuprofen,15687-27-1,HEFNNWSXXWATRW-UHFFFAOYSA-N,2-[4-(2-Methylpropyl)phenyl]propanoic acid,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,"InChI=1/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)",C13H18O2,206.285,206.1306798,86,7403,219,39
DTXSID50208175,1-Hydroxymethylmidazolam,59468-90-5,QHSMEGADRFZVNE-UHFFFAOYSA-N,"[8-Chloro-6-(2-fluorophenyl)-4H-imidazo[1,5-a][1,4]benzodiazepin-1-yl]methanol",OCC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,"InChI=1S/C18H13ClFN3O/c19-11-5-6-16-14(7-11)18(13-3-1-2-4-15(13)20)22-9-12-8-21-17(10-24)23(12)16/h1-8,24H,9-10H2",C18H13ClFN3O,341.77,341.0731179,17,142,34,-
DTXSID5020819,Methidathion,950-37-8,MEBQXILRKZHVCX-UHFFFAOYSA-N,"S-[(5-Methoxy-2-oxo-1,3,4-thiadiazol-3(2H)-yl)methyl] O,O-dimethyl phosphorodithioate",COC1=NN(CSP(=S)(OC)OC)C(=O)S1,"InChI=1S/C6H11N2O4PS3/c1-10-5-7-8(6(9)16-5)4-15-13(14,11-2)12-3/h4H2,1-3H3",C6H11N2O4PS3,302.32,301.9618574,88,73,70,202
DTXSID5020867,"4,4'-Diamino-3,3'-dimethyldiphenylmethane",838-88-0,WECDUOXQLAIPQW-UHFFFAOYSA-N,"4,4'-Methylenebis(2-methylaniline)",CC1=C(N)C=CC(CC2=CC(C)=C(N)C=C2)=C1,"InChI=1S/C15H18N2/c1-10-7-12(3-5-14(10)16)9-13-4-6-15(17)11(2)8-13/h3-8H,9,16-17H2,1-2H3",C15H18N2,226.323,226.1469986,53,3,85,12
DTXSID5020869,"4,4'-Methylenebis(N,N-dimethylaniline)",101-61-1,JNRLEMMIVRBKJE-UHFFFAOYSA-N,"4,4'-Methylenebis(N,N-dimethylaniline)",CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1,"InChI=1S/C17H22N2/c1-18(2)16-9-5-14(6-10-16)13-15-7-11-17(12-8-15)19(3)4/h5-12H,13H2,1-4H3",C17H22N2,254.377,254.1782987,72,15,101,6
DTXSID5021122,Phenobarbital,50-06-6,DDBREPKUVSBGFI-UHFFFAOYSA-N,"5-Ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",C12H12N2O3,232.239,232.0847923,83,18244,98,23
DTXSID5021170,Piroxicam,36322-90-4,QYSPLQLAKJAUJT-UHFFFAOYSA-N,"4-Hydroxy-2-methyl-1,1-dioxo-N-(pyridin-2-yl)-1,2-dihydro-1lambda~6~,2-benzothiazine-3-carboxamide",CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,"InChI=1S/C15H13N3O4S/c1-18-13(15(20)17-12-8-4-5-9-16-12)14(19)10-6-2-3-7-11(10)23(18,21)22/h2-9,19H,1H3,(H,16,17,20)",C15H13N3O4S,331.35,331.0626771,47,2611,242,9
DTXSID5021209,6-Propyl-2-thiouracil,51-52-5,KNAHARQHSZJURB-UHFFFAOYSA-N,"6-Propyl-2-sulfanylidene-2,3-dihydropyrimidin-4(1H)-one",CCCC1=CC(=O)NC(=S)N1,"InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)",C7H10N2OS,170.23,170.0513841,94,4045,220,7
DTXSID5021251,Saccharin,81-07-2,CVHZOJJKTDOEJC-UHFFFAOYSA-N,"1H-1lambda~6~,2-Benzothiazole-1,1,3(2H)-trione",O=C1NS(=O)(=O)C2=C1C=CC=C2,"InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)",C7H5NO3S,183.18,182.9990142,86,2718,192,107
DTXSID5021255,Albuterol,18559-94-9,NDAUXUAQIAJITI-UHFFFAOYSA-N,4-[2-(tert-Butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,"InChI=1/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",C13H21NO3,239.315,239.1521435,63,9126,184,25
DTXSID5021336,Theophylline,58-55-9,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,"1,3-Dimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C2=C(NC=N2)C(=O)N(C)C1=O,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",C7H8N4O2,180.167,180.0647255,96,23311,272,29
