record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-Eawag-EQ01061904__GLACIER__K2,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,60,GLACIER,K2,0.7304776826168613,0.5847294552114782,
MSBNK-Eawag-EQ01061904__GLACIER__K3,ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,60,GLACIER,K3,0.19340682733775127,0.3397159460125213,
MSBNK-Eawag-EQ01074902__ICEBERG_2_1__K1,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,30,ICEBERG_2_1,K1,0.9464077728749031,0.8539255290850473,
MSBNK-Eawag-EQ01074902__ICEBERG_2_1__K2,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,30,ICEBERG_2_1,K2,0.9353859969125103,0.7766394522413606,
MSBNK-Eawag-EQ01074902__ICEBERG_2_1__K3,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,30,ICEBERG_2_1,K3,0.933183830333345,0.7714636881270249,
MSBNK-Eawag-EQ01074902__GLACIER__K1,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,30,GLACIER,K1,0.9951463607948036,0.9517137734925287,
MSBNK-Eawag-EQ01074902__GLACIER__K2,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,30,GLACIER,K2,0.9825056231541427,0.898190969805186,
MSBNK-Eawag-EQ01074902__GLACIER__K3,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,30,GLACIER,K3,0.9539491803869024,0.8605739891153834,
MSBNK-Eawag-EQ01074904__ICEBERG_2_1__K1,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,ICEBERG_2_1,K1,0.4293930711233733,0.5605526825087654,
MSBNK-Eawag-EQ01074904__ICEBERG_2_1__K2,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,ICEBERG_2_1,K2,0.17056196050964295,0.38789650550528976,
MSBNK-Eawag-EQ01074904__ICEBERG_2_1__K3,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,ICEBERG_2_1,K3,0.1722340340595809,0.3611435141629592,
MSBNK-Eawag-EQ01074904__GLACIER__K1,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,GLACIER,K1,0.6718104407822482,0.6994410636927828,
MSBNK-Eawag-EQ01074904__GLACIER__K2,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,GLACIER,K2,0.4078975005511944,0.6270446338355034,
MSBNK-Eawag-EQ01074904__GLACIER__K3,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,GLACIER,K3,0.5659330669232917,0.6214984983929361,
MSBNK-Eawag-EQ01074907__ICEBERG_2_1__K1,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,ICEBERG_2_1,K1,0.15310582171217071,0.2893741647529914,
MSBNK-Eawag-EQ01074907__ICEBERG_2_1__K2,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,ICEBERG_2_1,K2,0.04760066952429271,0.1830143765849882,
MSBNK-Eawag-EQ01074907__ICEBERG_2_1__K3,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,ICEBERG_2_1,K3,0.041774547622436695,0.1522902238391386,
MSBNK-Eawag-EQ01074907__GLACIER__K1,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,GLACIER,K1,0.25913756492743123,0.3883131121340958,
MSBNK-Eawag-EQ01074907__GLACIER__K2,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,GLACIER,K2,0.11017151581650918,0.26522331153057954,
MSBNK-Eawag-EQ01074907__GLACIER__K3,OMVSWZDEEGIJJI,__ACYCLIC__OMVSWZDEEGIJJI,60,GLACIER,K3,0.16888926139515226,0.2705024518248794,
MSBNK-Eawag-EQ01107102__ICEBERG_2_1__K1,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,30,ICEBERG_2_1,K1,0.9963290310691342,0.9857502406386102,
MSBNK-Eawag-EQ01107102__ICEBERG_2_1__K2,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,30,ICEBERG_2_1,K2,0.6927483238459935,0.8084633036229115,
MSBNK-Eawag-EQ01107102__ICEBERG_2_1__K3,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,30,ICEBERG_2_1,K3,0.44058113585383835,0.6775483198297366,
MSBNK-Eawag-EQ01107102__GLACIER__K1,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,30,GLACIER,K1,0.9802305162584595,0.9382757437905835,
MSBNK-Eawag-EQ01107102__GLACIER__K2,XFHJDMUEHUHAJW,__ACYCLIC__XFHJDMUEHUHAJW,30,GLACIER,K2,0.9991665680093418,0.9952989842429817,
