key,energy,mu,mu_cut1pct,mu_no_above,within_cell_sd,n,n_peaks,prec_frac,above_frac
LVQDKIWDGQRHTE,60.0,0.5348254009868495,0.40597885037992326,0.419862333983602,0.057795869183039805,3,94.0,0.0,0.02724177071509648
METKIMKYRPQLGS,20.0,0.9283615401689128,0.9586472324840993,0.9140871084128127,0.014787627821233119,4,916.0,0.7028789411445611,0.0411849366890577
METKIMKYRPQLGS,40.0,0.465709024284652,0.4405725428088309,0.4526455320527658,0.016179212609790765,4,861.5,0.00374468978730682,0.0068961921354939015
METKIMKYRPQLGS,60.0,0.3935120927674818,0.36230111629813877,0.3683127283250033,0.006112873793595359,5,552.0,0.0,0.009502993442934524
MKUXAQIIEYXACX,20.0,0.7067441523014888,0.6793402963148424,0.6765527287192814,0.003567389402806471,3,545.0,0.03062113132720598,0.01627187223666229
MKUXAQIIEYXACX,40.0,0.6240983807651104,0.6014292367588954,0.5968396431735996,0.004197729023768069,2,506.5,0.0,0.011092211779443114
MKUXAQIIEYXACX,60.0,0.5028978568012866,0.450724757136187,0.4498306569732551,0.02061012881786489,2,154.5,0.0,0.016105595791920852
NKANXQFJJICGDU,20.0,0.9565577621342591,0.965639435403715,0.9474389138285272,0.033261608260850256,6,1138.0,0.8530769492054704,0.03921544514948293
NKANXQFJJICGDU,40.0,0.36017190468470456,0.2536001587890621,0.3385224227978033,0.060457835111084254,6,638.0,0.017797405676720314,0.010316062629090895
NKANXQFJJICGDU,60.0,0.3321009694418368,0.23136252290665957,0.2993643942706812,0.03060609267342581,5,619.0,0.0,0.010843350969358186
NOCJXYPHIIZEHN,20.0,0.9726101960010125,0.9801701655432545,0.9658821372826333,0.006296460644647733,5,1510.0,0.654002784319338,0.02998998165471838
NOCJXYPHIIZEHN,40.0,0.7911635154732024,0.8270496686631197,0.7837025716991921,0.04321100650198646,6,1046.5,0.007830533045877256,0.016611365171103357
NOCJXYPHIIZEHN,60.0,0.5866044039908385,0.5889409117129055,0.5781214910190804,0.027499180074654746,4,1009.0,7.390618841150965e-05,0.008487610623477271
NTJOBXMMWNYJFB,20.0,0.968073941238213,0.9789675305896675,0.9601120311846965,0.023564696348884705,5,1580.0,0.8481926012090449,0.028772286720314587
NTJOBXMMWNYJFB,40.0,0.628157028565814,0.6321837323879402,0.6155052740736844,0.005518808792222198,4,1231.5,0.0530918650216525,0.009735087462114787
NTJOBXMMWNYJFB,60.0,0.49273700098771567,0.4957634856819737,0.48074533245441425,0.016673800720549352,5,1711.0,0.0,0.005953582445902936
NVKAWKQGWWIWPM,20.0,0.8233169608983656,0.8731791382023092,0.7944186328611585,0.006970585417420868,3,447.0,0.2636449106833589,0.08189420555198179
NVKAWKQGWWIWPM,40.0,0.5286136818009499,0.5286136818009499,0.5026852301488254,0.02299061515721983,5,409.0,0.0016456390565002743,0.03215218202163372
NVKAWKQGWWIWPM,60.0,0.4289222604538828,0.4289222604538828,0.40942572643664815,0.012897286365096338,3,287.0,0.0,0.017785041338204192
ONWXNHPOAGOMTG,20.0,0.7535780081840483,0.7749053879307284,0.7464283709416634,0.003619176517611906,5,468.0,0.1687887260087653,0.022742263145397464
ONWXNHPOAGOMTG,40.0,0.4930216065831652,0.49577427199883206,0.4839633800519765,0.011902121507528007,5,478.0,0.0,0.006223605245610136
ONWXNHPOAGOMTG,60.0,0.3701835792084551,0.3493586620687603,0.35748981488294307,0.024695845761009555,4,392.5,0.0,0.007730573638690096
OWEGWHBOCFMBLP,20.0,0.8318692067887372,0.8354606997201868,0.8142875284133959,0.006544321298648953,5,1160.0,0.5145880906815105,0.03066522093249854
OWEGWHBOCFMBLP,40.0,0.37140810692032133,0.3206039479966869,0.335565393647645,0.07167378322883175,5,647.0,0.0005424926763488693,0.012277603067246802
OWEGWHBOCFMBLP,60.0,0.3644853409792426,0.3265604112681185,0.3133664676411934,0.030483751398441,6,469.0,0.0,0.016599430818614924
PJSFRIWCGOHTNF,20.0,0.8697991352510586,0.8939772061235064,0.854578600010189,0.01694882872758272,4,441.0,0.6278593748307235,0.04986384332288399
PJSFRIWCGOHTNF,40.0,0.4279523635224351,0.3895946775383572,0.4069814332698704,0.0434354323623664,5,453.0,0.0016758439071103662,0.010747899409162437
PJSFRIWCGOHTNF,60.0,0.35713657574435065,0.3168196773449802,0.3331955238973418,0.03311311701075936,4,398.5,0.0,0.010032734240083847
PNVNVHUZROJLTJ,20.0,0.7760512919543128,0.7671791999241189,0.7546000593240538,0.009940507761036669,4,1038.5,0.3825235891144707,0.028566819466411014
PNVNVHUZROJLTJ,40.0,0.35557234499124746,0.29532649165382985,0.3256110383893763,0.010561203043861237,4,724.0,0.0004337605548572153,0.009888960922105342
PNVNVHUZROJLTJ,60.0,0.34496361910528933,0.2810976856940748,0.30423083652667743,0.009034807674079513,4,680.5,0.0,0.011935237862033881
PSGAAPLEWMOORI,20.0,0.7993899940052686,0.8577601598293718,0.7780346405861545,0.0013069404073256586,2,331.0,0.26809011319030396,0.051857595658954946
PSGAAPLEWMOORI,40.0,0.4665623597077772,0.4665623597077772,0.44584839341485216,0.026843621623456087,5,399.0,0.0013414715943389898,0.005701254275940707
PSGAAPLEWMOORI,60.0,0.38084953103383706,0.38070809425641516,0.3747189495900279,0.02902414778680218,4,408.0,0.0,0.003558638055445192
