parent_key,stratum,mh,compound_name,parent_smiles,formula,primary_source,primary_catalogue_id,primary_cid,vendors,catalogue_ids,n_listings,purity_stated,stock_status,scaffold_group
INTLXODHWXUPBA,L,281.11722,Magnaledehyde B,C=CCc1cc(-c2cc(/C=C/C=O)ccc2O)ccc1O,C18H16O3,TargetMol,TN6656,5319187.0,TargetMol,TargetMol:TN6656,1,,,c1ccc(-c2ccccc2)cc1
INUYEZQAQSEPMT,L,184.18082,1-(Piperidin-4-ylmethyl)piperazine,C1CC(CN2CCNCC2)CCN1,C10H21N3,TargetMol,T210798,17799208.0,TargetMol,TargetMol:T210798,1,,,C1CC(CN2CCNCC2)CCN1
INVMZALXDUDUFO,L,216.10191,"5-Benzyl-5-azaspiro[2.4]heptane-4,7-dione",O=C1CN(Cc2ccccc2)C(=O)C12CC2,C13H13NO2,TargetMol,TYD-03024,9877787.0,TargetMol,TargetMol:TYD-03024,1,,,O=C1CN(Cc2ccccc2)C(=O)C12CC2
INWHDRNGZMHXEZ,L,192.14952,2-(4-Methylpiperazin-1-yl)aniline,CN1CCN(c2ccccc2N)CC1,C11H17N3,TargetMol,Fr12716,286547.0,TargetMol,TargetMol:Fr12716,1,,,c1ccc(N2CCNCC2)cc1
INWOAUUPYIXDHN,L,218.13868,(2S)-2-(((tert-butoxy)carbonyl)amino)pentanoic acid,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O,C10H19NO4,MedChemexpress MCE,HY-W012446,2733748.0,MedChemexpress MCE,MedChemexpress MCE:HY-W012446;MedChemexpress MCE:HY-W014100,2,,,__ACYCLIC__INWOAUUPYIXDHN
INWUFXPCLZRSBH,L,154.00542,"3-Chloro-1,2-benzoxazole",Clc1noc2ccccc12,C7H4ClNO,TargetMol,Fr13781,2779780.0,TargetMol,TargetMol:Fr13781,1,,,c1ccc2oncc2c1
INXXPKHKUUMVKX,L,278.91805,"5-Chloro-3-iodo-1H-pyrrolo[2,3-c]pyridine",Clc1cc2c(I)c[nH]c2cn1,C7H4ClIN2,TargetMol,TPL0403,53412949.0,TargetMol,TargetMol:TPL0403,1,,,c1cc2cc[nH]c2cn1
INYFRCVRXSOWEZ,L,270.16998,NH-bis(PEG2-propargyl),C#CCOCCOCCNCCOCCOCC#C,C14H23NO4,MedChemexpress MCE,HY-140088,126961976.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-140088;TargetMol:T16300,2,,,__ACYCLIC__INYFRCVRXSOWEZ
INYJZRKTYXTZHP,L,297.06049,Coutaric acid,O=C(/C=C/c1ccc(O)cc1)O[C@@H](C(=O)O)[C@@H](O)C(=O)O,C13H12O8,TargetMol,T125148,57517924.0,TargetMol,TargetMol:T125148,1,,,c1ccccc1
INYSELGLAAADNH,L,242.97637,2-Bromoaldisin,O=C1CCNC(=O)c2[nH]c(Br)cc21,C8H7BrN2O2,MedChemexpress MCE,HY-W065835,11064594.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W065835;TargetMol:TN8015,2,,,O=C1CCNC(=O)c2[nH]ccc21
IOABLDGLYOGEHY,L,234.07364,(S)-2-Amino-3-(2-(trifluoromethyl)phenyl)propanoic acid,N[C@@H](Cc1ccccc1C(F)(F)F)C(=O)O,C10H10F3NO2,MedChemexpress MCE,HY-W012214,2761500.0,MedChemexpress MCE,MedChemexpress MCE:HY-W009629;MedChemexpress MCE:HY-W012214,2,,,c1ccccc1
IODSADAHQKFXES,L,273.25768,Kaurene,C[C@H]1CC23CC[C@@H]4C(C)(C)CC=C[C@@]4(C)[C@@H]2CC[C@H]1C3,C20H32,TargetMol,T32365,3033942.0,TargetMol,TargetMol:T32365,1,,,C1=CC2C(CC1)CCC13CCC(CCC21)C3
IOHOUWIYOVWGHV,L,195.09282,RO-5263397,Cc1c(F)cccc1[C@H]1COC(N)=N1,C10H11FN2O,MedChemexpress MCE,HY-108015,56835991.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-108015;TargetMol:T12745;TargetMol:T12745L,3,,,C1=NC(c2ccccc2)CO1
