parent_key,stratum,mh,compound_name,parent_smiles,formula,primary_source,primary_catalogue_id,primary_cid,vendors,catalogue_ids,n_listings,purity_stated,stock_status,scaffold_group
AZKDTTQQTKDXLH,L,154.06513,2-Naphthalenecarbonitrile,N#Cc1ccc2ccccc2c1,C11H7N,TargetMol,T20261,11944.0,TargetMol,TargetMol:T20261,1,,,c1ccc2ccccc2c1
AZLRECYOMFCGTK,L,257.15361,"2,2-Dibenzyl-1,3-propanediol",OCC(CO)(Cc1ccccc1)Cc1ccccc1,C17H20O2,TargetMol,TYD-03179,11076067.0,TargetMol,TargetMol:TYD-03179,1,,,c1ccc(CCCc2ccccc2)cc1
AZLWQVJVINEILY,L,275.25807,Laureth-2,CCCCCCCCCCCCOCCOCCO,C16H34O3,MedChemexpress MCE,HY-W142428,76457.0,MedChemexpress MCE,MedChemexpress MCE:HY-W142428,1,,,__ACYCLIC__AZLWQVJVINEILY
AZMIIVUEOLBHBL,L,295.0692,Aplysin,Cc1cc2c(cc1Br)[C@]1(C)CC[C@H](C)[C@]1(C)O2,C15H19BrO,MedChemexpress MCE,HY-129577,11066347.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-129577;TargetMol:T68884,2,,,c1ccc2c(c1)OC1CCCC21
AZORQGXJAXEIGC,L,252.0489,N-(4-fluorophenyl)benzenesulfonamide,O=S(=O)(Nc1ccc(F)cc1)c1ccccc1,C12H10FNO2S,MedChemexpress MCE,HY-115038,295229.0,MedChemexpress MCE;Selleck Chemicals;TargetMol,MedChemexpress MCE:HY-115038;Selleck Chemicals:S6798;TargetMol:T4659,3,,,O=S(=O)(Nc1ccccc1)c1ccccc1
AZPPXKPZXPCFKQ,L,258.1237,Boc-NHCH2-Ph-Py-NH2,NCc1ccc(-c2ccc(NC(=O)CO)cn2)cc1,C14H15N3O2,MedChemexpress MCE,HY-161496,172638490.0,MedChemexpress MCE,MedChemexpress MCE:HY-161496,1,,,c1ccc(-c2ccccn2)cc1
AZQWEIGFMCBMAO,L,209.09207,4-[(4-Methyl-2-pyridinyl)amino]-4-oxobutanoic acid,Cc1ccnc(NC(=O)CCC(=O)O)c1,C10H12N2O3,TargetMol,T90413,711879.0,TargetMol,TargetMol:T90413,1,,,c1ccncc1
AZRTXUQINTVMDW,L,197.08084,"2',6'-Dimethoxy-4'-hydroxyacetophenone",COc1cc(O)cc(OC)c1C(C)=O,C10H12O4,TargetMol,TN10084,442904.0,TargetMol,TargetMol:TN10084,1,,,c1ccccc1
AZSFNUJOCKMOGB,L,240.90627,Trimetaphosphoric acid,O=P1(O)OP(=O)(O)OP(=O)(O)O1,H3O9P3,TargetMol,T202548,510.0,TargetMol,TargetMol:T202514;TargetMol:T202548,2,,,O=[PH]1O[PH](=O)O[PH](=O)O1
AZTASKRPWMAJOD,L,291.05464,(2E)-2-{[5-(4-nitrophenyl)furan-2-yl]methylidene}hydrazinecarbothioamide,NC(=S)N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,C12H10N4O3S,MedChemexpress MCE,HY-147844,6861666.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-147844;TargetMol:T60592,2,,,c1ccc(-c2ccco2)cc1
AZUXKVXMJOIAOF,L,135.10157,"1,1'-Oxydi-2-propanol",CC(O)COCC(C)O,C6H14O3,TargetMol,TN9736,8087.0,TargetMol,TargetMol:TN9736,1,,,__ACYCLIC__AZUXKVXMJOIAOF
AZVIMHSUSDTTCB,L,259.05358,"2-(4-Methoxyphenyl)isothiazolo[5,4-b]pyridin-3(2H)-one",COc1ccc(-n2sc3ncccc3c2=O)cc1,C13H10N2O2S,MedChemexpress MCE,HY-147288,393167.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-147288;TargetMol:T60018,2,,,O=c1c2cccnc2sn1-c1ccccc1
AZVYYSCOCHRFKW,L,130.04987,N-(Hydroxymethyl)succinimide,O=C1CCC(=O)N1CO,C5H7NO3,TargetMol,TCL-01969,95286.0,TargetMol,TargetMol:TCL-01969,1,,,O=C1CCC(=O)N1
AZXDRUXVONQDAS,L,204.88171,"1-Bromo-1,1-dichloro-2-propanone",CC(=O)C(Cl)(Cl)Br,C3H3BrCl2O,MedChemexpress MCE,HY-133630,539368.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-133630;TargetMol:T39182,2,,,__ACYCLIC__AZXDRUXVONQDAS
AZXGVYYXWSGGHS,L,285.08698,6-(furan-2-yl)-4-(4-hydroxy-3-methoxyphenyl)-1H-pyrimidin-2-one,COc1cc(-c2cc(-c3ccco3)[nH]c(=O)n2)ccc1O,C15H12N2O4,TargetMol,T207600,137301195.0,TargetMol,TargetMol:T207600,1,,,O=c1nc(-c2ccccc2)cc(-c2ccco2)[nH]1
AZXJGOGDICMETN,L,217.0626,Trametol,COc1ccc([C@@H](O)[C@H](C)O)cc1Cl,C10H13ClO3,TargetMol,T125618,10353281.0,TargetMol,TargetMol:T124522;TargetMol:T125618,2,,,c1ccccc1
AZXKDALZKPSQGB,L,262.03961,"Phenol, 2,4-dichloro-5-ethyl-3-methyl-, 1-(N-methylcarbamate)",CCc1cc(OC(=O)NC)c(Cl)c(C)c1Cl,C11H13Cl2NO2,TargetMol,T31574,12644.0,TargetMol,TargetMol:T31574,1,,,c1ccccc1
AZZBPDLRDYEBGU,L,240.08306,"1-(2,4-Difluorophenyl)-4-methylpiperidine-2,6-dione",CC1CC(=O)N(c2ccc(F)cc2F)C(=O)C1,C12H11F2NO2,TargetMol,Fr13527,2732328.0,TargetMol,TargetMol:Fr13527,1,,,O=C1CCCC(=O)N1c1ccccc1
BAADWHDQAKDYLX,L,203.06375,"6,7-Dihydro-4-(1H-imidazole-4-yl)benzo[b]thiophene",C1=C(c2cnc[nH]2)c2ccsc2CC1,C11H10N2S,MedChemexpress MCE,HY-103216,9815610.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-103216;MedChemexpress MCE:HY-103216A;TargetMol:T23281;TargetMol:T87348,4,,,C1=C(c2cnc[nH]2)c2ccsc2CC1
BAANPNDZFYBQIB,L,266.13868,Epi-589,CC1=C(C)C(=O)C(CC[C@@](C)(O)C(N)=O)=C(C)C1=O,C14H19NO4,MedChemexpress MCE,HY-125999,42600375.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-125999;TargetMol:T11214,2,,,O=C1C=CC(=O)C=C1
BABQTNDHVRVEJD,L,210.14886,3-(3-(Dimethylamino)propoxy)benzyl alcohol,CN(C)CCCOc1cccc(CO)c1,C12H19NO2,TargetMol,Fr13161,24229604.0,TargetMol,TargetMol:Fr13161,1,,,c1ccccc1
BABTYIKKTLTNRX,L,291.9829,3-Iodo-L-phenylalanine,N[C@@H](Cc1cccc(I)c1)C(=O)O,C9H10INO2,TargetMol,TXB-00056,16747611.0,TargetMol,TargetMol:TXB-00056,1,,,c1ccccc1
BACLGEOXUFGEJY,L,263.12779,"6|A,7|A-Epoxyasteriscunolide A",CC1(C)/C=C/C(=O)[C@@]2(C)O[C@H]2CCC2=C[C@@H]1OC2=O,C15H18O4,MedChemexpress MCE,HY-N10364,163196508.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N10364;TargetMol:T83260,2,,,O=C1OC2C=C1CCC1OC1C(=O)C=CC2
BACWCXKATFIVFS,L,185.08084,Aucubigenin,OCC1=C[C@@H](O)[C@@H]2C=CO[C@@H](O)[C@H]12,C9H12O4,MedChemexpress MCE,HY-121125,163040.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-121125;TargetMol:T30209,2,,,C1=CC2COC=CC2C1
BADMGRJDJPQBLS,L,236.08771,Aranose,CN(N=O)C(=O)N[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O,C7H13N3O6,MedChemexpress MCE,HY-19171,208900.0,MedChemexpress MCE,MedChemexpress MCE:HY-19171,1,,,C1CCOCC1
BADQRNHAZHSOKC,L,256.18082,Deriglidole,CCCC1(C2=NCCN2)Cc2cccc3c2N1CC3,C16H21N3,MedChemexpress MCE,HY-101683,65945.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-101683;TargetMol:T10998,2,,,c1cc2c3c(c1)CC(C1=NCCN1)N3CC2
BADXJIPKFRBFOT,L,141.09101,Dimedone,CC1(C)CC(=O)CC(=O)C1,C8H12O2,MedChemexpress MCE,HY-W015740,31358.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W015740;TargetMol:TYD-00276,2,,,O=C1CCCC(=O)C1
BAEVILLEIGDCDN,L,215.03705,"4-Chloro-1,10-phenanthroline",Clc1ccnc2c1ccc1cccnc12,C12H7ClN2,TargetMol,TPL0316,19884364.0,TargetMol,TargetMol:TPL0316,1,,,c1cnc2c(c1)ccc1cccnc12
BAEZXIOBOOEPOS,L,185.10732,Phenyl(pyridin-2-yl)methanamine,NC(c1ccccc1)c1ccccn1,C12H12N2,TargetMol,Fr14575,2775258.0,TargetMol,TargetMol:Fr14575;TargetMol:TPL0630,2,,,c1ccc(Cc2ccccn2)cc1
BAFSDKCDEQVQMT,L,172.05685,"N-(2,6-difluorophenyl)acetamide",CC(=O)Nc1c(F)cccc1F,C8H7F2NO,TargetMol,Fr12139,138072.0,TargetMol,TargetMol:Fr12139,1,,,c1ccccc1
BAHFLJMNEXNNLZ,L,256.08627,Cyromazine-3-mercaptopropanoic acid,Nc1nc(NC2CC2)nc(SCCC(=O)O)n1,C9H13N5O2S,MedChemexpress MCE,HY-163026,169494452.0,MedChemexpress MCE,MedChemexpress MCE:HY-163026,1,,,c1ncnc(NC2CC2)n1
BAHPQISAXRFLCL,L,139.08659,"2,4-Diaminoanisole",COc1ccc(N)cc1N,C7H10N2O,TargetMol,T201307,11976.0,TargetMol,TargetMol:T201307,1,,,c1ccccc1
BAIIKMBZYOWCBK,L,255.14919,"1-(2,5-Dimethylphenyl)-3-(3-methylphenyl)urea",Cc1cccc(NC(=O)Nc2cc(C)ccc2C)c1,C16H18N2O,MedChemexpress MCE,HY-164374,841335.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-164374;TargetMol:T69243,2,,,O=C(Nc1ccccc1)Nc1ccccc1
BAKQMOSGYGQJOJ,L,289.09179,"beta-D-Glucopyranose, 1,6-anhydro-, 2,3,4-triacetate",CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H]2OC[C@@H](O2)[C@H]1OC(C)=O,C12H16O8,MedChemexpress MCE,HY-W089837,2734142.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W089837;TargetMol:T200257,2,,,C1CC2COC(C1)O2
BAKYASSDAXQKKY,L,137.05971,4-Hydroxy-3-methylbenzaldehyde,Cc1cc(C=O)ccc1O,C8H8O2,TargetMol,TN9341,139901.0,TargetMol,TargetMol:TN9341,1,,,c1ccccc1
BALBNSFYMXBWNM,L,137.05095,"5-Fluoro-1H-pyrrolo[2,3-b]pyridine",Fc1cnc2[nH]ccc2c1,C7H5FN2,TargetMol,TPL0221,20784462.0,TargetMol,TargetMol:TPL0221,1,,,c1cnc2[nH]ccc2c1
BAPVNVRTDKZLCO,L,277.15065,"2-(Azido-PEG2-amido)-1,3-propandiol",[N-]=[N+]=NCCOCCOCCC(=O)NC(CO)CO,C10H20N4O5,MedChemexpress MCE,HY-141248,77078515.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-141248;TargetMol:T14012,2,,,__ACYCLIC__BAPVNVRTDKZLCO
BAQKUNMKVAPWGU,L,172.97089,2-Amino-4-bromopyridine,Nc1cc(Br)ccn1,C5H5BrN2,MedChemexpress MCE,HY-41000,693282.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-41000;TargetMol:TYD-00031,2,,,c1ccncc1
BAQLNPIEFOYKNB,L,138.06619,Picolinohydrazide,NNC(=O)c1ccccn1,C6H7N3O,MedChemexpress MCE,HY-W010341,255881.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W010341;TargetMol:T1374,2,,,c1ccncc1
BASYLPMLKGQZOG,L,197.96614,"5-Bromopyrazolo[3,4-b]pyridine",Brc1cnc2[nH]ncc2c1,C6H4BrN3,MedChemexpress MCE,HY-69077,40427454.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-69077;TargetMol:TYD-00070,2,,,c1cnc2[nH]ncc2c1
BATFHSIVMJJJAF,L,271.0601,Morindone,Cc1ccc2c(c1O)C(=O)c1ccc(O)c(O)c1C2=O,C15H10O5,TargetMol,T202844,442756.0,TargetMol,TargetMol:T202844,1,,,O=C1c2ccccc2C(=O)c2ccccc21
BAULTANCNGCCJT,L,163.07536,"(S,E)-Deca-2,9-diene-4,6-diyne-1,8-diol",C=C[C@H](O)C#CC#C/C=C/CO,C10H10O2,TargetMol,TN2389,71307304.0,TargetMol,TargetMol:TN2389,1,,,__ACYCLIC__BAULTANCNGCCJT
BAVJPTQBNBQJFK,L,289.10705,1-Hydroxy-1-(4-hydroxy-2-methoxyphenyl)-3-(4-hydroxyphenyl)propan-2-one,COc1cc(O)ccc1C(O)C(=O)Cc1ccc(O)cc1,C16H16O5,MedChemexpress MCE,HY-N9099,14160605.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N9099;TargetMol:TN2532,2,,,O=C(Cc1ccccc1)Cc1ccccc1
BAVONGHXFVOKBV,L,153.12739,Carveol,C=C(C)C1CC=C(C)C(O)C1,C10H16O,MedChemexpress MCE,HY-W017370,7438.0,MedChemexpress MCE;Selleck Chemicals;TargetMol,MedChemexpress MCE:HY-W017370;MedChemexpress MCE:HY-W017370R;Selleck Chemicals:E4219;TargetMol:T30755;TargetMol:TN3604,5,,,C1=CCCCC1
BAXHHWZKQZIJID,L,172.00055,Phosphoglycolohydroxamic Acid,O=C(COP(=O)(O)O)NO,C2H6NO6P,MedChemexpress MCE,HY-148077,4797.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-148077;TargetMol:T72148,2,,,__ACYCLIC__BAXHHWZKQZIJID
BAYFDGKAUSOEIS,L,298.12583,2-Hydrazinyl-adenosine,NNc1nc(N)c2ncn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c2n1,C10H15N7O4,MedChemexpress MCE,HY-152656,45039391.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-152656;MedChemexpress MCE:HY-Z9065;TargetMol:TNU0262,3,,,c1ncc2ncn(C3CCCO3)c2n1
BAYGVMXZJBFEMB,L,163.03653,4-(Trifluoromethyl)phenol,Oc1ccc(C(F)(F)F)cc1,C7H5F3O,TargetMol,T66972,67874.0,TargetMol,TargetMol:T66972,1,,,c1ccccc1
BAYIDMGOQRXHBC,L,204.10191,Methyl 3-(1H-indol-3-yl)propanoate,COC(=O)CCc1c[nH]c2ccccc12,C12H13NO2,TargetMol,TN9431,21711.0,TargetMol,TargetMol:TN9431,1,,,c1ccc2[nH]ccc2c1
BAYUSCHCCGXLAY,L,151.07536,3-Methoxyacetophenone,COc1cccc(C(C)=O)c1,C9H10O2,TargetMol,T67594,11460.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-Y1675S;TargetMol:T67594,2,,,c1ccccc1
BAZMYXGARXYAEQ,L,131.10666,2-Ethylpentanoic acid,CCCC(CC)C(=O)O,C7H14O2,TargetMol,T66355,30020.0,TargetMol,TargetMol:T66355,1,,,__ACYCLIC__BAZMYXGARXYAEQ
BAZVFQBTJPBRTJ,L,158.99558,2-Chloro-5-nitropyridine,O=[N+]([O-])c1ccc(Cl)nc1,C5H3ClN2O2,MedChemexpress MCE,HY-W012564,78308.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W012564;TargetMol:TYD-00294,2,,,c1ccncc1
BBACKDMGYMXYLE,L,183.05866,Tenilsetam,O=C1NCCNC1c1cccs1,C8H10N2OS,MedChemexpress MCE,HY-131528,65649.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-131528;TargetMol:T8583,2,,,O=C1NCCNC1c1cccs1
BBAMLNIPVMLTSQ,L,223.20564,Himachalol,CC1=C[C@H]2[C@@H](CC1)[C@](C)(O)CCCC2(C)C,C15H26O,TargetMol,TN10108,121536.0,TargetMol,TargetMol:TN10108,1,,,C1=CC2CCCCCC2CC1
BBAYFIRFVORJLJ,L,262.13975,N5-((S)-4-Amino-1-carboxybutyl)-L-glutamine,NCCC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)O,C10H19N3O5,MedChemexpress MCE,HY-N8063,20849164.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N8063;TargetMol:T31905,2,,,__ACYCLIC__BBAYFIRFVORJLJ
BBBAWACESCACAP,L,285.03936,Lupinalbin A,O=c1c2c(O)cc(O)cc2oc2oc3cc(O)ccc3c12,C15H8O6,TargetMol,TN6366,5324349.0,TargetMol,TargetMol:TN6366,1,,,O=c1c2ccccc2oc2oc3ccccc3c12
BBBICQPTZBHLBM,L,205.06077,"2-(4-Oxo-3,4-dihydroquinazolin-3-yl)acetic acid",O=C(O)Cn1cnc2ccccc2c1=O,C10H8N2O3,MedChemexpress MCE,HY-W030545,729359.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W030545;TargetMol:T17338,2,,,O=c1[nH]cnc2ccccc12
BBBXWRGITSUJPB,L,276.1554,Glu-Lys,NCCCC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O,C11H21N3O5,MedChemexpress MCE,HY-N11140,7015704.0,MedChemexpress MCE,MedChemexpress MCE:HY-N11140,1,,,__ACYCLIC__BBBXWRGITSUJPB
BBEAQIROQSPTKN,L,203.08553,Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,C16H10,MedChemexpress MCE,HY-103609,31423.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-103609;MedChemexpress MCE:HY-150627S;TargetMol:T200798;TargetMol:TMIJ-0513,4,,,c1cc2ccc3cccc4ccc(c1)c2c34
BBEWSMNRCUXQRF,L,182.04478,4-Methyl-3-nitrobenzoic acid,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],C8H7NO4,MedChemexpress MCE,HY-W021293,7319.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W021293;TargetMol:TYD-00321,2,,,c1ccccc1
BBFMPNKVCFIPPX,L,295.15131,Oncopterin,C[C@H](O)[C@H](O)c1cnc2nc(NCCCN)[nH]c(=O)c2n1,C12H18N6O3,TargetMol,T33800,135494248.0,TargetMol,TargetMol:T33800,1,,,O=c1[nH]cnc2nccnc12
BBGNZFMMXLMZRC,L,235.16926,Volvalerenic acid A,C/C1=C\CC/C(C(=O)O)=C/[C@@H]2[C@H](CC1)C2(C)C,C15H22O2,MedChemexpress MCE,HY-N8136,46938446.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-N8136;TargetMol:T131000;TargetMol:TN2305,3,,,C1=CCCC2CC2C=CCC1
BBIDMUQZCCGABN,L,249.14852,"Quadrone, (+-)-",CC1(C)C[C@@]23[C@@H]4CC(=O)[C@@H]2COC(=O)[C@@H]3CC[C@H]41,C15H20O3,MedChemexpress MCE,HY-122807,13892741.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-122807;TargetMol:T36817,2,,,O=C1CC2C3CCC4C(=O)OCC1C42CC3
BBIKXRNXQFFPDD,L,201.14852,(E)-10-hydroxyundec-4-enoic acid,CC(O)CCCC/C=C/CCC(=O)O,C11H20O3,TargetMol,T128057,154814112.0,TargetMol,TargetMol:T128057,1,,,__ACYCLIC__BBIKXRNXQFFPDD
BBIMHFSPNXQFAH,L,270.18524,Moxastine,CN(C)CCOC(C)(c1ccccc1)c1ccccc1,C18H23NO,TargetMol,T33488,19142.0,TargetMol,TargetMol:T33488,1,,,c1ccc(Cc2ccccc2)cc1
BBJIIPZSHQTBLW,L,285.08698,Fen1-IN-3,COc1ccc(-n2c(=O)n(O)c(=O)c3ccccc32)cc1,C15H12N2O4,MedChemexpress MCE,HY-136484,132585224.0,MedChemexpress MCE,MedChemexpress MCE:HY-136484,1,,,O=c1[nH]c(=O)n(-c2ccccc2)c2ccccc12
BBJIPMIXTXKYLZ,L,148.06043,3-Aminopentanedioic acid,NC(CC(=O)O)CC(=O)O,C5H9NO4,MedChemexpress MCE,HY-W107585,73064.0,MedChemexpress MCE,MedChemexpress MCE:HY-W107585,1,,,__ACYCLIC__BBJIPMIXTXKYLZ
BBLALPDUHCRAKZ,L,228.13829,5-HT/NA Reuptake inhibitor-1,CN(C)Cc1ccccc1Oc1ccccc1,C15H17NO,MedChemexpress MCE,HY-160656,826600.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-160656;TargetMol:T85485,2,,,c1ccc(Oc2ccccc2)cc1
BBMCTIGTTCKYKF,L,117.12739,Heptanol,CCCCCCCO,C7H16O,MedChemexpress MCE,HY-W099504,8129.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W099504;MedChemexpress MCE:HY-W099504S;MedChemexpress MCE:HY-W099504S1;MedChemexpress MCE:HY-W099504S2;TargetMol:TN6893,5,,,__ACYCLIC__BBMCTIGTTCKYKF
BBNQFBHQOPZKTI,L,217.06422,trans-2-[4-(Trifluoromethyl)phenyl]vinylboronic acid,OB(O)/C=C/c1ccc(C(F)(F)F)cc1,C9H8BF3O2,MedChemexpress MCE,HY-W117986,6153620.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W117986;TargetMol:T204182,2,,,c1ccccc1
BBOWBNGUEWHNQZ,L,297.27881,cis-10-Nonadecenoic acid,CCCCCCCC/C=C\CCCCCCCCC(=O)O,C19H36O2,MedChemexpress MCE,HY-113450,5312513.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-113450;TargetMol:T8271,2,,,__ACYCLIC__BBOWBNGUEWHNQZ
BBPJFMLKZDRHIA,L,294.12707,UCSF648 dihydrochloride,CN(C)S(=O)(=O)CCNCc1cccc2ncccc12,C14H19N3O2S,MedChemexpress MCE,HY-145699,137888425.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-145699;TargetMol:T60620,2,,,c1ccc2ncccc2c1
BBPWQLMHOSRDMA,L,177.10224,"1H-1,5-Benzodiazepin-2-one, 2,3,4,5-tetrahydro-4-methyl-",CC1CC(=O)Nc2ccccc2N1,C10H12N2O,MedChemexpress MCE,HY-109706,19868.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-109706;TargetMol:T27068,2,,,O=C1CCNc2ccccc2N1
BBQNVRCHDIRPNJ,L,288.12641,"m-Anisidine, 4-((5-(methylsulfonyl)pentyl)oxy)-",COc1cc(N)ccc1OCCCCCS(C)(=O)=O,C13H21NO4S,TargetMol,T33182,60122.0,TargetMol,TargetMol:T33182,1,,,c1ccccc1
BBRQAKVWMDMPRW,L,257.17474,"Cyclohexanemethanol, 4-(acetyloxy)-alpha,alpha,4-trimethyl-, 1-acetate",CC(=O)OC1(C)CCC(C(C)(C)OC(C)=O)CC1,C14H24O4,TargetMol,T29776,89263.0,TargetMol,TargetMol:T29776,1,,,C1CCCCC1
BBSLOKZINKEUCR,L,185.03638,beta-(p-Chlorophenyl)propionic acid,O=C(O)CCc1ccc(Cl)cc1,C9H9ClO2,TargetMol,PDK0112,123137.0,TargetMol,TargetMol:PDK0112,1,,,c1ccccc1
BBUAXVLPFRRBQR,L,213.07892,3-Chloro-4-morpholinoaniline,Nc1ccc(N2CCOCC2)c(Cl)c1,C10H13ClN2O,TargetMol,Fr13217,108661.0,TargetMol,TargetMol:Fr13217,1,,,c1ccc(N2CCOCC2)cc1
BBUKBZVEKNMWNP,L,297.11214,"3,6-Dibenzyl-1,4-dioxane-2,5-dione",O=C1OC(Cc2ccccc2)C(=O)OC1Cc1ccccc1,C18H16O4,TargetMol,T128956,58962143.0,TargetMol,TargetMol:T128956,1,,,O=C1OC(Cc2ccccc2)C(=O)OC1Cc1ccccc1
BBVQDWDBTWSGHQ,L,154.00542,2-Chlorobenzoxazole,Clc1nc2ccccc2o1,C7H4ClNO,MedChemexpress MCE,HY-W019606,11986.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W019606;TargetMol:TYD-00532,2,,,c1ccc2ocnc2c1
BBVSPSDWPYWMOR,L,136.11208,2-Isobutylpyridine,CC(C)Cc1ccccn1,C9H13N,TargetMol,T206008,61385.0,TargetMol,TargetMol:T206008,1,,,c1ccncc1
BBWXIJICDDYYJZ,L,285.11059,2-Amino-3 inverted exclamation mark-deoxy-3 inverted exclamation mark-fluoroadenosine,Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)C(F)[C@@H]3O)c2n1,C10H13FN6O3,MedChemexpress MCE,HY-152487,168265489.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-152487;TargetMol:TNU0393,2,,,c1ncc2ncn(C3CCCO3)c2n1
BBYAFETUIKMLSF,L,296.10813,Citalopram aldehyde,N#Cc1ccc2c(c1)COC2(CCC=O)c1ccc(F)cc1,C18H14FNO2,TargetMol,TYD-02191,9944000.0,TargetMol,TargetMol:TYD-02191,1,,,c1ccc(C2OCc3ccccc32)cc1
BBYDXOIZLAWGSL,L,141.03463,4-Fluorobenzoic Acid,O=C(O)c1ccc(F)cc1,C7H5FO2,MedChemexpress MCE,HY-W013677,9973.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-W013677;MedChemexpress MCE:HY-W013677S;MedChemexpress MCE:HY-W440239;TargetMol:TYD-00828,4,,,c1ccccc1
BBZHHOGHQKXCRQ,L,256.26349,Obscuraminol F,C=CCCCCCCCCCCC[C@@H](O)[C@H](C)N,C16H33NO,TargetMol,T124979,101101129.0,TargetMol,TargetMol:T124979,1,,,__ACYCLIC__BBZHHOGHQKXCRQ
BCCBXCGRKOKWBZ,L,223.08659,2-Phenylphthalazin-1(2h)-one,O=c1c2ccccc2cnn1-c1ccccc1,C14H10N2O,TargetMol,Fr13360,235626.0,TargetMol,TargetMol:Fr13360,1,,,O=c1c2ccccc2cnn1-c1ccccc1
BCCRXDTUTZHDEU,L,163.07133,"Serine, glycyl-",NCC(=O)N[C@@H](CO)C(=O)O,C5H10N2O4,MedChemexpress MCE,HY-W013664,73086.0,MedChemexpress MCE,MedChemexpress MCE:HY-W013664,1,,,__ACYCLIC__BCCRXDTUTZHDEU
BCEKGWWLVKXZKK,L,157.02955,2-Fluoro-6-hydroxybenzoic acid,O=C(O)c1c(O)cccc1F,C7H5FO3,TargetMol,Fr16673,586777.0,TargetMol,TargetMol:Fr16673,1,,,c1ccccc1
BCEQKAQCUWUNML,L,183.0288,4-Hydroxyisophthalic acid,O=C(O)c1ccc(O)c(C(=O)O)c1,C8H6O5,MedChemexpress MCE,HY-76632,12490.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-76632;TargetMol:T0553,2,,,c1ccccc1
BCFMGQOQYWGLIL,L,222.11247,Benzyl (3-hydroxycyclobutyl)carbamate,O=C(NC1CC(O)C1)OCc1ccccc1,C12H15NO3,TargetMol,TYD-03735,19794302.0,TargetMol,TargetMol:TYD-03735,1,,,O=C(NC1CCC1)OCc1ccccc1
BCGLNCAVZDQPGE,L,223.11761,"2,5,8,11-Tetraoxatridecan-13-oic acid",COCCOCCOCCOCC(=O)O,C9H18O6,MedChemexpress MCE,HY-130445,9859324.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-130445;TargetMol:T15858,2,,,__ACYCLIC__BCGLNCAVZDQPGE
