group_key,ce_numeric,mu,source
DHNRXBZYEKSXIM,30.0,0.9582630264014156,WUR
DHNRXBZYEKSXIM,45.0,0.8544176166093235,WUR
DHNRXBZYEKSXIM,60.0,0.7139301799998086,WUR
DHNRXBZYEKSXIM,75.0,0.6044849867096285,WUR
DHNRXBZYEKSXIM,90.0,0.5341478824532541,WUR
DHQKLWKZSFCKTA,30.0,0.4612072387007597,WUR
DHQKLWKZSFCKTA,45.0,0.3971474962576962,WUR
DHQKLWKZSFCKTA,60.0,0.389377258477106,WUR
DHQKLWKZSFCKTA,75.0,0.368692808776253,WUR
DHQKLWKZSFCKTA,90.0,0.34022306992457185,WUR
DIAQQISRBBDJIM,30.0,0.25171530182110924,WUR
DIAQQISRBBDJIM,45.0,0.17897388784822676,WUR
DIAQQISRBBDJIM,60.0,0.15093350726244462,WUR
DIAQQISRBBDJIM,75.0,0.1338058824779209,WUR
DIAQQISRBBDJIM,90.0,0.12249611997024344,WUR
DKFLKXDTRUWFDL,30.0,0.7137269557721352,WUR
DKFLKXDTRUWFDL,45.0,0.5148304187432383,WUR
DKFLKXDTRUWFDL,60.0,0.42672929279224137,WUR
DKFLKXDTRUWFDL,75.0,0.39809444662686577,WUR
DKFLKXDTRUWFDL,90.0,0.38555288211890126,WUR
DLFIWYTWQFOSEM,30.0,0.6626693131256718,WUR
DLFIWYTWQFOSEM,45.0,0.5395543349808604,WUR
DLFIWYTWQFOSEM,60.0,0.4763456676981512,WUR
DLFIWYTWQFOSEM,75.0,0.4211267288645688,WUR
DLFIWYTWQFOSEM,90.0,0.3702429355003676,WUR
DLNWZIVYKQXLTN,30.0,0.7988088426454322,WUR
DLNWZIVYKQXLTN,45.0,0.5721011002622229,WUR
DLNWZIVYKQXLTN,60.0,0.4889866422055415,WUR
DLNWZIVYKQXLTN,75.0,0.4316401505144606,WUR
DLNWZIVYKQXLTN,90.0,0.37797330001143703,WUR
DMSMPAJRVJJAGA,30.0,0.8926899228112288,WUR
DMSMPAJRVJJAGA,45.0,0.7788966849266651,WUR
DMSMPAJRVJJAGA,60.0,0.6844015975209065,WUR
DMSMPAJRVJJAGA,75.0,0.5938135777226897,WUR
DMSMPAJRVJJAGA,90.0,0.5258162478344749,WUR
DMYHGDXADUDKCQ,30.0,0.5199870914072003,WUR
DMYHGDXADUDKCQ,45.0,0.33098680219736265,WUR
DMYHGDXADUDKCQ,60.0,0.294493115139828,WUR
DMYHGDXADUDKCQ,75.0,0.29790754383694074,WUR
DMYHGDXADUDKCQ,90.0,0.31011552980533913,WUR
DNAWGBOKUFFVMB,30.0,0.8508945963371636,WUR
DNAWGBOKUFFVMB,45.0,0.5945704859771807,WUR
DNAWGBOKUFFVMB,60.0,0.43658575431815644,WUR
DNAWGBOKUFFVMB,75.0,0.37200224647919466,WUR
DNAWGBOKUFFVMB,90.0,0.32439402228895,WUR
DPSPPJIUMHPXMA,30.0,0.9683398375630552,WUR
DPSPPJIUMHPXMA,45.0,0.9426633718758525,WUR
