table_id,name,provider,compound_class,flavonoid_class,prenylation_type,cas,smiles,recorded_inchikey,key,scaffold_group,recorded_inchikey_block,inchi_derived_block,key_agrees_recorded,key_agrees_inchi,table_formula,parent_formula,formula_agrees,parent_monoisotopic,mh_mz,mh_in_dev_range,elements,parent_formal_charge,n_fragments_raw,in_msg15_any,msg15_folds,in_msg15_simchallenge,scaffold_in_msg15,in_muru_registry,in_muru_registry_direct,muru_exposed_populations,scaffold_in_muru_registry,in_study2_pop,scaffold_in_study2_pop,in_comparator_pop,scaffold_in_comparator_pop,in_msnlib_9lib,in_msnlib_v1_0,in_multims2_reserved,msg15_n_rows,msg15_n_rows_orbitrap_ce,msg15_adducts,msg15_key_first_identifier_num,is_prenylated,is_isolated_noncommercial,pass_L2_lenient_keys_plus_msg15,msg15_keys_same_formula,msg15_keys_same_formula_and_scaffold,pass_A_keys_muru_pr7_cmp,pass_B_plus_msg15_key,pass_C_plus_scaffold_muru_pr7_cmp,pass_D_plus_scaffold_not_in_msg15,pass_E_C_plus_mh_range_neutral_single
425,Apigenin 7-glucoside,reference standard_FLUKA,flavonoid - flavone-O-glycoside,flavone,none,578-74-5,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,KMOUJOKENFFTPU-UHFFFAOYSA-N,KMOUJOKENFFTPU,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,KMOUJOKENFFTPU,KMOUJOKENFFTPU,True,True,C21H20O10,C21H20O10,True,432.1056468399998,433.1129228399998,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,81,6,[M+H]+;[M+Na]+,87677.0,False,False,False,15,3,False,False,False,False,False
426,"6,7,4-TRIHYDROXYISOFLAVONE",reference standard_Extrasynthese,flavonoid - isoflavone,isoflavone,none,17817-31-1,C1=CC(=CC=C1C2=COC3=CC(=C(C=C3C2=O)O)O)O,GYLUFQJZYAJQDI-UHFFFAOYSA-N,GYLUFQJZYAJQDI,O=c1c(-c2ccccc2)coc2ccccc12,GYLUFQJZYAJQDI,GYLUFQJZYAJQDI,True,True,C15H10O5,C15H10O5,True,270.05282342,271.06009942,True,C;O,0,1,True,train,False,True,False,False,,True,False,False,False,False,True,False,False,47,0,[M+H]+;[M+Na]+,295566.0,False,False,False,29,4,True,False,False,False,False
435,Calycosin,reference standard_Sigma-Aldrich,flavonoid - isoflavone-O-methylated,isoflavone,none,20575-57-9,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,ZZAJQOPSWWVMBI-UHFFFAOYSA-N,ZZAJQOPSWWVMBI,O=c1c(-c2ccccc2)coc2ccccc12,ZZAJQOPSWWVMBI,ZZAJQOPSWWVMBI,True,True,C16H12O5,C16H12O5,True,284.068473484,285.07574948399997,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,51,3,[M+H]+;[M+Na]+,226668.0,False,False,False,20,5,False,False,False,False,False
640,Myricetin,reference standard_Extrasynthese,flavonoid - flavonol,flavonol,none,529-44-2,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,IKMDFBPHZNJCSN-UHFFFAOYSA-N,IKMDFBPHZNJCSN,O=c1cc(-c2ccccc2)oc2ccccc12,IKMDFBPHZNJCSN,IKMDFBPHZNJCSN,True,True,C15H10O8,C15H10O8,True,318.0375672799999,319.0448432799999,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,139,5,[M+H]+;[M+Na]+,106462.0,False,False,False,4,2,False,False,False,False,False
641,Delphinidin 3-O-D-glucoside,reference standard_Extrasynthese,flavonoid - anthocyanidin-O-glycoside,anthocyanidin,none,6906-38-3,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O.[Cl-],ZJWIIMLSNZOCBP-UHFFFAOYSA-N,XENHPQQLDPAYIJ,c1ccc(-c2[o+]c3ccccc3cc2OC2CCCCO2)cc1,ZJWIIMLSNZOCBP,ZJWIIMLSNZOCBP,False,False,C21H21ClO12,C21H21O12+,False,465.1027525320898,466.1100285320898,True,C;O,1,2,False,,False,False,False,False,,True,False,False,False,False,False,False,False,0,0,,,False,False,True,0,0,True,True,False,False,False
670,Flavone,reference standard_Sigma-Aldrich,flavonoid - flavone,flavone,none,525-82-6,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,VHBFFQKBGNRLFZ-UHFFFAOYSA-N,VHBFFQKBGNRLFZ,O=c1cc(-c2ccccc2)oc2ccccc12,VHBFFQKBGNRLFZ,VHBFFQKBGNRLFZ,True,True,C15H10O2,C15H10O2,True,222.06807956,223.07535556,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,True,49,9,[M+H]+,67878.0,False,False,False,2,1,False,False,False,False,False
671,Luteolin,reference standard_Sigma-Aldrich,flavonoid - flavone,flavone,none,491-70-3,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,IQPNAANSBPBGFQ-UHFFFAOYSA-N,IQPNAANSBPBGFQ,O=c1cc(-c2ccccc2)oc2ccccc12,IQPNAANSBPBGFQ,IQPNAANSBPBGFQ,True,True,C15H10O6,C15H10O6,True,286.04773803999996,287.05501403999995,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,141,3,[M+H]+;[M+Na]+,65719.0,False,False,False,13,9,False,False,False,False,False
673,Diosmetin,reference standard_Sigma-Aldrich,flavonoid - flavone-O-methylated,flavone,none,520-34-3,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,MBNGWHIJMBWFHU-UHFFFAOYSA-N,MBNGWHIJMBWFHU,O=c1cc(-c2ccccc2)oc2ccccc12,MBNGWHIJMBWFHU,MBNGWHIJMBWFHU,True,True,C16H12O6,C16H12O6,True,300.06338810399996,301.07066410399995,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,18,3,[M+H]+;[M+Na]+,152498.0,False,False,False,21,8,False,False,False,False,False
674,Apigenin-7-O-neohesperidosid,reference standard_Sigma-Aldrich,flavonoid - flavone-O-diglycoside(neo),flavone,none,17306-46-6,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,RPMNUQRUHXIGHK-UHFFFAOYSA-N,RPMNUQRUHXIGHK,O=c1cc(-c2ccccc2)oc2cc(OC3OCCCC3OC3CCCCO3)ccc12,RPMNUQRUHXIGHK,RPMNUQRUHXIGHK,True,True,C27H30O14,C27H30O14,True,578.1635556399999,579.17083164,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,108,6,[M+H]+;[M+Na]+,106832.0,False,False,False,14,1,False,False,False,False,False
675,3-Hydroxyflavone,reference standard_Sigma-Aldrich,flavonoid - flavone,flavone,none,577-85-5,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,HVQAJTFOCKOKIN-UHFFFAOYSA-N,HVQAJTFOCKOKIN,O=c1cc(-c2ccccc2)oc2ccccc12,HVQAJTFOCKOKIN,HVQAJTFOCKOKIN,True,True,C15H10O3,C15H10O3,True,238.06299418,239.07027018,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,7,0,[M+H]+,157780.0,False,False,False,8,7,False,False,False,False,False
