record_id,compound_id,recorded_key14,representative_smiles,formula,theoretical_mh,deposited_precursor_mz,nce,instrument,instrument_type,resolution,release,scaffold_group,source_file,blob_sha,order_index
MSBNK-Eawag-EQ01115607,KUAUJXBLDYVELT,KUAUJXBLDYVELT,CC(C)(COCC1CO1)COCC1CO1,C11H20O4,217.14343558688,217.1434,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,C(COCC1CO1)COCC1CO1,MSBNK-Eawag-EQ01115607.txt,37bd0c9ca723894bc1b3aec8ff34af5897cc1af9,33
MSBNK-Eawag-EQ01153902,LFZSOJABLBVGRJ,LFZSOJABLBVGRJ,Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1,C15H14N4O2,283.11895215488,283.119,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,O=C1Nc2ccc(=O)[nH]c2N(C2CC2)c2ncccc21,MSBNK-Eawag-EQ01153902.txt,c87b52bf430454df71081fbba691ebe444100e20,34
MSBNK-Eawag-EQ01153904,LFZSOJABLBVGRJ,LFZSOJABLBVGRJ,Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1,C15H14N4O2,283.11895215488,283.119,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,O=C1Nc2ccc(=O)[nH]c2N(C2CC2)c2ncccc21,MSBNK-Eawag-EQ01153904.txt,228946ea04e86e87479df6e3c5e4c0397a1bc9a7,35
MSBNK-Eawag-EQ01151002,LOMZTTMTKSVHAG,LOMZTTMTKSVHAG,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CNC(C)C(O)C1(C)O,C29H56N2O9,577.4058578388799,577.4059,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,O=C1CCCC(OC2CCCCO2)CCCCNCCCCO1,MSBNK-Eawag-EQ01151002.txt,d39b4e98551f4e3ae4cd040a7ed6ba860c3f6eb5,36
MSBNK-Eawag-EQ01151004,LOMZTTMTKSVHAG,LOMZTTMTKSVHAG,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CNC(C)C(O)C1(C)O,C29H56N2O9,577.4058578388799,577.4059,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,O=C1CCCC(OC2CCCCO2)CCCCNCCCCO1,MSBNK-Eawag-EQ01151004.txt,ed8642c9ef2337e8bb17505e9b0c6a20da48230e,37
MSBNK-Eawag-EQ01111802,MBABOKRGFJTBAE,MBABOKRGFJTBAE,COS(C)(=O)=O,C2H6O3S,111.01104151888,111.011,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__MBABOKRGFJTBAE,MSBNK-Eawag-EQ01111802.txt,2d2f4b8c356c54d8eb4869f53df7e2b058dc07e3,38
MSBNK-Eawag-EQ01111804,MBABOKRGFJTBAE,MBABOKRGFJTBAE,COS(C)(=O)=O,C2H6O3S,111.01104151888,111.011,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__MBABOKRGFJTBAE,MSBNK-Eawag-EQ01111804.txt,62ee28bba1b11959bd900f5f6c061d6164db4dd3,39
MSBNK-Eawag-EQ01199402,MBXOLPUMNTXLOV,MBXOLPUMNTXLOV,CC(=O)[C@H]1CCC[C@@H]2CC[C@H]1N2,C10H17NO,168.13829063088,168.1383,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,C1CCC2CCC(C1)N2,MSBNK-Eawag-EQ01199402.txt,b42b06cdb9b32654c5c711098aed01c3d36a6d12,40
MSBNK-Eawag-EQ01199404,MBXOLPUMNTXLOV,MBXOLPUMNTXLOV,CC(=O)[C@H]1CCC[C@@H]2CC[C@H]1N2,C10H17NO,168.13829063088,168.1383,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,C1CCC2CCC(C1)N2,MSBNK-Eawag-EQ01199404.txt,f991edadf7e31cf5210b62240a23711603c31096,41
MSBNK-Eawag-EQ01155202,OAIGZXXQYIJBLR,OAIGZXXQYIJBLR,C[N+](C)(CCOC(c1ccccc1)c1ccccc1)C1OC(C(=O)[O-])C(O)C(O)C1O,C23H29NO7,432.20167873487986,432.2017,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,c1ccc(C(OCC[NH2+]C2CCCCO2)c2ccccc2)cc1,MSBNK-Eawag-EQ01155202.txt,371acf26205c6b2a83308610e818434448d31d96,42
