accession,num_peak,precursor_type,precursor_mz,ion_mode,ce_value,key,parent_charge,mh_mz_from_parent,in_tree_2023_11
MSBNK-BAFG-CSL2311108858,10,[M+H]+,362.2115,POSITIVE,150.0,FMJSMJQBSVNSBF,0,362.21145557081206,True
MSBNK-BAFG-CSL23111012986,3,[M-H]-,137.0373,NEGATIVE,20.0,OGDSVONAYZTTDA,0,139.051857308812,True
MSBNK-BAFG-CSL23111027598,1,[M+H]+,443.2329,POSITIVE,10.0,DZNJMLVCIZGWSC,0,443.2329192868119,True
MSBNK-BAFG-CSL23111027721,9,[M+H]+,196.206,POSITIVE,60.0,GSCCALZHGUWNJW,0,196.20597626681197,True
MSBNK-BAFG-CSL23111011803,1,[M+H]+,509.4313,POSITIVE,20.0,RSOILICUEWXSLA,0,509.431284738812,True
MSBNK-BAFG-CSL23111012717,8,[M+H]+,144.0655,POSITIVE,40.0,HQGPKMSGXAUKHT,0,144.065519614812,True
MSBNK-BAFG-CSL23111010931,3,[M-H]-,210.0408,NEGATIVE,130.0,FBHJNBWUGONVNS,0,212.055348854812,True
MSBNK-BAFG-CSL23111019132,5,[M-H]-,418.0802,NEGATIVE,40.0,LTUNNEGNEKBSEH,0,420.094786118812,True
MSBNK-BAFG-CSL23111011102,11,[M-H]-,242.0493,NEGATIVE,40.0,DFWQXANLGSXMKF,0,244.063805362812,True
MSBNK-BAFG-CSL25011734092,1,[M-H]-,833.8887,NEGATIVE,90.0,YLPBXIKWXNRACS,0,835.9032499428121,False
MSBNK-BAFG-CSL23111015868,1,[M-H]-,150.0019,NEGATIVE,120.0,DMSMPAJRVJJAGA,0,152.016461246812,True
MSBNK-BAFG-CSL23111012946,2,[M-H]-,171.0216,NEGATIVE,40.0,OGBVRMYSNSKIEF,0,173.03620724481198,True
MSBNK-BAFG-CSL23111010534,6,[M+H]+,253.0931,POSITIVE,30.0,VGONTNSXDCQUGY,0,253.093131330812,True
MSBNK-BAFG-CSL23111016475,12,[M+H]+,156.1383,POSITIVE,110.0,JWUXJYZVKZKLTJ,0,156.13829063081198,True
MSBNK-BAFG-CSL23111014042,3,[M+H]+,444.9869,POSITIVE,20.0,FZTRDYSPWWJCOF,0,444.986888628812,True
MSBNK-BAFG-CSL23111017912,6,[M+H]+,214.0298,POSITIVE,100.0,PZXOQEXFMJCDPG,0,214.029741960812,True
MSBNK-BAFG-CSL23111014494,8,[M+H]+,267.172,POSITIVE,130.0,STCOOQWBFONSKY,0,267.171972440812,True
MSBNK-BAFG-CSL23111014426,1,[M+H]+,693.1802,POSITIVE,10.0,BQPNUOYXSVUVMY,0,693.1801677748119,True
MSBNK-BAFG-CSL23111017298,11,[M-H]-,196.1204,NEGATIVE,40.0,NFMIMWNQWAWNDW,0,198.13493656681197,True
MSBNK-BAFG-CSL23111018386,8,[M+H]+,358.9768,POSITIVE,40.0,FSAVDKDHPDSCTO,0,358.97680506481197,True
MSBNK-BAFG-CSL23111015955,1,[M-H]-,188.9515,NEGATIVE,40.0,ATCRIUVQKHMXSH,0,190.966111194812,True
MSBNK-BAFG-CSL23111027432,10,[M+H]+,138.055,POSITIVE,80.0,SKZKKFZAGNVIMN,0,138.054954930812,True
MSBNK-BAFG-CSL23111014090,1,[M+H]+,369.125,POSITIVE,10.0,BOSMZFBHAYFUBJ,0,369.125022248812,True
MSBNK-BAFG-CSL23111015407,12,[M+H]+,395.0814,POSITIVE,40.0,WYEHFWKAOXOVJD,0,395.081345158812,True
MSBNK-BAFG-CSL2311108923,18,[M+H]+,153.0407,POSITIVE,40.0,LRFVTYWOQMYALW,0,153.04070183481198,True
MSBNK-BAFG-CSL2311109763,22,[M+H]+,261.0321,POSITIVE,40.0,CMSMOCZEIVJLDB,0,261.03209617681205,True
MSBNK-BAFG-CSL23111017630,25,[M+H]+,114.0914,POSITIVE,30.0,JBKVHLHDHHXQEQ,0,114.091340438812,True
MSBNK-BAFG-CSL2311109636,17,[M+H]+,327.1551,POSITIVE,80.0,KRAWNIRAZIFPLS,0,327.15506289081196,True
MSBNK-BAFG-CSL2311109702,24,[M+H]+,465.1059,POSITIVE,120.0,GUXHBMASAHGULD,0,465.1059197788119,True
MSBNK-BAFG-CSL23111016063,30,[M+H]+,284.0716,POSITIVE,100.0,WKBPZYKAUNRMKP,0,284.07157930681205,True
MSBNK-BAFG-CSL2311095854,29,[M+H]+,504.0853,POSITIVE,70.0,NIFKBBMCXCMCAO,0,504.0853457188121,True
MSBNK-BAFG-CSL25011734706,24,[M-2H]2-,288.0336,NEGATIVE,40.0,BGBDMEPBLWJCHI,0,579.0890341308119,False
MSBNK-BAFG-CSL23111012055,19,[M+H]+,914.526,POSITIVE,140.0,ZKWQQXZUCOBISE,0,914.526032546812,True
MSBNK-BAFG-CSL2311094528,16,[M+H]+,749.5158,POSITIVE,50.0,MQTOSJVFKKJCRP,0,749.5158022108119,True
MSBNK-BAFG-CSL23111027494,32,[M+H]+,372.0288,POSITIVE,130.0,LQDARGUHUSPFNL,0,372.028806678812,True
MSBNK-BAFG-CSL2311096353,40,[M+H]+,296.024,POSITIVE,90.0,SBDNJUWAMKYJOX,0,296.02396041881207,True
MSBNK-BAFG-CSL25011727939,41,[M+H]+,353.1397,POSITIVE,50.0,FHNINJWBTRXEBC,0,353.139687598812,False
