key,scaffold_group,parent_formula,parent_charge,mh_mz,compound_name,n_records,ce_values,n_distinct_ce,ce_units,any_record_in_2023_11,all_records_in_2023_11,recorded_charged,recorded_block1s,date_published,in_msg15_any_route,in_msg15_simchallenge,in_muru_registry,in_muru_exposed_union,in_muru_exposed_populations,in_muru_dev,in_pr7,in_comparator,in_msnlib_9lib,sg_in_msg15,sg_in_muru_registry,sg_in_muru_dev,sg_in_pr7,sg_in_comparator,in_range_70_1042_6,charge_neutral_parent,msg_qtof_rows,msg_qtof_ladder_ce,msg_qtof_max_ce,msg_folds,hidden_msg_candidate_strong,hidden_msg_candidate_any_same_formula
LWRBVKNFOYUCNP,O=C(CN1CCOCC1)c1ccccc1,C15H21NO2S,0,280.13657637881204,2-Methyl-4`-(methylthio)-2-morpholinopropiophenone,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,LWRBVKNFOYUCNP,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,15.0,15.0,150.0,train,False,False
LXCFILQKKLGQFO,c1ccccc1,C8H8O3,0,153.054620582812,Methyl 4-hydroxybenzoate,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,LXCFILQKKLGQFO,2025-01-17,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,20.0,18.0,140.0,train,False,False
LXNHXLLTXMVWPM,c1ccncc1,C8H11NO3,0,170.081169678812,Pyridoxine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,LXNHXLLTXMVWPM,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,27.0,22.0,110.0,train,False,False
LXOFYPKXCSULTL,__ACYCLIC__LXOFYPKXCSULTL,C14H26O2,0,227.20055653881198,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1,20,1,V,True,True,False,LXOFYPKXCSULTL,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,False,False
LXVJOKQWUUSEEO,c1ccc2scnc2c1,C9H10N2S,0,179.06374578681198,1-Benzothiazol-2-yl-ethylamine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,LXVJOKQWUUSEEO,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,16.0,16.0,150.0,train,False,False
LZFZMUMEGBBDTC,O=C(CNCCCc1ccccc1)N1CCCC1,C18H24N2O5,0,349.175798334812,Enalaprilat,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,LZFZMUMEGBBDTC,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,11.0,8.0,50.0,train,True,True
LZNWYQJJBLGYLT,O=C(Nc1ccccn1)C1=Cc2sccc2S(=O)(=O)N1,C13H11N3O4S2,0,338.0263742988121,Tenoxicam,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,LZNWYQJJBLGYLT,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,21.0,20.0,140.0,train,False,False
MADUVMLGQASXOK,__ACYCLIC__MADUVMLGQASXOK,C9H19NO2,0,174.14885531481198,(S)-N-methyl-pregabalin,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,MADUVMLGQASXOK,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,16.0,16.0,150.0,train,False,False
MANFWSKJPOXKJZ,c1cncnc1,C7H10N4O2,0,183.08765202681198,"Ethyl 2,4-diaminopyrimidine-5-carboxylate",16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,MANFWSKJPOXKJZ,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,8.0,8.0,150.0,train,False,False
MCGSCOLBFJQGHM,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,C14H18N6O,0,287.161485662812,Abacavir,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,MCGSCOLBFJQGHM,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,9.0,8.0,70.0,train,False,False
MCPKSFINULVDNX,c1ccc(-n2nc3ccccc3n2)cc1,C13H11N3O,0,226.09748843881198,Drometrizole,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,MCPKSFINULVDNX,2025-01-17,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,2.0,2.0,20.0,train,False,False
MEFQWPUMEMWTJP,c1ccncc1,C7H5Cl2FN2O3,0,254.97340206681199,Fluroxypyr,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,MEFQWPUMEMWTJP,2025-01-17,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,16.0,16.0,150.0,train,False,False
MELGLHXCBHKVJG,__ACYCLIC__MELGLHXCBHKVJG,C18H40N+,1,271.322803166902,Dimethyldioctylammonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,MELGLHXCBHKVJG,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
MESJRHHDBDCQTH,c1ccccc1,C8H11NO,0,138.09134043881198,3-Dimethylaminophenol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,MESJRHHDBDCQTH,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,16.0,16.0,150.0,train,False,False
METKIMKYRPQLGS,c1ccccc1,C14H22N2O3,0,267.17031903081204,Atenolol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,METKIMKYRPQLGS,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,34.0,28.0,80.0,train,False,False
