key,scaffold_group,name,smiles,labs,instrument_types,instrument_models,n_records,ce_strings_by_lab,max_distinct_ce_strings_within_one_lab,max_distinct_single_numeric_ce_within_one_lab,mh_in_dev_range,parent_formal_charge,n_fragments_raw,in_msg15_any,msg15_folds,in_msg15_simchallenge,scaffold_in_msg15,in_muru_registry,in_muru_registry_direct,muru_exposed_populations,scaffold_in_muru_registry,in_study2_pop,scaffold_in_study2_pop,in_comparator_pop,scaffold_in_comparator_pop,in_msnlib_9lib,in_msnlib_v1_0,in_multims2_reserved,msg15_keys_same_formula,msg15_keys_same_formula_and_scaffold,pass_C,pass_B
DCYOADKBABEMIQ,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,Myricitrin,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O,MC25,LC-ESI-ITFT,LTQ-Orbitrap XL hybrid mass spectrometer (Thermo Scientific),1,"{""MC25"": [""0.3""]}",1,1,True,0,1,True,train,True,True,False,False,,True,False,False,False,False,True,True,False,9,2,False,False
DDRJAANPRJIHGJ,N=C1NCC(=O)N1,Creatinine,CN1CC(=O)NC1=N,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"NOT_FETCHED;Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",7,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,False,False,False,False,False,True,True,False,1,1,False,False
DFMAXQKDIGCMTL,O=c1ccc2cc3ccoc3cc2o1,Isopimpinellin,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""45eV""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,5,1,False,False
DFPAKSUCGFBDDF,c1ccncc1,Niacinamide,NC(=O)C1=CC=CN=C1,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",7,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,ENTACT-MIX-LISTS-499-503-505;LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-DEV;LCSB-POS-V2-SPECTRA;MultiMS2-ANCHOR;V2-DEVELOPMENT-POPULATION,True,False,False,False,False,True,True,False,3,2,False,False
DFPMSGMNTNDNHN,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21,Naringin,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,MC19;MC25,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300;LTQ-Orbitrap XL hybrid mass spectrometer (Thermo Scientific)",2,"{""MC19"": [""45eV""], ""MC25"": [""0.3""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,5,1,False,False
DGVSIBCCYUVRNA,O=c1nc[nH]c2c1ncn2C1CCC(CO[PH](=O)O[PH](=O)OCC2CCC([n+]3ccccc3)O2)O1,NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE,O=P([O-])(OP(O)(OCC1C(O)C(O)C(N2C=NC3=C2NC=NC3=O)O1)=O)OCC(O4)C(O)C(O)C4[N+]5=CC=CC(C(N)=O)=C5,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,0,0,True,True
DHCLVCXQIBBOPH,__ACYCLIC__DHCLVCXQIBBOPH,BETA-GLYCEROPHOSPHATE,OCC(CO)OP(O)(O)=O,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,False,False,2,1,False,False
DHMQDGOQFOQNFH,__ACYCLIC__DHMQDGOQFOQNFH,Glycine,NCC(O)=O,MC20,LC-ESI-ITFT,Thermo Scientific Q-Exactive Focus,6,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,2,1,False,False
DIVDFFZHCJEHGG,c1ccccc1,6-HYDROXYDOPAMINE,NCCC1=C(O)C=C(O)C(O)=C1,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,False,False,,True,False,False,False,False,False,False,False,3,2,False,False
DIVQKHQLANKJQO,c1ccccc1,3-Methoxytyramine,COC1=C(O)C=CC(CCN)=C1,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"NOT_FETCHED;Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",7,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,7,4,False,False
DJJCXFVJDGTHFX,O=c1ccn(C2CCCO2)c(=O)[nH]1,URIDINE MONOPHOSPHATE,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,1,1,False,False
DLCJNIBLOSKIQW,O=c1ccc2ccc3occc3c2o1,Sphondin,COC1=C2C(=C3C(=C1)C=CC(=O)O3)C=CO2,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""45eV""]}",1,1,True,0,1,True,train,True,True,True,False,,True,False,False,False,False,True,False,False,4,2,False,False
DLFVBJFMPXGRIB,__ACYCLIC__DLFVBJFMPXGRIB,Acetamide,CC(N)=O,MC20,LC-ESI-ITFT,Thermo Scientific Q-Exactive Focus,6,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""]}",6,6,False,0,1,False,,False,False,False,False,,False,False,False,False,False,True,True,False,0,0,True,True
DNDNWOWHUWNBCK,N=C(Cc1c[nH]c2ccccc12)SC1CCCCO1,3-Indolylmethylglucosinolate,C1=CC=C2C(=C1)C(=CN2)CC(=NOS(=O)(=O)O)SC3C(C(C(C(O3)CO)O)O)O,MC15,LC-ESI-ITFT,q exactive focus thermo,1,"{""MC15"": [""30""]}",1,1,True,0,1,False,,False,False,True,True,V2-DEVELOPMENT-POPULATION;WUR-DEV-ANALYSIS;WUR-POS-IDENTITY,True,False,False,False,False,False,False,False,0,0,False,False
DNVPQKQSNYMLRS,C1=C2CCCCC2C2CCC3CCCC3C2=C1,Ergosterol,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,MC01,APCI-ITFT,Orbitrap Elite,1,"{""MC01"": [""35 CID""]}",1,1,True,0,1,True,train,False,True,True,True,,True,False,False,False,False,True,False,False,2,1,False,False
DNXHEGUUPJUMQT,O=C1CCC2C1CCC1c3ccccc3CCC12,Estrone (E1),[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,True,True,ENTACT-MIX-LISTS-499-503-505,True,False,False,False,False,True,True,False,4,1,False,False
DRBBFCLWYRJSJZ,__ACYCLIC__DRBBFCLWYRJSJZ,PHOSPHOCREATINE,CN(CC(O)=O)C(=N)NP(O)(O)=O,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,False,False,,False,False,False,False,False,True,True,False,1,1,False,False
