lab,instrument_type,ion_mode,n_records,n_keys,n_mh_records,n_mh_keys,instrument_models,ce_strings_top,n_distinct_ce_strings,ce_forms,adducts_top,max_distinct_ce_per_key_adduct,n_key_adduct_with_ge3_distinct_ce,n_key_adduct_with_ge2_distinct_ce,resolution_strings,date_published_range,licenses,codesearch_ce_line_coverage,codesearch_fragmentation_mode
MC08,ESI-QTOF,POSITIVE,26,25,26,25,"{""NOT_FETCHED"": 26}","{""30 eV"": 26}",1,"{""single|unit=eV|prefix=none"": 26}","{""[M+H]+"": 26}",1,0,0,"{""NA"": 26}",2023-02-08..2023-02-08,"{""https://creativecommons.org/licenses/by/4.0/"": 26}",0,{}
MC09,LC-ESI-QFT,NEGATIVE,121,38,0,0,"{""QE Focus, Thermo Scientfic; UPLC I-Class, Waters"": 121}","{""15,30,45 (NCE)"": 121}",1,"{""list_or_stepped|unit=nce|prefix=none"": 121}","{""[M-H]-"": 35, ""[M+C2HF3O2-H]-"": 24, ""[M+FA-H]-"": 22, ""[M+Cl]-"": 20, ""[2M-H]-"": 18, ""[2M+FA-H]-"": 1}",1,0,0,"{""NA"": 121}",2023-02-20..2023-02-20,"{""https://creativecommons.org/licenses/by/4.0/"": 121}",121,{}
MC09,LC-ESI-QFT,POSITIVE,109,39,27,27,"{""QE Focus, Thermo Scientfic; UPLC I-Class, Waters"": 109}","{""15,30,45 (NCE)"": 109}",1,"{""list_or_stepped|unit=nce|prefix=none"": 109}","{""[M+H]+"": 27, ""[M+Na]+"": 23, ""[2M+Na]+"": 11, ""[M+NH4]+"": 11, ""[2M+H]+"": 9, ""[M+K]+"": 6}",1,0,0,"{""NA"": 109}",2023-02-21..2023-02-21,"{""https://creativecommons.org/licenses/by/4.0/"": 109}",109,{}
MC10,LC-ESI-QTOF,NEGATIVE,600,120,0,0,"{""NOT_FETCHED"": 600}","{""15 / 50"": 157, ""10"": 146, ""30"": 137, ""60"": 84, ""100"": 65, ""20 / 50"": 9, ""NA"": 2}",6,"{""list_or_stepped|unit=none|prefix=none"": 166, ""single|unit=none|prefix=none"": 432, ""missing"": 2}","{""[M-H]-"": 597, ""[M+H2O+H]+"": 3}",5,93,105,"{""NA"": 600}",2023-02-06..2023-02-07,"{""https://creativecommons.org/licenses/by/4.0/"": 600}",0,{}
MC10,LC-ESI-QTOF,POSITIVE,346,82,275,68,"{""NOT_FETCHED"": 346}","{""15 / 50"": 93, ""30"": 74, ""60"": 67, ""10"": 56, ""100"": 52, ""20 / 50"": 4}",6,"{""list_or_stepped|unit=none|prefix=none"": 97, ""single|unit=none|prefix=none"": 249}","{""[M+H]+"": 275, ""[M-2H2O+H]+"": 33, ""[M+Na]+"": 13, ""[M+NH4]+"": 12, ""[M-H2O+H]+"": 10, ""[2M+H]+"": 3}",5,61,71,"{""NA"": 346}",2023-02-07..2023-02-07,"{""https://creativecommons.org/licenses/by/4.0/"": 346}",0,{}
MC11,LC-ESI-QTOF,NEGATIVE,147,138,0,0,"{""NOT_FETCHED"": 147}","{""50eV"": 147}",1,"{""single|unit=eV|prefix=none"": 147}","{""[M-H]-"": 143, ""[M-H2O-H]-"": 3, ""[M-2H]2-"": 1}",1,0,0,"{""NA"": 147}",2023-04-05..2023-04-05,"{""https://creativecommons.org/licenses/by/4.0/"": 147}",0,{}
MC11,LC-ESI-QTOF,POSITIVE,130,121,116,113,"{""NOT_FETCHED"": 130}","{""50eV"": 130}",1,"{""single|unit=eV|prefix=none"": 130}","{""[M+H]+"": 116, ""[M+Na]+"": 6, ""[M]+"": 6, ""[M+H-H2O]+"": 2}",1,0,0,"{""NA"": 130}",2023-04-05..2023-04-05,"{""https://creativecommons.org/licenses/by/4.0/"": 130}",0,{}
MC12,ESI-QTOF,NEGATIVE,11,11,0,0,"{""NOT_FETCHED"": 11}","{""-10, -35, -60"": 11}",1,"{""list_or_stepped|unit=none|prefix=none"": 11}","{""[M-H]-"": 11}",1,0,0,"{""NA"": 11}",2023-02-03..2023-02-03,"{""https://creativecommons.org/licenses/by/4.0/"": 11}",0,{}
MC12,ESI-QTOF,POSITIVE,23,23,23,23,"{""NOT_FETCHED"": 23}","{""1, 35, 60"": 23}",1,"{""list_or_stepped|unit=none|prefix=none"": 23}","{""[M+H]+"": 23}",1,0,0,"{""NA"": 23}",2023-02-03..2023-02-03,"{""https://creativecommons.org/licenses/by/4.0/"": 23}",0,{}
MC13,LC-ESI-QTOF,NEGATIVE,21,21,0,0,"{""NOT_FETCHED"": 21}","{""7-62eV"": 21}",1,"{""range_or_ramp|unit=eV|prefix=none"": 21}","{""[M-H]-"": 21}",1,0,0,"{""NA"": 21}",2023-02-04..2023-02-04,"{""https://creativecommons.org/licenses/by/4.0/"": 21}",0,{}
MC14,LC-ESI-ITFT,POSITIVE,93,90,93,90,"{""Q Exactive Plus, ThermoFisher Scientific"": 93}","{""50eV"": 93}",1,"{""single|unit=eV|prefix=none"": 93}","{""[M+H]+"": 93}",1,0,0,"{""NA"": 93}",2023-02-05..2023-02-05,"{""https://creativecommons.org/licenses/by/4.0/"": 93}",93,{}
MC15,LC-ESI-ITFT,POSITIVE,23,23,18,18,"{""q exactive focus thermo"": 23}","{""30"": 23}",1,"{""single|unit=none|prefix=none"": 23}","{""[M+H]+"": 18, ""[M]+"": 5}",1,0,0,"{""NA"": 23}",2023-02-05..2023-02-05,"{""https://creativecommons.org/licenses/by/4.0/"": 23}",23,{}
MC16,LC-ESI-ITFT,NEGATIVE,14,12,0,0,"{""Bruker timsTOF"": 14}","{""20/50eV"": 14}",1,"{""list_or_stepped|unit=eV|prefix=none"": 14}","{""[M-H]-"": 13, ""[M+FA-H]-"": 1}",1,0,0,"{""NA"": 14}",2023-04-03..2023-04-03,"{""https://creativecommons.org/licenses/by/4.0/"": 14}",14,{}
MC17,LC-ESI-QTOF,NEGATIVE,12,12,0,0,"{""NOT_FETCHED"": 12}","{""-10,-35,-60V"": 12}",1,"{""list_or_stepped|unit=V|prefix=none"": 12}","{""[M+FA-H]-"": 9, ""[M-H]-"": 3}",1,0,0,"{""NA"": 12}",2023-02-06..2023-02-06,"{""https://creativecommons.org/licenses/by/4.0/"": 12}",0,{}
MC18,LC-ESI-ITFT,NEGATIVE,16,13,0,0,"{""LTQ Orbitrap XL, Thermo Scientfic; Aquity (U)HPLC, Waters"": 16}","{""35 NCE"": 16}",1,"{""single|unit=nce|prefix=none"": 16}","{""[M+FA-H]-"": 16}",1,0,0,"{""NA"": 16}",2023-02-16..2023-02-16,"{""https://creativecommons.org/licenses/by/4.0/"": 16}",16,{}
