compound,smiles,formula_calc,parent_key,taut_key,skel_key,scaffold_group,n_mh_spectra,single_ce,n_single_ce,chimeric_flag,in_muru_registry,group_in_muru_registry_groups,in_pr7,group_in_pr7,in_comparator,group_in_comparator,in_msg15,group_in_msg15,msg15_pk_hit,msg15_taut_hit,msg15_skel_hit,msg15_new_hit_smiles,muru_dev_pop_pk_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,muru_dev_pop_new_hit_smiles,pr7_pk_hit,pr7_taut_hit,pr7_skel_hit,pr7_new_hit_smiles,comparator_pk_hit,comparator_taut_hit,comparator_skel_hit,comparator_new_hit_smiles,taut_or_skel_new_hit
Matairesinol,COc1c(O)ccc(C[C@H]2COC(=O)[C@@H]2Cc2cc(OC)c(O)cc2)c1,C20H22O6,MATGKVZWFZHCLI,MATGKVZWFZHCLI,CAAIDRGYCLYFBA,O=C1OCC(Cc2ccccc2)C1Cc1ccccc1,12,20;35;40;50;55;60,6,Yes,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Metribuzin,CSc1nnc(C(C)(C)C)c(=O)n1N,C8H14N4OS,FOXFZRUHNHCZPX,FOXFZRUHNHCZPX,WPIHGLZTFQHOSG,O=c1cnnc[nH]1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Mono-(2-ethyl-5-carboxypentyl) phthalate,CCC(CCCC(=O)O)COC(=O)c1ccccc1C(=O)O,C16H20O6,XFGRNAPKLGXDGF,XFGRNAPKLGXDGF,BHCGWDYZDVKDAQ,c1ccccc1,15,20;25;30;35;40;45;50;55;60;65;70,11,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Mono-(2-ethyl-5-oxohexyl) phthalate,CCC(CCC(C)=O)COC(=O)c1ccccc1C(=O)O,C16H20O5,HCWNFKHKKHNSSL,HCWNFKHKKHNSSL,GOCBMAQGQSZZPE,c1ccccc1,12,20;25;30;35;45;50;55;60;65;70,10,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Mono-(3-carboxypropyl) phthalate,O=C(O)CCCOC(=O)c1ccccc1C(=O)O,C12H12O6,IYTPMLIWBZMBSL,IYTPMLIWBZMBSL,STGFJARTWNSQFV,c1ccccc1,7,20;25;30;40,4,No,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Mono-[(2-carboxymethyl) hexyl] phthalate,CCCCC(COC(=O)c1ccccc1C(=O)O)CC(=O)O,C16H20O6,CCNOZWPVQWCJFK,CCNOZWPVQWCJFK,UOUAHASTOFHBQC,c1ccccc1,15,20;25;30;35;40;45;50;55;60;65;70,11,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Mono-cyclohexyl phthalate,O=C(O)c1ccccc1C(=O)OC1CCCCC1,C14H16O4,PMDKYLLIOLFQPO,PMDKYLLIOLFQPO,ZUGXXLNCKHJMGF,O=C(OC1CCCCC1)c1ccccc1,15,20;25;30,3,Yes,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Mono-hexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)O,C14H18O4,XOSNGXNHDRYFEF,XOSNGXNHDRYFEF,QALWDFITKQFLQC,c1ccccc1,15,20;25,2,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Mono-iso-nonyl phthalate,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)O,C17H24O4,RNCMBSSLYOAVRT,RNCMBSSLYOAVRT,YVMONZWHHCDUTQ,c1ccccc1,15,20;25,2,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Mono-n-pentyl phthalate,CCCCCOC(=O)c1ccccc1C(=O)O,C13H16O4,FPGPRAKRYDSZAW,FPGPRAKRYDSZAW,JUVXTWKINSOTIH,c1ccccc1,6,20,1,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
Mycophenolic acid,COc1c(C/C=C(\C)CCC(=O)O)c(O)c2C(=O)OCc2c1C,C17H20O6,HPNSFSBZBAHARI,HPNSFSBZBAHARI,URLRVFKILXHZGS,O=C1OCc2ccccc21,15,20;25;30;35;40;45;50;55;60;65;70,11,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
N-butylbenzenesulfonamide,CCCCNS(=O)(=O)c1ccccc1,C10H15NO2S,IPRJXAGUEGOFGG,IPRJXAGUEGOFGG,UOTNJZWWSARMRW,c1ccccc1,15,35,1,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
"N,N-dimethylbenzamide",CN(C)C(=O)c1ccccc1,C9H11NO,IMNDHOCGZLYMRO,IMNDHOCGZLYMRO,KZKGHHDDCQNVHH,c1ccccc1,15,,0,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
