group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
UAIUNKRWKOVEES,c1ccc(-c2ccccc2)cc1,241.1699,38.0,1.0,2.0,2.0,8.0,52.04,0.1111111111111111,2.0,0.0,0.0,0.0,LCSB
UBCHPRBFMUDMNC,C1C2CC3CC1CC(C2)C3,180.174789428711,34.0,1.0,4.0,0.0,4.0,26.02,0.07692307692307693,1.0,0.0,0.0,0.0,WUR
UBCKGWBNUIFUST,c1ccccc1,364.9065,28.0,5.0,1.0,1.0,6.0,44.760000000000005,0.47368421052631576,0.0,4.0,0.0,4.0,LCSB
UDCDOJQOXWCCSD,c1ccccc1,215.08483123779303,28.0,3.0,1.0,1.0,6.0,49.410000000000004,0.35714285714285715,2.0,2.0,1.0,0.0,WUR
UDKABVSQKJNZBH,C=C1CC2CC[C@@H]3C4CCC(=O)C=C4C=C[C@H]3[C@@H]2C1,397.2373,61.0,2.0,4.0,0.0,10.0,60.440000000000005,0.13793103448275862,0.0,4.0,0.0,0.0,LCSB
UELITFHSCLAHKR,c1ccc2snnc2c1,210.999526977539,19.0,1.0,2.0,2.0,8.0,42.85,0.38461538461538464,2.0,1.0,2.0,0.0,WUR
UFEODZBUAFNAEU,N=C(C1=NOCCO1)c1ccccc1Oc1cc(Oc2ccccc2)ncn1,459.0866,48.0,7.0,4.0,3.0,15.0,96.65000000000002,0.34375,4.0,5.0,0.0,2.0,LCSB
UFFBMTHBGFGIHF,c1ccccc1,122.0963134765625,20.0,0.0,1.0,1.0,4.0,26.02,0.1111111111111111,1.0,0.0,0.0,0.0,WUR
UFNOUKDBUJZYDE,c1ccc(C(CC2CC2)Cn2cncn2)cc1,292.121337890625,38.0,5.0,3.0,2.0,8.5,50.94,0.25,3.0,1.0,0.0,1.0,WUR
UHBUSMAHWHZQKS,O=C(NCc1ccccc1)c1cccnc1Oc1ccccc1,381.1609,49.0,6.0,3.0,3.0,13.0,71.45,0.21428571428571427,2.0,3.0,0.0,1.0,LCSB
