"ID","Name","SMILES","CAS","RT"
1132,"Tribenzylamine","C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1","",NA
1133,"Methyl 2-methoxybenzoate","COC(=O)C1=C(OC)C=CC=C1","",NA
1134,"2-Hydroxybenzophenone","OC1=CC=CC=C1C(=O)C1=CC=CC=C1","",NA
1135,"Suxibuzone","CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1","",NA
1136,"1-Naphthol","OC1=CC=CC2=CC=CC=C12","",NA
1137,"Dichlorophen","OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O","",NA
1138,"Phenyl salicylate","OC1=C(C=CC=C1)C(=O)OC1=CC=CC=C1","",NA
1139,"4-Aminobenzoic acid","NC1=CC=C(C=C1)C(O)=O","",NA
1140,"Ethyl anthranilate","CCOC(=O)C1=C(N)C=CC=C1","",NA
1141,"Musk ketone","CC(=O)C1=C(C)C(=C(C(=C1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O","",NA
1142,"2H-3,1-Benzoxazine-2,4(1H)-dione","O=C1NC2=C(C=CC=C2)C(=O)O1","",NA
1143,"S-Metolachlor","CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1","",NA
1144,"17alpha-Hydroxyprogesterone","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","",NA
1145,"7-(Dimethylamino)-4-methylcoumarin","CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2","",NA
1146,"Cetylpyridinium","CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1","",NA
1147,"Isoprocarb","CNC(=O)OC1=C(C=CC=C1)C(C)C","",NA
1148,"1,1'-[Ethane-1,2-diylbis(oxy)]bis(3-methylbenzene)","CC1=CC(OCCOC2=CC=CC(C)=C2)=CC=C1","",NA
1149,"Scopolamine","CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21","",NA
1150,"1-(2,6-Dichlorophenyl)-2-indolinone","ClC1=CC=CC(Cl)=C1N1C(=O)CC2=C1C=CC=C2","",NA
1151,"Candoxatril","COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1","",NA
1152,"Carabersat","CC(=O)C1=CC2=C(OC(C)(C)[C@H](O)[C@H]2NC(=O)C2=CC=C(F)C=C2)C=C1","",NA
1153,"Tomelukast","CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O","",NA
1154,"4-Phenylphenol","OC1=CC=C(C=C1)C1=CC=CC=C1","",NA
1155,"Salicylanilide","OC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1","",NA
1156,"3-Trifluoromethyl-4-nitrophenol","OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F","",NA
1157,"3,4-Dichloroaniline","NC1=CC(Cl)=C(Cl)C=C1","",NA
1158,"EPN","CCOP(=S)(OC1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1","",NA
1159,"Primidone","CCC1(C(=O)NCNC1=O)C1=CC=CC=C1","",NA
1160,"2,4-Bis(1-methyl-1-phenylethyl)phenol","CC(C)(C1=CC=CC=C1)C1=CC(=C(O)C=C1)C(C)(C)C1=CC=CC=C1","",NA
1161,"Fenoxycarb","CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1","",NA
1162,"Fluazinam","[O-][N+](=O)C1=CC(=C(Cl)C(=C1NC1=C(Cl)C=C(C=N1)C(F)(F)F)[N+]([O-])=O)C(F)(F)F","",NA
1163,"Fenuron","CN(C)C(=O)NC1=CC=CC=C1","",NA
1164,"3,5,6-Trichloro-2-pyridinol","OC1=NC(Cl)=C(Cl)C=C1Cl","",NA
1165,"2-(3-Phenylpropyl)pyridine","C(CC1=CC=CC=C1)CC1=CC=CC=N1","",NA
1166,"Pantoprazole","COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=CC(OC(F)F)=C3)=NC=C1","",NA
1167,"2,2'-[Benzene-1,3-diylbis(oxy)]diethanol","OCCOC1=CC(OCCO)=CC=C1","",NA
1168,"Fluorometholone","C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]2(C)C=CC(=O)C=C12","",NA
1169,"Budesonide","CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO","",NA
1170,"Tegafur","FC1=CN(C2CCCO2)C(=O)NC1=O","",NA
1171,"Nonanedioic acid","OC(=O)CCCCCCCC(O)=O","",NA
1172,"17alpha-Estradiol","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O","",NA
1173,"Aminoglutethimide","CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1","",NA
1174,"Acetochlor","CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C","",NA
1175,"Flutolanil","CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1","",NA
1176,"Oryzalin","CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O","",NA
1177,"Dimethyl isophthalate","COC(=O)C1=CC(=CC=C1)C(=O)OC","",NA
1178,"4,4'-(4-Methylpentane-2,2-diyl)diphenol","CC(C)CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","",NA
1179,"5,6-Benzoflavone","O=C1C=C(OC2=C1C1=C(C=CC=C1)C=C2)C1=CC=CC=C1","",NA
1180,"Etoxazole","CCOC1=C(C=CC(=C1)C(C)(C)C)C1COC(=N1)C1=C(F)C=CC=C1F","",NA
1181,"Secbumeton","CCNC1=NC(OC)=NC(NC(C)CC)=N1","",NA
