key,name,smiles,sg,formula,taut_key,skel_key,taut_in_msg,skel_in_msg,taut_in_dev,skel_in_dev,taut_in_pr7,skel_in_pr7,taut_in_cmp,skel_in_cmp,msg_same_formula_n,msg_same_formula_max_tanimoto,msg_nn_smiles,in_msnlib9,sg_in_registry,sg_in_pr7,sg_in_comparator,sg_in_msg15,n_nce,nce_ladder,mh_calc,releases,uchem_ids
DSRUAYIFDCHEEV,"1,1,2,2,3,3,4,4,4-nonafluoro-N-(2-hydroxyethyl)-N-methylbutane-1-sulfonamide",CN(CCO)S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,__ACYCLIC__DSRUAYIFDCHEEV,C7H8F9NO3S,DSRUAYIFDCHEEV,C7H8F9NO3S|CN(CCO)S(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",358.01539456288,dev,12009
FARSXMMESQDZMY,"4-Chloro-N,N-Dimethylbenzamide",CN(C)C(=O)C1=CC=C(C=C1)Cl,c1ccccc1,C9H10ClNO,FARSXMMESQDZMY,C9H10ClNO|CN(C)C(O)C1CCC(Cl)CC1,False,False,False,False,False,False,False,False,1,0.2368,CC(=O)Nc1ccc(C)c(Cl)c1,False,True,False,False,True,5,"15,30,45,60,75",184.05236808688,2024.11,10999
FELZONDEFBLTSP,,CC1=CN2C(=NC(=C2CC(=O)N(C)C)C3=CC=C(C=C3)C(=O)O)C=C1,c1ccc(-c2cn3ccccc3n2)cc1,C19H19N3O3,FELZONDEFBLTSP,C19H19N3O3|CC1CCC2NC(C3CCC(C(O)O)CC3)C(CC(O)N(C)C)N2C1,False,False,False,False,False,False,False,False,11,0.1806,COc1cc(OC)cc(C(=O)n2nc(C)c(-c3ccccc3)c2N)c1,False,True,False,False,True,7,"15,30,45,60,75,90,120",338.14991793487997,2024.06,11535
FJDPATXIBIBRIM,Cyphenothrin,CC(=CC1C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,C24H25NO3,FJDPATXIBIBRIM,C24H25NO3|CC(C)CC1C(C(O)OC(CN)C2CCCC(OC3CCCCC3)C2)C1(C)C,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,7,"15,30,45,60,75,90,120",376.19072012688,2024.11,3222
FLPKSBDJMLUTEX,,CCCCC(CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)(C(=O)OC2CC(N(C(C2)(C)C)C)(C)C)C(=O)OC3CC(N(C(C3)(C)C)C)(C)C,O=C(OC1CCNCC1)C(Cc1ccccc1)C(=O)OC1CCNCC1,C42H72N2O5,FLPKSBDJMLUTEX,C42H72N2O5|CCCCC(CC1CC(C(C)(C)C)C(O)C(C(C)(C)C)C1)(C(O)OC1CC(C)(C)N(C)C(C)(C)C1)C(O)OC1CC(C)(C)N(C)C(C)(C)C1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",685.5513998708799,2025.10,11948
FQJSSUOYVSEYPF,,CC(CN1C2=C(CCC3=CC=CC=C31)C=C(C=C2)O)CN(C)C,c1ccc2c(c1)CCc1ccccc1N2,C20H26N2O,FQJSSUOYVSEYPF,C20H26N2O|CC(CN(C)C)CN1C2CCCCC2CCC2CC(O)CCC21,False,False,False,False,False,False,False,False,4,0.4898,CC(CN1c2ccccc2CCc2ccccc21)C[N+](C)(C)[O-],False,True,False,False,True,7,"15,30,45,60,75,90,120",311.21178991888,2024.06,11542
FSWDLYNGJBGFJH,,CCC(C)NC1=CC=C(C=C1)NC(C)CC,c1ccccc1,C14H24N2,FSWDLYNGJBGFJH,C14H24N2|CCC(C)NC1CCC(NC(C)CC)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",221.20122523488,2025.10,11970
FSYDWKPCKNCRDI,,C1C(C2=C(C=C(C=C2OC1C3=CC(=C(C=C3)O)O)O)O)O,c1ccc(C2CCc3ccccc3O2)cc1,C15H14O6,FSYDWKPCKNCRDI,C15H14O6|OC1CC(O)C2C(O)CC(C3CCC(O)C(O)C3)OC2C1,False,False,False,False,False,False,False,False,10,0.4894,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",291.08631463487995,2025.10,12003
GIKNHHRFLCDOEU,4-(2-aminopropyl)phenol,CC(CC1=CC=C(C=C1)O)N,c1ccccc1,C9H13NO,GIKNHHRFLCDOEU,C9H13NO|CC(N)CC1CCC(O)CC1,False,False,False,False,False,False,False,False,6,0.4,CNCCc1ccc(O)cc1,False,True,False,False,True,8,"15,20,25,30,40,50,60,70",152.10699050288,2024.11,10872
GJDRKHHGPHLVNI,,CCOP(=O)(CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)OCC,c1ccccc1,C19H33O4P,GJDRKHHGPHLVNI,C19H33O4P|CCOP(O)(CC1CC(C(C)(C)C)C(O)C(C(C)(C)C)C1)OCC,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",357.21892263288,2025.10,11926
GQBHYWDCHSZDQU,,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)NC2=CC=C(C=C2)C(C)(C)CC(C)(C)C,c1ccc(Nc2ccccc2)cc1,C28H43N,GQBHYWDCHSZDQU,C28H43N|CC(C)(C)CC(C)(C)C1CCC(NC2CCC(C(C)(C)CC(C)(C)C)CC2)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",394.34682684288,2025.10,10898
GTRSAMFYSUBAGN,Tris(2-chloropropyl) phosphate,CC(COP(=O)(OCC(C)Cl)OCC(C)Cl)Cl,__ACYCLIC__GTRSAMFYSUBAGN,C9H18Cl3O4P,GTRSAMFYSUBAGN,C9H18Cl3O4P|CC(Cl)COP(O)(OCC(C)Cl)OCC(C)Cl,False,False,False,False,False,False,False,False,1,0.3846,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",327.00810519288,2024.11,3266
HCILJBJJZALOAL,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)NNC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,O=C(CCc1ccccc1)NNC(=O)CCc1ccccc1,C34H52N2O4,HCILJBJJZALOAL,C34H52N2O4|CC(C)(C)C1CC(CCC(O)NNC(O)CCC2CC(C(C)(C)C)C(O)C(C(C)(C)C)C2)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",553.3999846108799,2025.10,"10964,11908"
HFCFJYRLBAANKN,2-amino-6-nitrotoluene,O=N(=O)C=1C=CC=C(N)C1C,c1ccccc1,C7H8N2O2,HFCFJYRLBAANKN,C7H8N2O2|CC1C(N)CCCC1N(O)O,False,False,False,False,False,False,False,False,2,0.1429,Cn1cc(C(N)=O)ccc1=O,False,True,False,False,True,6,"15,30,45,60,75,90",153.06585396288,dev,11846
HHRACYLRBOUBKM,p-tert-Butylphenyl glycidyl ether,CC(C)(C)C1=CC=C(OCC2CO2)C=C1,c1ccc(OCC2CO2)cc1,C13H18O2,HHRACYLRBOUBKM,C13H18O2|CC(C)(C)C1CCC(OCC2CO2)CC1,False,False,False,False,False,False,False,False,3,0.3171,COC(=O)Cc1ccc(C(C)(C)C)cc1,False,False,False,False,False,5,"15,30,45,60,75",207.13795628288,2024.11,11095
HLBLWEWZXPIGSM,"4,4`-Oxydianiline",NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,c1ccc(Oc2ccccc2)cc1,C12H12N2O,HLBLWEWZXPIGSM,C12H12N2O|NC1CCC(OC2CCC(N)CC2)CC1,False,False,False,False,False,False,False,False,2,0.0769,Oc1ccccc1NCc1ccccn1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",201.10223947088,2024.11,11072
HPEFZESOUVTBSA,,CCC(C1=CC(=CC=C1)OS(=O)(=O)O)C(C)CN(C)C,c1ccccc1,C14H23NO4S,HPEFZESOUVTBSA,C14H23NO4S|CCC(C(C)CN(C)C)C1CCCC(OS(O)(O)O)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",302.14205568288,2024.06,11561
HVLLSGMXQDNUAL,,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,C18H15O3P,HVLLSGMXQDNUAL,C18H15O3P|C1CCC(OP(OC2CCCCC2)OC2CCCCC2)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,7,"15,30,45,60,75,90,120",311.08315743688,2025.10,10919
HXRMCZBDTDCCOP,3-Chloro-5-(trifluoromethyl)pyridine-2-carboxylic acid (PCA),C1=C(C=NC(=C1Cl)C(=O)O)C(F)(F)F,c1ccncc1,C7H3ClF3NO2,HXRMCZBDTDCCOP,C7H3ClF3NO2|OC(O)C1NCC(C(F)(F)F)CC1Cl,False,False,False,False,False,False,False,False,0,0.0,,True,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",225.98771714288,dev,10506
ICSQZMPILLPFKC,,CC(C)C(C(=O)O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(=O)CCC(C)O,c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,C24H29N5O4,ICSQZMPILLPFKC,C24H29N5O4|CC(O)CCC(O)N(CC1CCC(C2CCCCC2C2NNNN2)CC1)C(C(C)C)C(O)O,False,False,False,False,False,False,False,False,1,0.1386,COc1cccc(NC(=O)N(Cc2nnc3n2CCCCC3)c2ccc(OC)c(OC)c2)c1,False,True,False,False,True,8,"15,30,45,60,75,90,120,150",452.2292308748801,2024.06,11531
IDCPFAYURAQKDZ,2-nitroguanidine,O=N(=O)NC(=N)N,__ACYCLIC__IDCPFAYURAQKDZ,CH4N4O2,IDCPFAYURAQKDZ,CH4N4O2|NC(N)NN(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",105.04070183488,dev,4000
IDQNBVFPZMCDDN,"4,6-dimethylpyrimidin-2-amine",CC1=CC(=NC(=N1)N)C,c1cncnc1,C6H9N3,IDQNBVFPZMCDDN,C6H9N3|CC1CC(C)NC(N)N1,False,False,False,False,False,False,False,False,1,0.0,,False,True,False,False,True,8,"30,45,60,75,90,120,150,180",124.08692375488,dev,4077
IGDCKQUNQPOPEU,3-[(4-Cyclopropyl-6-methyl-2-pyrimidinyl)amino]phenol,CC1=NC(=NC(=C1)C2CC2)NC3=CC=CC(=C3)O,c1ccc(Nc2nccc(C3CC3)n2)cc1,C14H15N3O,IGDCKQUNQPOPEU,C14H15N3O|CC1CC(C2CC2)NC(NC2CCCC(O)C2)N1,False,False,False,False,False,False,False,False,2,0.1148,O=C(c1ccc2nccnc2c1)N1CCCCC1,False,True,False,False,True,5,"15,20,25,30,40",242.12878856688,2024.11,10756
INDOGKYZYLAGEM,"N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonamide",CN(C)CCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,__ACYCLIC__INDOGKYZYLAGEM,C11H13F13N2O2S,INDOGKYZYLAGEM,C11H13F13N2O2S|CN(C)CCCNS(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",485.05629198288005,dev,11826
JEVCLNJEBFWVPD,"2,2`-Dithiobis[N-methylbenzamide]",CNC(=O)C1=CC=CC=C1SSC2=CC=CC=C2C(=O)NC,c1ccc(SSc2ccccc2)cc1,C16H16N2O2S2,JEVCLNJEBFWVPD,C16H16N2O2S2|CNC(O)C1CCCCC1SSC1CCCCC1C(O)NC,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",333.07259621888,2024.06,11418
KBSVBCHYXYXDAG,"1-(2,5-dimethylfuran-3-yl)ethanone",CC1=CC(=C(O1)C)C(=O)C,c1ccoc1,C8H10O2,KBSVBCHYXYXDAG,C8H10O2|CC1CC(C(C)O)C(C)O1,False,False,False,False,False,False,False,False,2,0.2069,Cc1cc(O)c(C)c(O)c1,False,True,False,False,True,3,"15,30,45",139.07535602688,2024.11,635
KGVPNLBXJKTABS,"5-methyl-1,2-oxazol-3-one",CC1=CC(=O)NO1,O=c1cco[nH]1,C4H5NO2,KGVPNLBXJKTABS,C4H5NO2|CC1CC(O)NO1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",100.03930486688,2024.11,3486
KJYSXRBJOSZLEL,,CC(C)(C)C1=CC(=C(C=C1)OC(=O)C2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C)C(C)(C)C,O=C(Oc1ccccc1)c1ccccc1,C29H42O3,KJYSXRBJOSZLEL,C29H42O3|CC(C)(C)C1CCC(OC(O)C2CC(C(C)(C)C)C(O)C(C(C)(C)C)C2)C(C(C)(C)C)C1,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",439.32067167088,2025.10,11939
KUAUJXBLDYVELT,"2-[[2,2-dimethyl-3-(oxiran-2-ylmethoxy)propoxy]methyl]oxirane",CC(C)(COCC1CO1)COCC2CO2,C(COCC1CO1)COCC1CO1,C11H20O4,KUAUJXBLDYVELT,C11H20O4|CC(C)(COCC1CO1)COCC1CO1,False,False,False,False,False,False,False,False,2,0.1304,CC[C@H](O)C[C@@H]1CC[C@H]([C@@H](C)C(=O)O)O1,False,False,False,False,False,8,"15,20,25,30,40,50,60,70",217.14343558688,2024.11,11156
LBDZGKRFRHHISM,4-[(4-cyclopropyl-6-methylpyrimidin-2-yl)amino]phenol,CC1=CC(=NC(=N1)NC2=CC=C(C=C2)O)C3CC3,c1ccc(Nc2nccc(C3CC3)n2)cc1,C14H15N3O,LBDZGKRFRHHISM,C14H15N3O|CC1CC(C2CC2)NC(NC2CCC(O)CC2)N1,False,False,False,False,False,False,False,False,2,0.1207,O=C(c1ccc2nccnc2c1)N1CCCCC1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",242.12878856688,dev,10754
LDEJNELBMSFPDJ,,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(CO)O,O=C(CN1CCNCC1)Nc1ccccc1,C17H27N3O3,LDEJNELBMSFPDJ,C17H27N3O3|CC1CCCC(C)C1NC(O)CN1CCN(CC(O)CO)CC1,False,False,False,False,False,False,False,False,3,0.2286,CC[C@@H](C)[C@@H](CO)NC(=O)Cn1nc2c(cc1=O)CCCCC2,False,True,False,False,False,8,"15,30,45,60,75,90,120,150",322.21251819087996,2024.06,11534
LFZSOJABLBVGRJ,,CC1=CC(=O)NC2=C1NC(=O)C3=C(N2C4CC4)N=CC=C3,O=C1Nc2ccc(=O)[nH]c2N(C2CC2)c2ncccc21,C15H14N4O2,LFZSOJABLBVGRJ,C15H14N4O2|CC1CC(O)NC2C1NC(O)C1CCCNC1N2C1CC1,False,False,False,False,False,False,False,False,1,0.1711,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1ccc[nH]1,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",283.11895215488,2024.06,11539
LHPPDQUVECZQSW,,CC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)C,c1ccc(-n2nc3ccccc3n2)cc1,C20H25N3O,LHPPDQUVECZQSW,C20H25N3O|CC(C)(C)C1CC(N2NC3CCCCC3N2)C(O)C(C(C)(C)C)C1,False,False,False,False,False,False,False,False,4,0.5,CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,False,True,False,False,True,6,"15,30,45,60,75,90",324.20703888688,2025.10,11932
LJROKJGQSPMTKB,,C1=CC=NC(=C1)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,c1ccc(C(c2ccccc2)c2ccccn2)cc1,C18H15NO2,LJROKJGQSPMTKB,C18H15NO2|OC1CCC(C(C2CCC(O)CC2)C2CCCCN2)CC1,False,False,False,False,False,False,False,False,2,0.12,CCOC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",278.11755518688,2024.06,11513
LOMZTTMTKSVHAG,,CCC1C(C(C(NCC(CC(C(C(C(C(C(=O)O1)C)O)C)OC2C(C(CC(O2)C)N(C)C)O)(C)O)C)C)O)(C)O,O=C1CCCC(OC2CCCCO2)CCCCNCCCCO1,C29H56N2O9,LOMZTTMTKSVHAG,C29H56N2O9|CCC1OC(O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CNC(C)C(O)C1(C)O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,True,4,"15,30,45,60",577.4058578388798,2024.06,11510
