key,scaffold_group_census,in_design12b,reasons
KYBIRFFGAIFLPM,c1cnc2[nH]ccc2c1,True,SCAFFOLD_GROUP_EXCLUDED
KYBRSUDXJYLNNW,O=C(NCC(c1ccco1)n1cccn1)c1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYBZDPDOJLSNSO,O=C(c1c(-c2ccccc2)oc2ccccc12)N1CCOCC1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
KYDCWZOKYNOKMN,c1ccc(OC2CCOCC2)nc1,True,SCAFFOLD_GROUP_EXCLUDED
KYDGWGYAUCJZDV,c1ccc(Cc2cccc(C3CCCCO3)c2)cc1,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KYELXPJVGNZIGC,O=C1CC2C3CCC4(C=C3CC2C2CCCCC12)CC1NCCCC1O4,False,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1
KYEOEVFMUQLGHE,c1ccc(OCc2nc(-c3cccc(-c4cscn4)c3)no2)cc1,False,HEADER_READ_WELL_STUDY1
KYEOPRCMLYGLKJ,O=S(=O)(CCc1ccccc1)NCC(c1ccc2c(c1)OCO2)N1CCCC1,False,HEADER_READ_WELL_STUDY1
KYFBXCHUXFKMGQ,O=C1CC(c2ccccc2)Oc2ccccc21,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYFCKECTPYLTTI,O=C(Cn1cc(-c2nnco2)ccc1=O)Nc1ccccc1,True,SCAFFOLD_GROUP_EXCLUDED
KYFWUBJMTHVBIF,,False,EXPOSED_POPULATION:LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;EXPOSED_POPULATION:LCSB-DEV;EXPOSED_POPULATION:LCSB-POS-V2-SPECTRA;EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION
KYGZCKSPAKDVKC,O=c1cc[nH]c2cc3c(cc12)OCO3,False,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-DEV-ANALYSIS;EXPOSED_POPULATION:WUR-POS-IDENTITY;HEADER_READ_WELL_STUDY1;MSNLIB_ANCHOR_CENSUS_DESIGN;MSNLIB_ANCHOR_CENSUS_DETECTED;MSNLIB_ANCHOR_GATE_CALIBRATION
KYHQZNGJUGFTGR,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,False,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1
KYHUYMLIVQFXRI,O=C1COC(=O)CCCNC(=O)C(NC(=O)CNC(=O)C2CCCN2)COC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)C1,False,HEADER_READ_WELL_STUDY1
KYHVWHYLKOHLKA,O=C1C=C(NCCc2ccc(Nc3nccc4ccncc34)cc2)C12CCCCC2,False,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1
KYIDPNKZTPLRAT,S=C1NC2=C(CCc3ccccc32)C(c2ccccc2)N1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYIQYJAOYMOKBA,O=C(COc1ccccc1)N1CCNCC1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KYIUCIZAVVHIBW,O=C(NC1CC1)C1CN(c2ccncn2)CCO1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYJQDDUWJJNYCW,O=C(NOCc1ccccc1)C1CCCN(C(=O)c2ccccc2)C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYLIZBIRMBGUOP,S=c1cc(-c2ccccc2)ss1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYLOBHXXQOZRKK,O=C(c1c[nH]cn1)N(Cc1ccccc1)CC1C2CNCC21,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYLOUEWFQVXTMH,O=c1ccn2c(c1-c1noc(Cc3ccccc3)n1)CCC2,False,HEADER_READ_WELL_STUDY1
KYMBBNLGCHYGGX,O=C(Nc1cnc2ccccc2c1)c1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYMQEBCDYNQWMZ,c1n[nH]cc1CNc1nc(C2CC2)nc2c1CCC2,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYMSITOOUYJCSY,c1cncnc1,False,HEADER_READ_WELL_STUDY1
KYMSTCOXCLARSM,O=S(=O)(NCCc1ccc[nH]1)c1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYNZRQATFYDXKV,O=C1NCCc2ccc(NC(=O)N3CCN(c4ccccn4)CC3)cc21,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYOJXZPGOCDNBG,c1ccc(CC2CCNCC2)nc1,False,HEADER_READ_WELL_STUDY1
KYPNJURUHUJGON,O=C(NC1CCC(Cn2cccn2)C1)c1cnc(C2CC2)nc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYPPJHVEENIEGO,c1ccc(Nc2nc(-c3cnc4ccccn34)cs2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYPYTERUKNKOLP,,False,EXPOSED_POPULATION:LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;EXPOSED_POPULATION:LCSB-NEG
KYQJRFZALBZIRM,O=C(CSc1nnc(-c2ccco2)o1)Nc1ccccc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
KYQZWONCHDNPDP,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYRVNWMVYQXFEU,O=C(c1ccc2nc[nH]c2c1)c1cccs1,True,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYSRNABDJFOABY,O=C1CC(c2nc(-c3cccs3)no2)CN1c1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYTHUVIHKIGLHQ,O=c1[nH]c2c(cnn2-c2ccccc2)cc1-c1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYTMWZINHYWMET,O=C(NN=Cc1ccccc1)c1cnc2ccccc2c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYULBSHJIYUZCN,O=C1CCC(=O)N1Cc1csc(Nc2cccnc2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYUOTWYBXSUBAW,c1ccc(N2CCN(Cc3cccs3)CC2)nc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYVJVURXKAZJRK,c1ccc2c(c1)CC1NCCc3cccc-2c31,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYVNJYCPCNPEIE,O=C(NCCN1CCCCC1)C(=O)N1CCC2CCC(C1)N2,False,HEADER_READ_WELL_STUDY1
KYVOJWMBYQSWRV,c1ccc2c(c1)c1c(c3ccoc32)CNCO1,False,HEADER_READ_WELL_STUDY1
KYVPWJSGFKNNLD,,False,EXPOSED_POPULATION:WUR-NEG-DEV
KYVUMEGNMQDSHO,C=C1CC=COC1OC1CCCCO1,True,SCAFFOLD_GROUP_EXCLUDED
KYWCUACNBIYDNL,O=c1[nH]ccc2ccccc12,True,SCAFFOLD_GROUP_EXCLUDED
KYWSCMDFVARMPN,C1=CC23OCC4(CCCCC42)CCC3C2CCC3CC(OC4CC(OC5CCCCO5)CCO4)CCC3C12,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYWVTILGTPVZHN,O=C(COc1ccccc1)Nc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
KYXIKMLKKOXNGZ,C1CSC2(C1)CNC2,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
KYYIDSXMWOZKMP,c1ccc(CC2CCCCC2)cc1,False,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1
