usi,filepath,dataset,collection,is_update,update_name,create_time,size,size_mb,sample_type,spectra_ms1,spectra_ms2,instrument_vendor,instrument_model,file_processed
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_499.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_499.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:02.464000,93042701,88,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_500.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_500.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:03.016000,93913720,89,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_501.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_501.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:03.477000,92250852,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_502.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_502.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:03.838000,92733625,88,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_503.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_503.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:04.361000,92184229,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_504.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_504.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:04.752000,90675231,86,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_505.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_505.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:05.119000,90310091,86,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_506.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_506.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:05.510000,89706717,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_507.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_507.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:05.923000,89895755,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_508.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE60_508.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:06.304000,89638396,85,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_499.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_499.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:06.641000,92481238,88,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_500.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_500.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:06.996000,92562608,88,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_501.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_501.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:07.436000,91395174,87,GNPS,0,0,,,No
mzspec:MSV000091754:ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_502.mzML,ccms_peak/20190812_ENTACT_RP_RAW/entact_RP_neg_CE75_502.mzML,MSV000091754,20190812_ENTACT_RP_RAW,0,,2024-03-26 02:02:07.850000,91995968,87,GNPS,0,0,,,No
