record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-EAWAG-EC013701__GLACIER__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,15,GLACIER,K1,0.1325993983765373,0.2811117322461443,
MSBNK-EAWAG-EC013701__GLACIER__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,15,GLACIER,K2,0.1445320009981484,0.2833015822799456,
MSBNK-EAWAG-EC013701__GLACIER__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,15,GLACIER,K3,0.13253392408142162,0.2815187523519569,
MSBNK-EAWAG-EC013702__ICEBERG_2_1__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,20,ICEBERG_2_1,K1,0.2806645014241092,0.33503311674628034,
MSBNK-EAWAG-EC013702__ICEBERG_2_1__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,20,ICEBERG_2_1,K2,0.4226293983017552,0.4087139264224807,
MSBNK-EAWAG-EC013702__ICEBERG_2_1__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,20,ICEBERG_2_1,K3,0.43574544958474354,0.39777547059023366,
MSBNK-EAWAG-EC013702__GLACIER__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,20,GLACIER,K1,0.22105088694830638,0.2592030916448481,
MSBNK-EAWAG-EC013702__GLACIER__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,20,GLACIER,K2,0.2053208850285035,0.24693047022218195,
MSBNK-EAWAG-EC013702__GLACIER__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,20,GLACIER,K3,0.20423929180880113,0.24580008515341634,
MSBNK-EAWAG-EC013703__ICEBERG_2_1__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,25,ICEBERG_2_1,K1,0.017881105617698397,0.09011234174654448,
MSBNK-EAWAG-EC013703__ICEBERG_2_1__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,25,ICEBERG_2_1,K2,0.04854405736397032,0.13594559887490465,
MSBNK-EAWAG-EC013703__ICEBERG_2_1__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,25,ICEBERG_2_1,K3,0.04831346692888989,0.1355000730561604,
MSBNK-EAWAG-EC013703__GLACIER__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,25,GLACIER,K1,0.0341014931028395,0.1258956715784051,
MSBNK-EAWAG-EC013703__GLACIER__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,25,GLACIER,K2,0.06466335333882509,0.1435429696736349,
MSBNK-EAWAG-EC013703__GLACIER__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,25,GLACIER,K3,0.06475796712572347,0.14339283511338008,
MSBNK-EAWAG-EC013704__ICEBERG_2_1__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,30,ICEBERG_2_1,K1,0.08321865840267866,0.14922711008930167,
MSBNK-EAWAG-EC013704__ICEBERG_2_1__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,30,ICEBERG_2_1,K2,0.11433893808425978,0.16086830285399223,
MSBNK-EAWAG-EC013704__ICEBERG_2_1__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,30,ICEBERG_2_1,K3,0.10556686851740382,0.15761277279990804,
MSBNK-EAWAG-EC013704__GLACIER__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,30,GLACIER,K1,0.0787181004982689,0.14886805080287624,
MSBNK-EAWAG-EC013704__GLACIER__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,30,GLACIER,K2,0.10193960960642973,0.15885226230845673,
MSBNK-EAWAG-EC013704__GLACIER__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,30,GLACIER,K3,0.09984612197590327,0.17878289537451297,
MSBNK-EAWAG-EC013705__ICEBERG_2_1__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,40,ICEBERG_2_1,K1,0.3517372976253136,0.3787938912488008,
MSBNK-EAWAG-EC013705__ICEBERG_2_1__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,40,ICEBERG_2_1,K2,0.32460127318173676,0.3878916762109126,
MSBNK-EAWAG-EC013705__ICEBERG_2_1__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,40,ICEBERG_2_1,K3,0.3613860908922951,0.40842422259395894,
MSBNK-EAWAG-EC013705__GLACIER__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,40,GLACIER,K1,0.3035434562455645,0.3727314312104649,
MSBNK-EAWAG-EC013705__GLACIER__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,40,GLACIER,K2,0.32376392913323654,0.373470782981845,
MSBNK-EAWAG-EC013705__GLACIER__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,40,GLACIER,K3,0.3170154820200048,0.3871995618605746,
MSBNK-EAWAG-EC013706__ICEBERG_2_1__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,50,ICEBERG_2_1,K1,0.469292527573758,0.5518560581400554,
MSBNK-EAWAG-EC013706__ICEBERG_2_1__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,50,ICEBERG_2_1,K2,0.5746261182882382,0.5870660904613328,
MSBNK-EAWAG-EC013706__ICEBERG_2_1__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,50,ICEBERG_2_1,K3,0.5746906892109934,0.5869140523572607,
MSBNK-EAWAG-EC013706__GLACIER__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,50,GLACIER,K1,0.4598983041805501,0.5081407697058763,
MSBNK-EAWAG-EC013706__GLACIER__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,50,GLACIER,K2,0.39256369326793383,0.50446317894982,
MSBNK-EAWAG-EC013706__GLACIER__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,50,GLACIER,K3,0.3897480614642979,0.5026487798471271,
MSBNK-EAWAG-EC013707__ICEBERG_2_1__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,60,ICEBERG_2_1,K1,0.4437812832135896,0.6202784286365324,
MSBNK-EAWAG-EC013707__ICEBERG_2_1__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,60,ICEBERG_2_1,K2,0.49009378312096363,0.6258936791449597,
MSBNK-EAWAG-EC013707__ICEBERG_2_1__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,60,ICEBERG_2_1,K3,0.39638357932842977,0.5214034968726193,
MSBNK-EAWAG-EC013707__GLACIER__K1,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,60,GLACIER,K1,0.4290121077372337,0.5907182415861308,
MSBNK-EAWAG-EC013707__GLACIER__K2,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,60,GLACIER,K2,0.3875682877898946,0.5751108289031396,
MSBNK-EAWAG-EC013707__GLACIER__K3,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,60,GLACIER,K3,0.39740348710999057,0.5843237067983793,
MSBNK-EAWAG-EC014001__ICEBERG_2_1__K1,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,15,ICEBERG_2_1,K1,0.8260187621792274,0.6208416547168426,
MSBNK-EAWAG-EC014001__ICEBERG_2_1__K2,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,15,ICEBERG_2_1,K2,0.8472665265701398,0.6478315647525668,
